CS ID,CS PID
2-39-128-562,1362391
2-39-124-558,1362548
2-39-126-560,1362420
2-39-139-567,1362524
2-39-91-437,1362377
2-39-90-26,1362462
2-39-79-382,1362383
2-39-129-563,1362375
2-39-131-30,1362468
2-39-138-566,1362516
2-39-89-439,1362534
2-39-92-436,1362432
2-39-79-380,1362446
2-39-78-360,1362546
2-39-79-383,1362545
2-39-129-17,1362547
2-39-82-384,1362544
2-39-123-23,1362427
2-39-95-27,1362396
2-39-90-440,1362438
2-39-127-19,1362455
2-39-95-444,1362407
2-39-91-441,1362549
2-39-92-442,1362543
2-39-139-28,1362536
2-39-79-376,1362442
2-39-130-564,1362402
2-39-125-559,1362533
2-39-124-22,1362531
2-39-131-565,1362542
2-39-79-381,1362415
2-39-88-438,1362554
2-39-79-378,1362550
2-39-88-24,1362570
2-39-78-367,1362563
2-39-83-387,1362575
2-39-130-31,1362583
2-39-78-365,1362590
2-39-128-18,1362601
2-39-78-364,1362617
2-39-127-561,1362605
2-39-125-21,1362623
2-39-79-377,1362632
2-39-123-557,1362612
2-39-83-386,1362646
2-39-78-366,1362652
2-39-138-29,1362659
2-39-126-20,1362674
2-39-78-361,1362673
2-39-78-363,1362671
2-39-78-362,1362677
2-39-79-379,1362678
2-39-89-25,1362684
