# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 173K of event 'cycles'
# Event count (approx.): 86051816755
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    57.87%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
    16.39%  :1362842    python3.10                                [.] _PyEval_EvalFrameDefault
     2.21%  :1362842    python3.10                                [.] PyObject_RichCompare
     2.08%  :1362842    python3.10                                [.] 0x000000000012161a
     1.61%  python3.10  python3.10                                [.] 0x000000000012161a
     1.19%  :1362842    python3.10                                [.] 0x0000000000179c52
     0.61%  :1362842    python3.10                                [.] 0x0000000000121590
     0.45%  python3.10  python3.10                                [.] 0x0000000000121590
     0.36%  :1362842    python3.10                                [.] 0x0000000000121613
     0.33%  python3.10  python3.10                                [.] 0x0000000000121605
     0.32%  :1362842    python3.10                                [.] 0x0000000000179c4e
     0.32%  :1362842    python3.10                                [.] 0x0000000000121676
     0.31%  python3.10  python3.10                                [.] 0x0000000000121613
     0.29%  python3.10  python3.10                                [.] 0x0000000000121676
     0.29%  :1362842    python3.10                                [.] 0x000000000012160b
     0.29%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.28%  python3.10  python3.10                                [.] 0x000000000012160b
     0.26%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.26%  :1362842    python3.10                                [.] 0x0000000000121737
     0.25%  :1362842    python3.10                                [.] 0x00000000001215f2
     0.24%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.23%  :1362842    python3.10                                [.] 0x0000000000121679
     0.23%  :1362842    python3.10                                [.] 0x000000000012159b
     0.23%  :1362842    python3.10                                [.] 0x0000000000121734
     0.23%  :1362842    python3.10                                [.] 0x00000000001215c4
     0.22%  :1362842    python3.10                                [.] 0x00000000001215a3
     0.22%  :1362842    python3.10                                [.] 0x0000000000121623
     0.22%  python3.10  python3.10                                [.] 0x0000000000121596
     0.20%  python3.10  python3.10                                [.] 0x0000000000121737
     0.20%  python3.10  python3.10                                [.] 0x000000000012159b
     0.20%  :1362842    python3.10                                [.] 0x000000000015b546
     0.20%  :1362842    python3.10                                [.] 0x0000000000121596
     0.20%  :1362842    python3.10                                [.] 0x0000000000121730
     0.20%  python3.10  python3.10                                [.] 0x0000000000121623
     0.18%  python3.10  python3.10                                [.] 0x0000000000121679
     0.18%  python3.10  python3.10                                [.] 0x0000000000121730
     0.18%  :1362842    python3.10                                [.] 0x0000000000121605
     0.18%  :1362842    python3.10                                [.] 0x0000000000179c0e
     0.17%  :1362842    python3.10                                [.] 0x0000000000121616
     0.16%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.15%  :1362842    python3.10                                [.] 0x00000000001215f7
     0.15%  python3.10  python3.10                                [.] 0x0000000000121616
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.14%  :1362842    python3.10                                [.] 0x000000000012167d
     0.14%  python3.10  python3.10                                [.] 0x000000000012160f
     0.13%  python3.10  python3.10                                [.] 0x0000000000121635
     0.13%  :1362842    python3.10                                [.] 0x00000000001215ab
     0.12%  :1362842    python3.10                                [.] 0x00000000001215e9
     0.12%  :1362842    python3.10                                [.] 0x0000000000121653
     0.12%  :1362842    python3.10                                [.] 0x0000000000179c46
     0.11%  :1362842    python3.10                                [.] 0x00000000001215a7
     0.11%  :1362842    python3.10                                [.] 0x0000000000179c02
     0.11%  :1362842    python3.10                                [.] 0x00000000001215dc
     0.11%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.10%  :1362842    python3.10                                [.] 0x0000000000121635
     0.10%  :1362842    python3.10                                [.] 0x000000000015b541
     0.10%  :1362842    python3.10                                [.] 0x000000000015b537
     0.10%  python3.10  python3.10                                [.] 0x000000000012167d
     0.09%  :1362842    python3.10                                [.] 0x00000000001215bc
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.09%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.09%  :1362842    python3.10                                [.] 0x0000000000121600
     0.09%  :1362842    python3.10                                [.] 0x000000000012160f
     0.09%  python3.10  python3.10                                [.] 0x000000000012159d
     0.09%  :1362842    python3.10                                [.] 0x00000000001215cb
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.09%  :1362842    python3.10                                [.] 0x0000000000179be6
     0.09%  :1362842    python3.10                                [.] 0x000000000015b506
     0.08%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.08%  :1362842    python3.10                                [.] 0x0000000000179be0
     0.08%  :1362842    python3.10                                [.] 0x000000000012167b
     0.07%  :1362842    python3.10                                [.] 0x0000000000121667
     0.07%  python3.10  python3.10                                [.] 0x000000000012167b
     0.07%  :1362842    python3.10                                [.] 0x0000000000179c13
     0.07%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.07%  :1362842    python3.10                                [.] 0x00000000001215e2
     0.07%  :1362842    python3.10                                [.] 0x0000000000179c3b
     0.07%  :1362842    python3.10                                [.] 0x0000000000179c5a
