# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 200K of event 'cycles'
# Event count (approx.): 74972646679
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    53.29%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
    19.04%  :1363052    python3.10            [.] _PyEval_EvalFrameDefault
     2.54%  :1363052    python3.10            [.] PyObject_RichCompare
     2.46%  :1363052    python3.10            [.] 0x000000000012161a
     1.45%  python3.10  python3.10            [.] 0x000000000012161a
     1.40%  :1363052    python3.10            [.] 0x0000000000179c52
     0.68%  :1363052    python3.10            [.] 0x0000000000121590
     0.43%  :1363052    python3.10            [.] 0x0000000000121613
     0.38%  python3.10  python3.10            [.] 0x0000000000121590
     0.36%  :1363052    python3.10            [.] 0x0000000000121676
     0.36%  :1363052    python3.10            [.] 0x0000000000179c4e
     0.35%  python3.10  python3.10            [.] 0x0000000000121676
     0.35%  :1363052    python3.10            [.] 0x000000000012160b
     0.30%  :1363052    python3.10            [.] 0x00000000001215c4
     0.29%  python3.10  python3.10            [.] 0x0000000000121605
     0.29%  python3.10  python3.10            [.] 0x0000000000121613
     0.28%  :1363052    python3.10            [.] 0x0000000000121737
     0.27%  python3.10  python3.10            [.] 0x00000000001215f7
     0.27%  :1363052    python3.10            [.] 0x000000000012159b
     0.27%  :1363052    python3.10            [.] 0x0000000000121734
     0.26%  :1363052    python3.10            [.] 0x00000000001215f2
     0.26%  :1363052    python3.10            [.] 0x0000000000121679
     0.26%  python3.10  python3.10            [.] 0x000000000012160b
     0.26%  :1363052    python3.10            [.] 0x0000000000121623
     0.25%  python3.10  python3.10            [.] 0x00000000001215f2
     0.23%  :1363052    python3.10            [.] 0x0000000000121596
     0.23%  :1363052    python3.10            [.] 0x00000000001215a3
     0.22%  python3.10  python3.10            [.] 0x0000000000121596
     0.22%  python3.10  python3.10            [.] 0x00000000001215c4
     0.21%  :1363052    python3.10            [.] 0x0000000000121730
     0.21%  :1363052    python3.10            [.] 0x0000000000121605
     0.20%  :1363052    python3.10            [.] 0x0000000000179c0e
     0.19%  :1363052    python3.10            [.] 0x000000000015b546
     0.19%  :1363052    python3.10            [.] 0x00000000001215f7
     0.19%  :1363052    python3.10            [.] 0x0000000000121616
     0.18%  python3.10  python3.10            [.] 0x0000000000121737
     0.18%  python3.10  python3.10            [.] 0x0000000000121623
     0.17%  python3.10  python3.10            [.] 0x0000000000121730
     0.17%  :1363052    python3.10            [.] 0x0000000000179c46
     0.17%  :1363052    python3.10            [.] 0x000000000012167d
     0.16%  :1363052    python3.10            [.] 0x00000000001215ab
     0.16%  python3.10  python3.10            [.] 0x0000000000121679
     0.15%  python3.10  python3.10            [.] 0x000000000012159b
     0.15%  :1363052    python3.10            [.] 0x000000000015b537
     0.15%  :1363052    python3.10            [.] 0x0000000000179c02
     0.14%  python3.10  python3.10            [.] 0x0000000000121616
     0.14%  :1363052    python3.10            [.] 0x0000000000121635
     0.14%  :1363052    python3.10            [.] 0x00000000001215e9
     0.13%  :1363052    python3.10            [.] 0x0000000000121653
     0.13%  :1363052    python3.10            [.] 0x00000000001215a7
     0.13%  python3.10  python3.10            [.] 0x00000000001215a3
     0.13%  python3.10  python3.10            [.] 0x00000000001215cb
     0.13%  python3.10  [kernel.kallsyms]     [k] futex_wake
     0.13%  python3.10  python3.10            [.] 0x000000000012160f
     0.12%  python3.10  python3.10            [.] 0x00000000001215a7
     0.12%  :1363052    python3.10            [.] 0x00000000001215bc
     0.12%  :1363052    python3.10            [.] 0x00000000001215dc
     0.12%  :1363052    python3.10            [.] 0x000000000012160f
     0.12%  python3.10  python3.10            [.] 0x0000000000121635
     0.11%  :1363052    python3.10            [.] 0x000000000015b541
     0.11%  :1363052    python3.10            [.] 0x000000000015b506
     0.11%  :1363052    python3.10            [.] 0x00000000001215cb
     0.11%  :1363052    python3.10            [.] 0x0000000000121667
     0.10%  :1363052    python3.10            [.] 0x0000000000179be6
     0.10%  :1363052    python3.10            [.] 0x000000000012167b
     0.10%  :1363052    python3.10            [.] 0x0000000000179be0
     0.09%  :1363052    python3.10            [.] 0x0000000000121600
     0.09%  :1363052    python3.10            [.] 0x000000000012159d
     0.09%  python3.10  python3.10            [.] 0x000000000012167d
     0.08%  python3.10  python3.10            [.] 0x00000000001215bc
     0.08%  python3.10  python3.10            [.] 0x00000000001215dc
     0.08%  :1363052    python3.10            [.] 0x0000000000179c13
     0.08%  python3.10  python3.10            [.] 0x000000000012159d
     0.08%  :1363052    python3.10            [.] 0x00000000001215e2
     0.08%  :1363052    python3.10            [.] 0x0000000000121628
     0.08%  :1363052    python3.10            [.] 0x000000000015b568
     0.08%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.08%  :1363052    [kernel.kallsyms]     [k] futex_wake
     0.08%  python3.10  python3.10            [.] 0x00000000001215a2
     0.08%  python3.10  python3.10            [.] 0x00000000001215e9
     0.07%  python3.10  python3.10            [.] 0x00000000001215e5
     0.07%  :1363052    python3.10            [.] 0x0000000000121660
     0.07%  :1363052    python3.10            [.] 0x0000000000121638
     0.07%  :1363052    python3.10            [.] 0x000000000015b56e
     0.07%  :1363052    python3.10            [.] 0x0000000000179c42
     0.07%  :1363052    python3.10            [.] 0x00000000001215a0
     0.07%  python3.10  python3.10            [.] 0x00000000001215ab
     0.07%  :1363052    python3.10            [.] 0x0000000000179c3b
     0.07%  :1363052    python3.10            [.] 0x000000000015b557
     0.07%  :1363052    python3.10            [.] 0x0000000000179c5a
     0.07%  python3.10  python3.10            [.] 0x00000000001215e2
     0.07%  :1363052    python3.10            [.] 0x0000000000179c0b
     0.06%  python3.10  python3.10            [.] 0x000000000012167b
     0.06%  :1363052    python3.10            [.] 0x0000000000121594
     0.06%  :1363052    python3.10            [.] 0x0000000000179be8
     0.06%  :1363052    python3.10            [.] 0x000000000015b520
     0.06%  :1363052    python3.10            [.] 0x000000000015b50e
     0.05%  python3.10  python3.10            [.] 0x0000000000121638
     0.05%  :1363052    python3.10            [.] 0x0000000000121677
     0.05%  :1363052    python3.10            [.] 0x00000000001215a2
     0.05%  :1363052    python3.10            [.] 0x0000000000121740
     0.05%  :1363052    python3.10            [.] 0x0000000000173d50
     0.05%  :1363052    [kernel.kallsyms]     [k] psi_group_change
     0.05%  python3.10  python3.10            [.] 0x0000000000121628
     0.05%  :1363052    python3.10            [.] 0x0000000000173d58
     0.05%  :1363052    python3.10            [.] 0x00000000001215e5
     0.04%  :1363052    python3.10            [.] 0x000000000015b500
     0.04%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.04%  :1363052    python3.10            [.] 0x000000000012167f
     0.04%  :1363052    python3.10            [.] 0x0000000000179c25
     0.04%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.04%  python3.10  python3.10            [.] 0x00000000001215a0
     0.04%  :1363052    python3.10            [.] 0x000000000012175a
     0.04%  :1363052    python3.10            [.] 0x0000000000121675
     0.04%  python3.10  python3.10            [.] 0x0000000000121677
     0.04%  :1363052    python3.10            [.] 0x0000000000121757
     0.04%  :1363052    python3.10            [.] 0x00000000001215ed
     0.04%  :1363052    python3.10            [.] 0x0000000000179bea
     0.03%  :1363052    python3.10            [.] 0x0000000000179c15
     0.03%  :1363052    python3.10            [.] 0x0000000000179be9
     0.03%  :1363052    python3.10            [.] 0x0000000000121599
     0.03%  :1363052    python3.10            [.] 0x0000000000121749
     0.03%  :1363052    python3.10            [.] 0x0000000000179bee
     0.03%  python3.10  python3.10            [.] 0x000000000012167f
     0.03%  python3.10  python3.10            [.] 0x00000000001215d8
     0.03%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.03%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.03%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.03%  :1363052    [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.03%  :1363052    [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.03%  :1363052    python3.10            [.] 0x0000000000179bfb
     0.03%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.03%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.03%  :1363052    python3.10            [.] 0x000000000015b53e
     0.03%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.03%  :1363052    python3.10            [.] 0x0000000000179c56
     0.03%  :1363052    [kernel.kallsyms]     [k] merge_sched_in
     0.03%  :1363052    python3.10            [.] 0x0000000000179c2e
     0.03%  :1363052    python3.10            [.] 0x0000000000179be4
     0.02%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.02%  :1363052    python3.10            [.] 0x0000000000121751
     0.02%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.02%  :1363052    python3.10            [.] 0x000000000015b53b
     0.02%  :1363052    python3.10            [.] 0x00000000001215d8
     0.02%  python3.10  python3.10            [.] 0x0000000000121600
     0.02%  :1363052    python3.10            [.] 0x0000000000121754
     0.02%  python3.10  python3.10            [.] 0x0000000000121594
     0.02%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.02%  :1363052    python3.10            [.] 0x00000000001215a6
     0.02%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.02%  :1363145    python3.10            [.] _PyEval_EvalFrameDefault
     0.02%  :1363052    python3.10            [.] 0x0000000000179c21
     0.02%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.02%  :1363052    [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.02%  :1363052    python3.10            [.] 0x000000000015b50b
     0.02%  :1363184    python3.10            [.] _PyEval_EvalFrameDefault
     0.02%  python3.10  [kernel.kallsyms]     [k] kfree
     0.02%  :1363052    python3.10            [.] 0x000000000015b504
     0.02%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.02%  python3.10  python3.10            [.] 0x00000000001215a6
     0.02%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.02%  :1363052    python3.10            [.] 0x000000000015b55b
     0.02%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.02%  :1363052    [kernel.kallsyms]     [k] perf_event_groups_first
     0.02%  :1363052    [kernel.kallsyms]     [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.02%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.02%  python3.10  python3.10            [.] 0x0000000000121599
     0.02%  :1363052    [kernel.kallsyms]     [k] event_sched_in
     0.02%  :1363052    python3.10            [.] 0x000000000015b55d
     0.02%  :1363052    python3.10            [.] 0x000000000015b50a
