# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles'
# Event count (approx.): 10774709539
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    10.38%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.94%  python3.10  python3.10                                [.] PyLong_FromString
     1.65%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     1.15%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     1.14%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.10%  python3.10  python3.10                                [.] _PyObject_GetMethod
     1.03%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.90%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.86%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.85%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.84%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.77%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.75%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.68%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.68%  python3.10  python3.10                                [.] PyDict_Contains
     0.67%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.59%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.56%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.56%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.54%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.54%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.53%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.52%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.50%  python3.10  libc.so.6                                 [.] re_search_internal
     0.47%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.46%  python3.10  libc.so.6                                 [.] re_compile_internal
