CS ID,CS PID
2-39-78-363,1480454
2-39-123-557,1480435
2-39-128-18,1480441
2-39-92-442,1480433
2-39-79-376,1480467
2-39-138-566,1480497
2-39-79-379,1480501
2-39-79-382,1480478
2-39-78-360,1480483
2-39-78-365,1480460
2-39-130-564,1480448
2-39-78-367,1480472
2-39-79-377,1480504
2-39-89-439,1480510
2-39-89-25,1480527
2-39-127-19,1480521
2-39-125-21,1480489
2-39-138-29,1480589
2-39-83-387,1480564
2-39-95-27,1480569
2-39-78-366,1480570
2-39-123-23,1480566
2-39-126-20,1480567
2-39-131-565,1480571
2-39-79-383,1480565
2-39-82-384,1480575
2-39-125-559,1480572
2-39-128-562,1480573
2-39-95-444,1480568
2-39-91-437,1480574
2-39-139-28,1480579
2-39-126-560,1480578
2-39-88-24,1480576
2-39-78-364,1480577
2-39-91-441,1480585
2-39-79-378,1480587
2-39-124-22,1480586
2-39-79-380,1480588
2-39-90-440,1480590
2-39-131-30,1480592
2-39-88-438,1480591
2-39-129-17,1480598
2-39-79-381,1480600
2-39-78-361,1480599
2-39-129-563,1480602
2-39-90-26,1480601
2-39-92-436,1480604
2-39-130-31,1480603
2-39-139-567,1480605
2-39-83-386,1480607
2-39-127-561,1480608
2-39-78-362,1480609
2-39-124-558,1480606
