# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 250K of event 'cycles'
# Event count (approx.): 120036657698
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    57.34%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     7.32%  python3.10  python3.10         [.] PyObject_RichCompare
     4.14%  python3.10  python3.10         [.] 0x000000000012161a
     1.85%  python3.10  python3.10         [.] 0x0000000000121676
     1.78%  python3.10  python3.10         [.] 0x0000000000121590
     1.62%  python3.10  python3.10         [.] 0x0000000000179c52
     1.02%  python3.10  python3.10         [.] 0x0000000000121605
     1.00%  python3.10  python3.10         [.] 0x0000000000121613
     0.99%  python3.10  python3.10         [.] 0x0000000000121679
     0.97%  python3.10  python3.10         [.] 0x00000000001215f2
     0.89%  python3.10  python3.10         [.] 0x0000000000121596
     0.85%  python3.10  python3.10         [.] 0x00000000001215f7
     0.81%  python3.10  python3.10         [.] 0x000000000012159b
     0.79%  python3.10  python3.10         [.] 0x000000000012160b
     0.72%  python3.10  python3.10         [.] 0x00000000001215c4
     0.71%  python3.10  python3.10         [.] 0x00000000001215a3
     0.71%  python3.10  python3.10         [.] 0x0000000000179c4e
     0.70%  python3.10  python3.10         [.] 0x0000000000121737
     0.67%  python3.10  python3.10         [.] 0x0000000000121730
     0.49%  python3.10  python3.10         [.] 0x0000000000121623
     0.47%  python3.10  python3.10         [.] 0x00000000001215ab
     0.40%  python3.10  python3.10         [.] 0x00000000001215a7
     0.40%  python3.10  python3.10         [.] 0x000000000012167d
     0.39%  python3.10  python3.10         [.] 0x000000000012159d
     0.38%  python3.10  python3.10         [.] 0x00000000001215e9
     0.38%  python3.10  python3.10         [.] 0x000000000015b546
     0.38%  python3.10  python3.10         [.] 0x00000000001215cb
     0.38%  python3.10  python3.10         [.] 0x00000000001215dc
     0.37%  python3.10  python3.10         [.] 0x0000000000121616
     0.36%  python3.10  python3.10         [.] 0x0000000000121667
     0.34%  python3.10  python3.10         [.] 0x0000000000179c46
     0.33%  python3.10  python3.10         [.] 0x000000000012160f
     0.33%  python3.10  python3.10         [.] 0x00000000001215bc
     0.33%  python3.10  python3.10         [.] 0x000000000015b506
     0.32%  python3.10  python3.10         [.] 0x0000000000179c42
     0.29%  python3.10  python3.10         [.] 0x000000000012167b
     0.29%  python3.10  python3.10         [.] 0x00000000001215a2
     0.26%  python3.10  python3.10         [.] 0x0000000000179be0
     0.25%  python3.10  python3.10         [.] 0x0000000000121635
     0.25%  python3.10  python3.10         [.] 0x0000000000121653
     0.24%  python3.10  python3.10         [.] 0x0000000000121600
     0.22%  python3.10  python3.10         [.] 0x0000000000173d50
     0.22%  python3.10  python3.10         [.] 0x00000000001215e5
     0.21%  python3.10  python3.10         [.] 0x0000000000179c02
     0.20%  python3.10  python3.10         [.] 0x000000000015b568
     0.20%  python3.10  python3.10         [.] 0x0000000000179be8
     0.20%  python3.10  python3.10         [.] 0x000000000015b537
     0.20%  python3.10  python3.10         [.] 0x0000000000121677
     0.20%  python3.10  python3.10         [.] 0x0000000000121594
     0.19%  python3.10  python3.10         [.] 0x000000000015b500
     0.18%  python3.10  python3.10         [.] 0x000000000015b520
     0.18%  python3.10  python3.10         [.] 0x0000000000179bee
     0.17%  python3.10  python3.10         [.] 0x000000000015b56e
     0.17%  python3.10  python3.10         [.] 0x00000000001215e2
     0.17%  python3.10  python3.10         [.] 0x000000000015b50e
     0.17%  python3.10  python3.10         [.] 0x0000000000179c5a
     0.17%  python3.10  python3.10         [.] 0x000000000015b557
     0.17%  python3.10  python3.10         [.] 0x0000000000121660
     0.16%  python3.10  python3.10         [.] 0x0000000000179c15
     0.16%  python3.10  python3.10         [.] 0x0000000000179c0e
     0.15%  python3.10  python3.10         [.] 0x000000000012167f
     0.14%  python3.10  python3.10         [.] 0x0000000000121628
     0.14%  python3.10  python3.10         [.] 0x0000000000179be6
     0.14%  python3.10  python3.10         [.] 0x0000000000121599
     0.13%  python3.10  python3.10         [.] 0x0000000000121638
     0.13%  python3.10  python3.10         [.] 0x0000000000179c2e
     0.12%  python3.10  python3.10         [.] 0x0000000000173d58
     0.10%  python3.10  python3.10         [.] 0x00000000001215a0
     0.09%  python3.10  python3.10         [.] 0x0000000000121751
     0.09%  python3.10  python3.10         [.] 0x0000000000121740
     0.09%  python3.10  python3.10         [.] 0x00000000001215c0
     0.09%  python3.10  python3.10         [.] 0x0000000000179c13
     0.09%  python3.10  python3.10         [.] 0x00000000001215ed
     0.08%  python3.10  python3.10         [.] 0x0000000000179c3b
     0.08%  python3.10  python3.10         [.] 0x00000000001215a6
     0.08%  python3.10  python3.10         [.] 0x0000000000121757
     0.08%  python3.10  python3.10         [.] 0x0000000000121749
     0.07%  python3.10  python3.10         [.] 0x0000000000121675
     0.07%  python3.10  python3.10         [.] 0x00000000001215d8
     0.07%  python3.10  python3.10         [.] 0x000000000012166e
     0.07%  python3.10  python3.10         [.] 0x0000000000179be4
     0.07%  python3.10  python3.10         [.] 0x0000000000179c21
     0.07%  python3.10  python3.10         [.] 0x000000000015b504
     0.06%  python3.10  python3.10         [.] 0x0000000000179c56
     0.06%  python3.10  python3.10         [.] 0x000000000012175a
     0.06%  python3.10  python3.10         [.] 0x0000000000179c25
     0.05%  python3.10  python3.10         [.] 0x0000000000121734
     0.05%  python3.10  python3.10         [.] 0x00000000001215b2
     0.05%  python3.10  python3.10         [.] 0x0000000000121754
     0.04%  python3.10  python3.10         [.] 0x00000000001215c8
     0.04%  python3.10  python3.10         [.] 0x000000000015b509
     0.04%  python3.10  python3.10         [.] 0x000000000015b541
     0.04%  python3.10  python3.10         [.] 0x000000000015b50b
     0.04%  python3.10  python3.10         [.] 0x0000000000179bea
     0.04%  python3.10  python3.10         [.] 0x0000000000179c0b
     0.04%  python3.10  python3.10         [.] 0x000000000015b50a
     0.04%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.04%  python3.10  python3.10         [.] 0x0000000000173d54
