CS ID,CS PID
2-39-90-440,1492662
2-39-128-562,1492665
2-39-82-384,1492690
2-39-79-382,1492905
2-39-129-563,1492733
2-39-78-365,1492727
2-39-78-362,1492697
2-39-126-20,1492746
2-39-127-19,1492714
2-39-78-363,1492769
2-39-89-439,1492756
2-39-123-557,1492775
2-39-138-29,1492793
2-39-78-366,1492811
2-39-124-558,1492823
2-39-91-441,1492780
2-39-83-387,1492829
2-39-88-438,1492835
2-39-91-437,1492841
2-39-78-361,1492895
2-39-88-24,1492939
2-39-131-30,1492847
2-39-79-380,1492943
2-39-125-559,1492671
2-39-139-28,1492909
2-39-92-436,1492677
2-39-95-27,1492924
2-39-139-567,1492685
2-39-125-21,1492739
2-39-124-22,1492799
2-39-128-18,1492805
2-39-95-444,1492720
2-39-123-23,1492906
2-39-130-31,1492750
2-39-79-383,1492817
2-39-78-367,1492903
2-39-79-377,1492907
2-39-90-26,1492702
2-39-130-564,1492927
2-39-79-379,1492709
2-39-138-566,1492763
2-39-89-25,1492959
2-39-129-17,1492908
2-39-92-442,1492787
2-39-79-381,1493016
2-39-78-360,1493018
2-39-78-364,1493030
2-39-79-376,1493025
2-39-127-561,1493022
2-39-131-565,1493027
2-39-79-378,1493035
2-39-83-386,1493039
2-39-126-560,1493041
