# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2935706279
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    63.23%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     6.82%  python3.10  python3.10                                [.] 0x000000000012161a
     1.62%  python3.10  python3.10                                [.] 0x0000000000121605
     1.53%  python3.10  python3.10                                [.] 0x0000000000121590
     1.34%  python3.10  python3.10                                [.] 0x0000000000121613
     1.26%  python3.10  python3.10                                [.] 0x000000000012160b
     1.04%  python3.10  python3.10                                [.] 0x0000000000121676
     0.98%  python3.10  python3.10                                [.] 0x0000000000121623
     0.90%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.76%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.75%  python3.10  python3.10                                [.] 0x000000000012160f
     0.67%  python3.10  python3.10                                [.] 0x0000000000121616
     0.66%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.66%  python3.10  python3.10                                [.] 0x0000000000121596
     0.60%  python3.10  python3.10                                [.] 0x0000000000121635
     0.59%  python3.10  python3.10                                [.] 0x000000000012159b
     0.56%  python3.10  python3.10                                [.] 0x0000000000121730
     0.52%  python3.10  python3.10                                [.] 0x0000000000121737
     0.52%  python3.10  python3.10                                [.] 0x0000000000121679
     0.52%  python3.10  python3.10                                [.] 0x0000000000121638
     0.50%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.40%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.39%  python3.10  python3.10                                [.] 0x000000000012159d
     0.35%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.33%  python3.10  python3.10                                [.] 0x0000000000121628
     0.31%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.29%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.28%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.25%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.23%  python3.10  python3.10                                [.] 0x000000000012167d
     0.19%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.17%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.16%  python3.10  python3.10                                [.] 0x000000000012167b
     0.15%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.14%  :1481123    python3.10                                [.] _PyEval_EvalFrameDefault
     0.14%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.14%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.13%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.13%  python3.10  python3.10                                [.] 0x000000000012d1da
     0.10%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.10%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.10%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.10%  python3.10  python3.10                                [.] 0x00000000001215e2
