# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3853728034
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    63.69%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     7.03%  python3.10  python3.10            [.] 0x000000000012161a
     1.67%  python3.10  python3.10            [.] 0x0000000000121590
     1.57%  python3.10  python3.10            [.] 0x0000000000121613
     1.41%  python3.10  python3.10            [.] 0x0000000000121605
     1.39%  python3.10  python3.10            [.] 0x000000000012160b
     1.31%  python3.10  python3.10            [.] 0x0000000000121676
     1.16%  python3.10  python3.10            [.] 0x00000000001215f2
     1.06%  python3.10  python3.10            [.] 0x0000000000121623
     0.75%  python3.10  python3.10            [.] 0x0000000000121596
     0.74%  python3.10  python3.10            [.] 0x0000000000121635
     0.74%  python3.10  python3.10            [.] 0x00000000001215c4
     0.63%  python3.10  python3.10            [.] 0x00000000001215f7
     0.63%  python3.10  python3.10            [.] 0x000000000012160f
     0.61%  python3.10  python3.10            [.] 0x0000000000121616
     0.60%  python3.10  python3.10            [.] 0x0000000000121679
     0.58%  python3.10  python3.10            [.] 0x000000000012159b
     0.56%  python3.10  python3.10            [.] 0x0000000000121730
     0.56%  python3.10  python3.10            [.] 0x00000000001215a3
     0.48%  python3.10  python3.10            [.] 0x00000000001215a7
     0.46%  python3.10  python3.10            [.] 0x000000000012159d
     0.46%  python3.10  python3.10            [.] 0x00000000001215cb
     0.44%  python3.10  python3.10            [.] 0x0000000000121737
     0.41%  python3.10  python3.10            [.] 0x00000000001215dc
     0.37%  python3.10  python3.10            [.] 0x0000000000121628
     0.31%  python3.10  python3.10            [.] 0x00000000001215e5
     0.31%  python3.10  python3.10            [.] 0x0000000000121638
     0.30%  python3.10  python3.10            [.] 0x000000000012167d
     0.30%  python3.10  python3.10            [.] 0x00000000001215bc
     0.29%  python3.10  python3.10            [.] 0x00000000001215ab
     0.28%  python3.10  python3.10            [.] 0x00000000001215a2
     0.26%  python3.10  python3.10            [.] 0x00000000001215e9
     0.26%  python3.10  python3.10            [.] 0x00000000001215e2
     0.25%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.20%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.16%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.14%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.13%  python3.10  python3.10            [.] 0x000000000012167b
     0.11%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.11%  python3.10  python3.10            [.] 0x00000000001215d8
     0.11%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.10%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.10%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.09%  python3.10  python3.10            [.] 0x0000000000121677
     0.08%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.08%  python3.10  python3.10            [.] 0x000000000012167f
     0.08%  python3.10  python3.10            [.] PyMember_SetOne
     0.07%  python3.10  python3.10            [.] 0x0000000000121594
     0.07%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.07%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.07%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.07%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.07%  python3.10  python3.10            [.] _PyObject_GenericSetAttrWithDict
     0.06%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.06%  python3.10  python3.10            [.] 0x00000000001d4961
     0.06%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.06%  python3.10  python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.06%  python3.10  [kernel.kallsyms]     [k] kfree
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.06%  python3.10  [kernel.kallsyms]     [k] memcg_slab_free_hook
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.06%  python3.10  python3.10            [.] _PyUnicode_JoinArray
     0.06%  python3.10  python3.10            [.] 0x00000000001215a6
     0.05%  python3.10  python3.10            [.] 0x0000000000121600
     0.05%  python3.10  python3.10            [.] 0x00000000001215a0
     0.05%  python3.10  libc.so.6             [.] __memmove_sse2_unaligned_erms
     0.05%  python3.10  python3.10            [.] _PyObject_FastCallDictTstate
     0.05%  python3.10  python3.10            [.] 0x00000000001215c0
     0.05%  python3.10  [kernel.kallsyms]     [k] do_wp_page
     0.05%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.05%  python3.10  python3.10            [.] 0x00000000001215df
     0.05%  python3.10  libc.so.6             [.] __strncat_sse2_unaligned
     0.05%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.05%  python3.10  [kernel.kallsyms]     [k] memcg_slab_post_alloc_hook
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_swevent_add
     0.04%  python3.10  [kernel.kallsyms]     [k] x86_reserve_hardware
     0.04%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.04%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]     [k] rb_erase
     0.04%  python3.10  [kernel.kallsyms]     [k] timerqueue_add
     0.04%  python3.10  python3.10            [.] 0x000000000015b537
     0.04%  python3.10  [kernel.kallsyms]     [k] psi_task_switch
     0.04%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.04%  python3.10  [kernel.kallsyms]     [k] select_task_rq_fair
     0.04%  python3.10  [kernel.kallsyms]     [k] __unqueue_futex
