# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 11641188866
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    44.41%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
    17.33%  :1493229    python3.10                                [.] _PyEval_EvalFrameDefault
     4.31%  python3.10  python3.10                                [.] 0x000000000012161a
     2.34%  :1493229    python3.10                                [.] PyObject_RichCompare
     1.94%  :1493229    python3.10                                [.] 0x000000000012161a
     1.45%  python3.10  python3.10                                [.] 0x0000000000121590
     0.86%  python3.10  python3.10                                [.] 0x000000000012160b
     0.85%  python3.10  python3.10                                [.] 0x0000000000121623
     0.85%  python3.10  python3.10                                [.] 0x0000000000121613
     0.82%  python3.10  python3.10                                [.] 0x0000000000121605
     0.68%  :1493229    python3.10                                [.] 0x0000000000121590
     0.65%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.59%  python3.10  python3.10                                [.] 0x0000000000121596
     0.54%  :1493229    python3.10                                [.] 0x000000000015b537
     0.53%  :1493229    python3.10                                [.] 0x000000000015b546
     0.53%  :1493229    python3.10                                [.] 0x0000000000179c52
     0.52%  python3.10  python3.10                                [.] 0x0000000000121676
     0.43%  python3.10  python3.10                                [.] 0x000000000012160f
     0.42%  python3.10  python3.10                                [.] 0x0000000000121635
     0.41%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.40%  python3.10  python3.10                                [.] 0x0000000000121616
     0.39%  :1493229    python3.10                                [.] 0x0000000000121605
     0.39%  :1493229    python3.10                                [.] 0x0000000000121676
     0.37%  :1493229    python3.10                                [.] 0x0000000000121613
     0.35%  :1493229    python3.10                                [.] 0x00000000001215c4
     0.35%  :1493229    python3.10                                [.] 0x0000000000121623
     0.34%  python3.10  python3.10                                [.] 0x0000000000121737
     0.34%  python3.10  python3.10                                [.] 0x000000000012159b
     0.33%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.33%  python3.10  python3.10                                [.] 0x0000000000121730
     0.31%  :1493229    python3.10                                [.] 0x000000000012159b
     0.30%  python3.10  python3.10                                [.] 0x0000000000121679
     0.29%  python3.10  python3.10                                [.] 0x0000000000121628
     0.28%  :1493229    python3.10                                [.] 0x00000000001215f2
     0.28%  :1493229    python3.10                                [.] 0x000000000012160b
     0.28%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.27%  python3.10  python3.10                                [.] 0x0000000000121638
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.26%  :1493952    python3.10                                [.] _PyEval_EvalFrameDefault
     0.26%  :1493229    python3.10                                [.] 0x00000000001215f7
     0.26%  :1493229    python3.10                                [.] 0x0000000000179c4e
     0.25%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.23%  :1493229    python3.10                                [.] 0x0000000000121730
     0.22%  :1493229    python3.10                                [.] 0x0000000000179be0
     0.22%  :1493229    python3.10                                [.] 0x0000000000121737
     0.22%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.22%  :1493229    python3.10                                [.] 0x00000000001215a3
     0.21%  :1493229    python3.10                                [.] 0x0000000000121596
     0.20%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.19%  :1493994    python3.10                                [.] _PyEval_EvalFrameDefault
     0.19%  :1493229    python3.10                                [.] 0x000000000015b541
     0.19%  :1493895    python3.10                                [.] _PyEval_EvalFrameDefault
     0.18%  python3.10  python3.10                                [.] 0x000000000012159d
     0.18%  python3.10  python3.10                                [.] 0x000000000012167d
     0.18%  :1493229    python3.10                                [.] 0x0000000000173d50
     0.17%  :1493229    python3.10                                [.] 0x000000000012167d
     0.17%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.16%  :1493229    python3.10                                [.] 0x0000000000121679
     0.16%  :1493229    python3.10                                [.] 0x000000000015b506
     0.16%  :1493229    python3.10                                [.] 0x000000000015b53b
     0.15%  :1493229    python3.10                                [.] 0x0000000000121635
     0.15%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.14%  :1493229    python3.10                                [.] 0x00000000001215ab
     0.14%  :1493229    python3.10                                [.] 0x0000000000121616
     0.13%  :1493229    python3.10                                [.] 0x00000000001215cb
     0.13%  :1493229    python3.10                                [.] 0x000000000012159d
     0.13%  :1493229    python3.10                                [.] 0x00000000001215dc
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.12%  :1494090    python3.10                                [.] _PyEval_EvalFrameDefault
