# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 7619586929
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    66.24%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.95%  python3.10  python3.10            [.] 0x000000000012161a
     1.74%  python3.10  python3.10            [.] 0x0000000000121590
     1.44%  python3.10  python3.10            [.] 0x0000000000121623
     1.18%  python3.10  python3.10            [.] 0x0000000000121605
     1.14%  python3.10  python3.10            [.] 0x000000000012160b
     1.13%  python3.10  python3.10            [.] 0x0000000000121613
     1.05%  python3.10  python3.10            [.] 0x0000000000121596
     0.83%  python3.10  python3.10            [.] 0x00000000001215c4
     0.74%  python3.10  python3.10            [.] 0x0000000000121676
     0.65%  python3.10  python3.10            [.] 0x0000000000121616
     0.60%  python3.10  python3.10            [.] 0x000000000012159b
     0.60%  python3.10  python3.10            [.] 0x00000000001215f2
     0.56%  python3.10  python3.10            [.] 0x0000000000121730
     0.55%  python3.10  python3.10            [.] 0x00000000001215f7
     0.51%  python3.10  python3.10            [.] 0x0000000000121628
     0.50%  python3.10  python3.10            [.] 0x0000000000121679
     0.50%  python3.10  python3.10            [.] 0x0000000000121635
     0.49%  python3.10  python3.10            [.] 0x000000000012160f
     0.48%  :1494672    python3.10            [.] _PyEval_EvalFrameDefault
     0.48%  python3.10  python3.10            [.] 0x0000000000121737
     0.48%  :1494454    python3.10            [.] _PyEval_EvalFrameDefault
     0.40%  python3.10  python3.10            [.] 0x0000000000121638
     0.39%  :1494349    python3.10            [.] _PyEval_EvalFrameDefault
     0.39%  :1494387    python3.10            [.] _PyEval_EvalFrameDefault
     0.39%  python3.10  python3.10            [.] 0x000000000012159d
     0.38%  python3.10  python3.10            [.] 0x00000000001215a3
     0.34%  python3.10  python3.10            [.] 0x00000000001215cb
     0.32%  :1494756    python3.10            [.] _PyEval_EvalFrameDefault
     0.32%  python3.10  python3.10            [.] 0x00000000001215ab
     0.29%  :1494604    python3.10            [.] _PyEval_EvalFrameDefault
     0.28%  python3.10  python3.10            [.] 0x000000000012167d
     0.28%  :1494502    python3.10            [.] _PyEval_EvalFrameDefault
     0.27%  python3.10  python3.10            [.] 0x00000000001215dc
     0.25%  python3.10  python3.10            [.] 0x0000000000121594
     0.24%  :1494787    python3.10            [.] _PyEval_EvalFrameDefault
     0.23%  :1494702    python3.10            [.] _PyEval_EvalFrameDefault
     0.22%  :1494552    python3.10            [.] _PyEval_EvalFrameDefault
     0.22%  python3.10  python3.10            [.] 0x00000000001215bc
     0.21%  python3.10  python3.10            [.] 0x00000000001215a7
     0.21%  python3.10  python3.10            [.] 0x0000000000121599
     0.19%  :1494310    python3.10            [.] _PyEval_EvalFrameDefault
     0.19%  python3.10  python3.10            [.] 0x00000000001215e9
     0.19%  python3.10  python3.10            [.] 0x0000000000121600
     0.17%  python3.10  python3.10            [.] 0x000000000012167b
     0.17%  python3.10  python3.10            [.] 0x00000000001215e5
     0.16%  python3.10  python3.10            [.] 0x00000000001215d8
     0.15%  python3.10  python3.10            [.] 0x00000000001215e2
     0.14%  python3.10  python3.10            [.] 0x00000000001215a2
     0.11%  python3.10  python3.10            [.] 0x000000000012162c
     0.09%  python3.10  python3.10            [.] 0x000000000012166e
     0.09%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.08%  python3.10  python3.10            [.] 0x0000000000121677
     0.08%  python3.10  python3.10            [.] 0x00000000001215a6
     0.08%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.07%  python3.10  python3.10            [.] 0x00000000001215a0
     0.06%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.06%  python3.10  python3.10            [.] 0x0000000000121734
     0.06%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.05%  python3.10  python3.10            [.] 0x00000000001215ed
     0.05%  python3.10  python3.10            [.] 0x00000000001215c0
     0.05%  python3.10  python3.10            [.] _PyObject_LookupSpecial
     0.05%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.04%  :1494502    python3.10            [.] 0x000000000012161a
     0.04%  :1494672    python3.10            [.] 0x000000000012161a
     0.04%  python3.10  python3.10            [.] 0x000000000012167f
     0.04%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.04%  python3.10  [kernel.kallsyms]     [k] mutex_unlock
     0.04%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.04%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node_trace
     0.04%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.03%  :1494454    python3.10            [.] 0x0000000000121590
     0.03%  python3.10  python3.10            [.] 0x00000000001215df
     0.03%  :1494702    python3.10            [.] 0x000000000012161a
     0.03%  :1494454    python3.10            [.] 0x000000000012161a
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.03%  python3.10  python3.10            [.] 0x0000000000152321
     0.03%  python3.10  [kernel.kallsyms]     [k] kmem_cache_free
     0.03%  :1494349    python3.10            [.] 0x000000000012161a
     0.03%  :1494310    python3.10            [.] 0x000000000012161a
     0.03%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.03%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_trace
     0.03%  python3.10  python3.10            [.] 0x00000000001215b2
     0.03%  python3.10  [kernel.kallsyms]     [k] try_to_wake_up
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.03%  python3.10  [kernel.kallsyms]     [k] __schedule
     0.03%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.02%  :1494387    python3.10            [.] 0x000000000012161a
     0.02%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.02%  :1494672    python3.10            [.] 0x0000000000121590
     0.02%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.02%  python3.10  [kernel.kallsyms]     [k] __calc_delta
     0.02%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.02%  python3.10  [kernel.kallsyms]     [k] __mod_memcg_lruvec_state
     0.02%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.02%  :1494454    python3.10            [.] 0x0000000000121676
     0.02%  python3.10  [kernel.kallsyms]     [k] pick_next_task_fair
     0.02%  python3.10  python3.10            [.] 0x000000000017a8e0
     0.02%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.02%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.02%  python3.10  ld-linux-x86-64.so.2  [.] _dl_check_all_versions
     0.02%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.02%  python3.10  [kernel.kallsyms]     [k] iterate_groups
     0.02%  python3.10  [kernel.kallsyms]     [k] find_vma
     0.02%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.02%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.02%  python3.10  [kernel.kallsyms]     [k] x86_pmu_enable
     0.02%  python3.10  python3.10            [.] 0x0000000000121672
     0.02%  python3.10  python3.10            [.] PyDict_GetItemWithError
     0.02%  python3.10  python3.10            [.] 0x000000000015bb24
     0.02%  :1494349    python3.10            [.] 0x0000000000121616
     0.02%  python3.10  python3.10            [.] 0x000000000015b506
     0.02%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.02%  :1494672    python3.10            [.] 0x0000000000121737
     0.02%  python3.10  [kernel.kallsyms]     [k] update_rq_clock
     0.02%  :1494454    python3.10            [.] 0x000000000012160b
     0.02%  python3.10  python3.10            [.] 0x0000000000206c5f
     0.02%  python3.10  [kernel.kallsyms]     [k] __cond_resched
     0.02%  python3.10  [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath.part.0
     0.02%  python3.10  python3.10            [.] PyObject_SetAttr
     0.02%  :1494672    python3.10            [.] 0x00000000001215c4
     0.02%  :1494387    python3.10            [.] 0x0000000000121605
     0.02%  python3.10  [kernel.kallsyms]     [k] copy_process
     0.02%  :1494756    python3.10            [.] 0x0000000000121605
     0.02%  :1494756    python3.10            [.] 0x000000000012160b
     0.02%  :1494454    python3.10            [.] 0x0000000000121623
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_insert_color
     0.02%  :1494454    python3.10            [.] 0x0000000000121616
     0.02%  :1494454    python3.10            [.] 0x0000000000121613
     0.02%  :1494756    python3.10            [.] 0x000000000012161a
     0.02%  python3.10  [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.02%  :1494756    python3.10            [.] 0x000000000012160f
     0.02%  :1494454    python3.10            [.] 0x0000000000121730
     0.02%  python3.10  python3.10            [.] 0x00000000001215c8
     0.02%  python3.10  [kernel.kallsyms]     [k] psi_flags_change
     0.02%  python3.10  python3.10            [.] _PyType_Lookup
     0.02%  python3.10  [kernel.kallsyms]     [k] x86_setup_perfctr
     0.02%  python3.10  [kernel.kallsyms]     [k] mutex_lock
     0.02%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]     [k] __entry_text_start
     0.02%  :1494604    python3.10            [.] 0x0000000000121613
     0.02%  python3.10  libc.so.6             [.] 0x00000000001a1140
     0.02%  python3.10  [kernel.kallsyms]     [k] native_apic_msr_eoi_write
     0.02%  python3.10  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.02%  python3.10  [kernel.kallsyms]     [k] read_tsc
     0.02%  python3.10  [kernel.kallsyms]     [k] ctx_sched_in
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_swevent_add
     0.01%  python3.10  [kernel.kallsyms]     [k] prepare_task_switch
     0.01%  python3.10  [kernel.kallsyms]     [k] hrtick_update
     0.01%  python3.10  [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.01%  python3.10  [kernel.kallsyms]     [k] dequeue_task_fair
     0.01%  python3.10  python3.10            [.] 0x0000000000179553
     0.01%  python3.10  python3.10            [.] 0x000000000030e43f
     0.01%  python3.10  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.01%  python3.10  [kernel.kallsyms]     [k] acct_collect
     0.01%  python3.10  [kernel.kallsyms]     [k] account_event
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_page
     0.01%  python3.10  [kernel.kallsyms]     [k] inherit_task_group.isra.0
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_try_init_event
     0.01%  python3.10  python3.10            [.] 0x0000000000178690
     0.01%  python3.10  python3.10            [.] 0x000000000017a880
     0.01%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.01%  python3.10  python3.10            [.] 0x000000000015ef7f
     0.01%  python3.10  python3.10            [.] 0x000000000015b568
     0.01%  :1494552    python3.10            [.] 0x0000000000121590
     0.01%  python3.10  python3.10            [.] 0x0000000000206a26
     0.01%  :1494502    python3.10            [.] 0x0000000000121605
     0.01%  python3.10  [kernel.kallsyms]     [k] dup_task_struct
     0.01%  python3.10  [kernel.kallsyms]     [k] local_clock
     0.01%  python3.10  python3.10            [.] PyObject_Malloc
     0.01%  python3.10  python3.10            [.] 0x000000000015ef70
     0.01%  python3.10  [kernel.kallsyms]     [k] should_failslab
     0.01%  :1494502    python3.10            [.] 0x00000000001215ab
     0.01%  :1494604    python3.10            [.] 0x0000000000121623
     0.01%  :1494349    python3.10            [.] 0x0000000000121676
     0.01%  python3.10  python3.10            [.] 0x000000000018bfa0
     0.01%  python3.10  python3.10            [.] 0x000000000017cf5e
     0.01%  python3.10  python3.10            [.] 0x000000000012161d
     0.01%  python3.10  python3.10            [.] 0x000000000015d646
     0.01%  :1494310    python3.10            [.] 0x0000000000121623
     0.01%  python3.10  python3.10            [.] 0x0000000000277517
     0.01%  python3.10  [kernel.kallsyms]     [k] futex_wait_setup
     0.01%  python3.10  [kernel.kallsyms]     [k] memcpy_erms
     0.01%  python3.10  python3.10            [.] PyObject_GC_Del
     0.01%  :1494552    python3.10            [.] 0x0000000000121616
     0.01%  :1494349    python3.10            [.] 0x00000000001215f7
     0.01%  :1494502    python3.10            [.] 0x0000000000121737
     0.01%  :1494502    [kernel.kallsyms]     [k] rb_insert_color
     0.01%  :1494552    python3.10            [.] 0x0000000000121676
     0.01%  python3.10  [kernel.kallsyms]     [k] __softirqentry_text_start
     0.01%  :1494702    python3.10            [.] 0x00000000001215a3
     0.01%  :1494502    python3.10            [.] 0x00000000001215f2
     0.01%  :1494349    python3.10            [.] 0x00000000001215dc
     0.01%  :1494502    [kernel.kallsyms]     [k] native_write_msr_safe
     0.01%  python3.10  [kernel.kallsyms]     [k] __srcu_read_lock
     0.01%  python3.10  [kernel.kallsyms]     [k] aa_dfa_match
     0.01%  python3.10  python3.10            [.] PyUnicode_FromFormatV
     0.01%  python3.10  python3.10            [.] _PyUnicode_JoinArray
     0.01%  python3.10  [kernel.kallsyms]     [k] enqueue_entity
     0.01%  :1494349    python3.10            [.] 0x0000000000121638
     0.01%  :1494349    python3.10            [.] 0x0000000000121590
     0.01%  :1494702    python3.10            [.] 0x00000000001215c4
     0.01%  :1494552    python3.10            [.] 0x00000000001215a3
     0.01%  python3.10  [kernel.kallsyms]     [k] wake_up_process
     0.01%  :1494310    python3.10            [.] 0x000000000016ab59
     0.01%  :1494349    python3.10            [.] 0x00000000001215c4
     0.01%  :1494552    python3.10            [.] 0x00000000001215f2
     0.01%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.01%  :1494604    python3.10            [.] 0x00000000001215a7
     0.01%  :1494387    python3.10            [.] 0x00000000001215bc
     0.01%  :1494310    [kernel.kallsyms]     [k] native_write_msr
     0.01%  :1494552    [kernel.kallsyms]     [k] psi_task_switch
     0.01%  python3.10  python3.10            [.] 0x0000000000151e2e
     0.01%  python3.10  python3.10            [.] 0x0000000000159a95
     0.01%  :1494552    python3.10            [.] 0x0000000000121605
     0.01%  :1494387    python3.10            [.] 0x0000000000121616
     0.01%  :1494672    python3.10            [.] 0x0000000000121616
     0.01%  :1494387    python3.10            [.] 0x0000000000121623
     0.01%  :1494387    python3.10            [.] 0x0000000000121596
     0.01%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.01%  :1494604    python3.10            [.] 0x0000000000121676
     0.01%  :1494387    python3.10            [.] 0x0000000000121628
     0.01%  :1494454    python3.10            [.] 0x0000000000121679
     0.01%  :1494756    python3.10            [.] 0x0000000000121679
     0.01%  :1494604    python3.10            [.] 0x0000000000121590
     0.01%  :1494387    python3.10            [.] 0x000000000012159d
     0.01%  :1494787    python3.10            [.] 0x0000000000121599
     0.01%  :1494552    python3.10            [.] 0x00000000001215e2
     0.01%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.01%  python3.10  python3.10            [.] 0x000000000013867b
     0.01%  :1494552    python3.10            [.] 0x00000000001215dc
     0.01%  python3.10  [kernel.kallsyms]     [k] aa_path_perm
     0.01%  python3.10  python3.10            [.] 0x000000000015237c
     0.01%  :1494604    python3.10            [.] 0x0000000000121605
     0.01%  :1494756    python3.10            [.] 0x000000000012159b
     0.01%  :1494672    python3.10            [.] 0x0000000000121605
     0.01%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.01%  :1494702    python3.10            [.] 0x00000000001215f2
     0.01%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%  :1494787    python3.10            [.] 0x000000000012161a
     0.01%  :1494454    python3.10            [.] 0x00000000001215d8
     0.01%  :1494787    python3.10            [.] 0x00000000001215c4
     0.01%  :1494454    python3.10            [.] 0x00000000001215a2
     0.01%  python3.10  [kernel.kallsyms]     [k] __remove_hrtimer
     0.01%  python3.10  python3.10            [.] 0x000000000015f305
     0.01%  :1494787    python3.10            [.] 0x0000000000121628
     0.01%  :1494387    python3.10            [.] 0x0000000000121679
     0.01%  python3.10  [kernel.kallsyms]     [k] sched_slice
     0.01%  python3.10  python3.10            [.] PyObject_GetAttr
     0.01%  :1494787    python3.10            [.] 0x0000000000121676
     0.01%  :1494502    python3.10            [.] 0x0000000000121613
     0.01%  python3.10  [kernel.kallsyms]     [k] rb_erase
     0.01%  :1494702    python3.10            [.] 0x0000000000121623
     0.01%  :1494787    python3.10            [.] 0x000000000012160f
     0.01%  :1494502    python3.10            [.] 0x0000000000121635
     0.01%  :1494604    python3.10            [.] 0x000000000012161a
     0.01%  :1494604    python3.10            [.] 0x00000000001215a3
     0.01%  python3.10  [kernel.kallsyms]     [k] set_next_entity
     0.01%  :1494756    python3.10            [.] 0x00000000001215a3
     0.01%  python3.10  libc.so.6             [.] ____wcstod_l_internal
     0.01%  :1494502    python3.10            [.] 0x000000000012160f
     0.01%  :1494756    python3.10            [.] 0x0000000000121730
     0.01%  :1494672    python3.10            [.] 0x0000000000121613
     0.01%  :1494387    [kernel.kallsyms]     [k] __irqentry_text_end
     0.01%  python3.10  python3.10            [.] 0x0000000000188e21
     0.01%  python3.10  [kernel.kallsyms]     [k] clear_buddies
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_task_output
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a0940
     0.01%  python3.10  python3.10            [.] PyErr_GivenExceptionMatches
     0.01%  :1494702    python3.10            [.] 0x000000000012159d
     0.01%  python3.10  [kernel.kallsyms]     [k] native_write_msr_safe
     0.01%  :1494454    python3.10            [.] 0x00000000001215a3
     0.01%  :1494454    python3.10            [.] 0x00000000001215f7
     0.01%  :1494387    python3.10            [.] 0x0000000000121613
     0.01%  :1494702    python3.10            [.] 0x000000000012160f
     0.01%  python3.10  [kernel.kallsyms]     [k] ___perf_sw_event
     0.01%  :1494310    python3.10            [.] 0x0000000000121613
     0.01%  :1494310    python3.10            [.] 0x000000000012160b
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_user_generic_unrolled
     0.01%  python3.10  [kernel.kallsyms]     [k] hrtimer_interrupt
     0.01%  :1494552    python3.10            [.] 0x00000000001215f7
     0.01%  python3.10  [kernel.kallsyms]     [k] update_sg_wakeup_stats
     0.01%  python3.10  python3.10            [.] 0x000000000011b400
     0.01%  python3.10  [kernel.kallsyms]     [k] lockless_pages_from_mm
     0.01%  python3.10  [kernel.kallsyms]     [k] __kmalloc
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.01%  python3.10  python3.10            [.] 0x000000000016653d
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_context_sched_out
     0.01%  python3.10  libcrypto.so.3        [.] 0x00000000002939b0
     0.01%  python3.10  python3.10            [.] 0x00000000001580a2
