# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 5103869318
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    64.52%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     5.76%  python3.10  python3.10         [.] 0x000000000012161a
     1.40%  python3.10  python3.10         [.] 0x0000000000121590
     1.14%  python3.10  python3.10         [.] 0x0000000000121623
     1.06%  python3.10  python3.10         [.] 0x0000000000121613
     1.06%  python3.10  python3.10         [.] 0x0000000000121605
     0.98%  python3.10  python3.10         [.] 0x000000000012160b
     0.80%  python3.10  python3.10         [.] 0x00000000001215c4
     0.69%  python3.10  python3.10         [.] 0x00000000001215f7
     0.68%  python3.10  python3.10         [.] 0x0000000000121676
     0.67%  python3.10  python3.10         [.] 0x0000000000121635
     0.66%  :1495781    python3.10         [.] _PyEval_EvalFrameDefault
     0.64%  python3.10  python3.10         [.] 0x00000000001215f2
     0.64%  python3.10  python3.10         [.] 0x0000000000121596
     0.63%  python3.10  python3.10         [.] 0x0000000000121679
     0.55%  :1495463    python3.10         [.] _PyEval_EvalFrameDefault
     0.54%  python3.10  python3.10         [.] 0x0000000000121730
     0.53%  :1495658    python3.10         [.] _PyEval_EvalFrameDefault
     0.53%  python3.10  python3.10         [.] 0x000000000012159b
     0.50%  python3.10  python3.10         [.] 0x0000000000121628
     0.50%  python3.10  python3.10         [.] 0x0000000000121737
     0.50%  python3.10  python3.10         [.] 0x0000000000121616
     0.49%  :1495340    python3.10         [.] _PyEval_EvalFrameDefault
     0.49%  :1495752    python3.10         [.] _PyEval_EvalFrameDefault
     0.49%  :1495577    python3.10         [.] _PyEval_EvalFrameDefault
     0.47%  :1495206    python3.10         [.] _PyEval_EvalFrameDefault
     0.45%  :1495543    python3.10         [.] _PyEval_EvalFrameDefault
     0.44%  :1495406    python3.10         [.] _PyEval_EvalFrameDefault
     0.42%  :1495628    python3.10         [.] _PyEval_EvalFrameDefault
     0.40%  :1495504    python3.10         [.] _PyEval_EvalFrameDefault
     0.40%  python3.10  python3.10         [.] 0x000000000012160f
     0.39%  python3.10  python3.10         [.] 0x0000000000121638
     0.35%  :1495258    python3.10         [.] _PyEval_EvalFrameDefault
     0.34%  python3.10  python3.10         [.] 0x00000000001215ab
     0.32%  :1495675    python3.10         [.] _PyEval_EvalFrameDefault
     0.30%  python3.10  python3.10         [.] 0x00000000001215cb
     0.30%  python3.10  python3.10         [.] 0x00000000001215a3
     0.30%  python3.10  python3.10         [.] 0x00000000001215dc
     0.28%  python3.10  python3.10         [.] 0x000000000012167d
     0.27%  python3.10  python3.10         [.] 0x000000000012159d
     0.24%  :1495725    python3.10         [.] _PyEval_EvalFrameDefault
     0.24%  python3.10  python3.10         [.] 0x00000000001215a2
     0.21%  python3.10  python3.10         [.] 0x00000000001215e5
     0.19%  python3.10  python3.10         [.] 0x00000000001215e2
     0.19%  python3.10  python3.10         [.] 0x00000000001215a7
     0.17%  python3.10  python3.10         [.] 0x00000000001215bc
     0.16%  python3.10  python3.10         [.] 0x00000000001215e9
     0.14%  :1495300    python3.10         [.] _PyEval_EvalFrameDefault
     0.14%  python3.10  python3.10         [.] 0x00000000001215d8
     0.12%  python3.10  python3.10         [.] 0x000000000012167b
     0.11%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.10%  python3.10  python3.10         [.] 0x0000000000121600
     0.10%  :1495463    python3.10         [.] 0x000000000012161a
     0.08%  :1495504    python3.10         [.] 0x000000000012161a
     0.08%  python3.10  python3.10         [.] 0x000000000012167f
     0.08%  python3.10  python3.10         [.] 0x0000000000121594
     0.07%  :1495781    python3.10         [.] 0x0000000000121590
     0.07%  :1495577    python3.10         [.] 0x000000000012161a
     0.07%  python3.10  python3.10         [.] 0x0000000000121599
     0.07%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.06%  :1495340    python3.10         [.] 0x000000000012161a
     0.06%  :1495781    python3.10         [.] 0x00000000001215c4
     0.06%  :1495543    python3.10         [.] 0x000000000012161a
     0.06%  python3.10  python3.10         [.] 0x00000000001215a0
     0.06%  python3.10  python3.10         [.] 0x00000000001215c8
     0.05%  python3.10  python3.10         [.] 0x00000000001215b2
     0.05%  python3.10  python3.10         [.] 0x000000000012162c
     0.05%  :1495752    python3.10         [.] 0x000000000012161a
     0.05%  :1495781    python3.10         [.] 0x000000000012161a
     0.04%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  python3.10         [.] 0x00000000001215a6
     0.04%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.04%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.04%  :1495725    python3.10         [.] 0x000000000012161a
     0.04%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.04%  :1495781    python3.10         [.] 0x0000000000121676
     0.04%  python3.10  python3.10         [.] 0x000000000018bf8d
     0.04%  :1495406    python3.10         [.] 0x000000000012161a
     0.04%  :1495258    python3.10         [.] 0x0000000000121590
     0.04%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.04%  :1495543    python3.10         [.] 0x0000000000121613
     0.04%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.03%  :1495206    python3.10         [.] 0x0000000000121590
     0.03%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.03%  :1495206    python3.10         [.] 0x000000000012161a
     0.03%  python3.10  python3.10         [.] 0x0000000000137b1b
     0.03%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.03%  :1495658    python3.10         [.] 0x0000000000121590
     0.03%  python3.10  python3.10         [.] 0x0000000000121677
     0.03%  python3.10  [kernel.kallsyms]  [k] __cond_resched
     0.03%  python3.10  [kernel.kallsyms]  [k] find_vma
     0.03%  python3.10  python3.10         [.] PyList_Append
     0.03%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.03%  :1495675    python3.10         [.] 0x000000000012161a
     0.03%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.03%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_prepare
     0.03%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.03%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.03%  :1495340    python3.10         [.] 0x00000000001215c4
     0.03%  :1495340    python3.10         [.] 0x0000000000121676
     0.02%  :1495206    python3.10         [.] 0x0000000000121623
     0.02%  python3.10  [kernel.kallsyms]  [k] iterate_groups
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.02%  python3.10  [kernel.kallsyms]  [k] rmqueue
     0.02%  python3.10  [kernel.kallsyms]  [k] task_active_pid_ns
     0.02%  python3.10  [kernel.kallsyms]  [k] unmapped_area_topdown
     0.02%  python3.10  python3.10         [.] PyTraceBack_Here
     0.02%  python3.10  python3.10         [.] 0x0000000000129e6f
     0.02%  :1495340    python3.10         [.] 0x000000000012160b
     0.02%  :1495340    python3.10         [.] 0x0000000000121635
     0.02%  :1495504    python3.10         [.] 0x0000000000121679
     0.02%  :1495752    python3.10         [.] 0x000000000012159b
     0.02%  python3.10  [kernel.kallsyms]  [k] x86_pmu_event_init
     0.02%  python3.10  libc.so.6          [.] __strncat_ssse3
     0.02%  python3.10  python3.10         [.] PyUnicode_Format
     0.02%  :1495300    python3.10         [.] 0x000000000012161a
     0.02%  :1495752    python3.10         [.] 0x0000000000121737
     0.02%  :1495658    python3.10         [.] 0x000000000012159b
     0.02%  :1495628    python3.10         [.] 0x00000000001215a3
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.02%  python3.10  python3.10         [.] 0x0000000000121734
     0.02%  :1495543    python3.10         [.] 0x000000000012160f
     0.02%  :1495543    python3.10         [.] 0x00000000001215f2
     0.02%  python3.10  [kernel.kallsyms]  [k] __lock_text_start
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.02%  :1495258    python3.10         [.] 0x0000000000121613
     0.02%  python3.10  [kernel.kallsyms]  [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]  [k] psi_task_switch
     0.02%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.02%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.02%  :1495258    python3.10         [.] 0x0000000000121676
     0.02%  :1495658    python3.10         [.] 0x00000000001215f2
     0.02%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.02%  python3.10  python3.10         [.] 0x00000000001215c0
     0.02%  :1495406    python3.10         [.] 0x0000000000121596
     0.02%  python3.10  libc.so.6          [.] ____wcstod_l_internal
     0.02%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.02%  python3.10  [kernel.kallsyms]  [k] irq_exit_rcu
     0.02%  python3.10  python3.10         [.] 0x000000000015b1ca
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.02%  python3.10  [kernel.kallsyms]  [k] is_cpu_allowed
     0.02%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.02%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.02%  :1495628    python3.10         [.] 0x0000000000121613
     0.02%  :1495340    python3.10         [.] 0x0000000000121613
     0.02%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.02%  python3.10  python3.10         [.] 0x000000000012166e
     0.02%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]  [k] __init_waitqueue_head
     0.02%  python3.10  [kernel.kallsyms]  [k] __perf_event__output_id_sample
     0.02%  python3.10  [kernel.kallsyms]  [k] __srcu_read_lock
