# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 1888302941
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    19.38%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.47%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.53%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.29%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.17%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.88%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.88%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.88%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.83%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.79%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.78%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.75%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.75%  python3.10  python3.10                                [.] PyList_Append
     0.70%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.61%  python3.10  python3.10                                [.] 0x000000000015effa
     0.58%  python3.10  python3.10                                [.] PyLong_FromString
     0.56%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.55%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.52%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.51%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.48%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.46%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.43%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.39%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.38%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.38%  python3.10  python3.10                                [.] PyDict_Contains
     0.38%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.37%  python3.10  libc.so.6                                 [.] re_search_internal
     0.35%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.33%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.33%  python3.10  python3.10                                [.] 0x000000000015f000
     0.33%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.32%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.32%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.31%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.31%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.30%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.30%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.29%  python3.10  libc.so.6                                 [.] __netlink_request
     0.29%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.28%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.28%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.28%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.28%  python3.10  python3.10                                [.] 0x0000000000137a9c
     0.28%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.27%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.27%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.27%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.26%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.26%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.26%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.25%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.25%  python3.10  [kernel.kallsyms]                         [k] schedule_hrtimeout_range_clock
     0.24%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.24%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.24%  python3.10  python3.10                                [.] 0x000000000015b541
     0.24%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.24%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.24%  python3.10  python3.10                                [.] 0x00000000001229d0
     0.22%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.22%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.22%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.22%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.21%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.21%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.21%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.21%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.21%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.20%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
     0.20%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.20%  python3.10  libc.so.6                                 [.] 0x00000000001a10e0
     0.20%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.20%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.20%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.20%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.19%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.19%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.19%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.19%  python3.10  python3.10                                [.] 0x0000000000122820
     0.18%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.18%  python3.10  python3.10                                [.] 0x000000000020beee
     0.18%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.18%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.18%  python3.10  python3.10                                [.] 0x000000000018d113
     0.18%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.18%  python3.10  [kernel.kallsyms]                         [k] fput_many
     0.18%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.18%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.18%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.17%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.17%  python3.10  python3.10                                [.] 0x000000000018d599
     0.17%  python3.10  python3.10                                [.] 0x00000000000b643e
     0.17%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.17%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.16%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.16%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.16%  python3.10  python3.10                                [.] PyMem_Realloc
     0.16%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.16%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.16%  python3.10  [kernel.kallsyms]                         [k] tcp_sendmsg_locked
     0.16%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.16%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.15%  python3.10  libcrypto.so.3                            [.] EVP_MD_free
     0.15%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.15%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.15%  python3.10  [kernel.kallsyms]                         [k] do_vfs_ioctl
     0.15%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
