# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 768748062
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    22.39%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.99%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.87%  python3.10  python3.10                                [.] PyLong_FromString
     1.33%  python3.10  python3.10                                [.] PyList_Append
     1.16%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.97%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.70%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.66%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.63%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.59%  python3.10  libc.so.6                                 [.] re_search_internal
     0.58%  python3.10  python3.10                                [.] PyDict_Contains
     0.57%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.54%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.53%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.52%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.49%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.48%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.47%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.47%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.46%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.46%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.43%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.41%  python3.10  python3.10                                [.] 0x000000000018d589
     0.41%  python3.10  python3.10                                [.] 0x0000000000122820
     0.39%  python3.10  python3.10                                [.] 0x000000000015b546
     0.39%  python3.10  python3.10                                [.] 0x000000000015effa
     0.38%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.37%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.33%  python3.10  python3.10                                [.] 0x0000000000188dc9
     0.33%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.32%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.31%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.31%  python3.10  python3.10                                [.] PyObject_Free
     0.31%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.30%  python3.10  libc.so.6                                 [.] 0x00000000001a0951
     0.29%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.29%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.29%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.29%  python3.10  python3.10                                [.] PyNumber_Xor
     0.29%  python3.10  python3.10                                [.] 0x000000000015b541
     0.27%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.27%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.26%  python3.10  python3.10                                [.] 0x00000000001740af
     0.26%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
