CS ID,CS PID
2-39-128-562,1505604
2-39-125-559,1505611
2-39-123-557,1505629
2-39-95-27,1505641
2-39-88-24,1505647
2-39-126-20,1505654
2-39-125-21,1505665
2-39-124-558,1505658
2-39-138-29,1505671
2-39-78-362,1505695
2-39-83-387,1505684
2-39-129-563,1505731
2-39-92-436,1505738
2-39-131-30,1505750
2-39-78-366,1505818
2-39-83-386,1505811
2-39-79-379,1505820
2-39-139-28,1505827
2-39-78-367,1505824
2-39-79-383,1505806
2-39-78-361,1505823
2-39-78-363,1505822
2-39-79-378,1505825
2-39-129-17,1505714
2-39-139-567,1505616
2-39-123-23,1505634
2-39-79-377,1505624
2-39-124-22,1505861
2-39-92-442,1505677
2-39-91-437,1505701
2-39-88-438,1505689
2-39-128-18,1505725
2-39-130-564,1505720
2-39-79-380,1505707
2-39-131-565,1505743
2-39-79-381,1505821
2-39-95-444,1505798
2-39-127-19,1505840
2-39-90-440,1505844
2-39-79-382,1505601
2-39-78-364,1505826
2-39-82-384,1505851
2-39-78-365,1505867
2-39-78-360,1505869
2-39-91-441,1505887
2-39-79-376,1505908
2-39-89-439,1505901
2-39-138-566,1505924
2-39-89-25,1505929
2-39-130-31,1505957
2-39-126-560,1505959
2-39-90-26,1505962
2-39-127-561,1505960
