# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 21539653069
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    41.64%  :1506060    python3.10         [.] _PyEval_EvalFrameDefault
    13.68%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     5.40%  :1506060    python3.10         [.] PyObject_RichCompare
     4.38%  :1506060    python3.10         [.] 0x000000000012161a
     3.39%  :1506060    python3.10         [.] 0x0000000000121590
     2.09%  :1506060    python3.10         [.] 0x0000000000179c52
     1.03%  :1506060    python3.10         [.] 0x00000000001215c4
     0.95%  :1506060    python3.10         [.] 0x000000000015b546
     0.87%  :1506060    python3.10         [.] 0x0000000000121596
     0.85%  :1506060    python3.10         [.] 0x0000000000121613
     0.79%  :1506060    python3.10         [.] 0x0000000000121605
     0.69%  :1506060    python3.10         [.] 0x000000000012160b
     0.63%  :1506060    python3.10         [.] 0x000000000012159b
     0.61%  :1506060    python3.10         [.] 0x0000000000121730
     0.61%  :1506060    python3.10         [.] 0x0000000000121676
     0.60%  python3.10  python3.10         [.] 0x000000000012161a
     0.60%  :1506060    python3.10         [.] 0x0000000000121623
     0.59%  :1506060    python3.10         [.] 0x0000000000179c4e
     0.58%  :1506060    python3.10         [.] 0x0000000000121734
     0.56%  :1506060    python3.10         [.] 0x00000000001215a3
     0.52%  :1506060    python3.10         [.] 0x0000000000121737
     0.47%  :1506060    python3.10         [.] 0x000000000015b506
     0.43%  :1506060    python3.10         [.] 0x00000000001215f2
     0.41%  :1506060    python3.10         [.] 0x00000000001215ab
     0.39%  :1506060    python3.10         [.] 0x000000000015b500
     0.38%  python3.10  python3.10         [.] 0x0000000000121590
     0.37%  :1506060    python3.10         [.] 0x000000000012167d
     0.37%  :1506060    python3.10         [.] 0x0000000000121679
     0.36%  :1506060    python3.10         [.] 0x0000000000173d50
     0.36%  :1506060    python3.10         [.] 0x0000000000121594
     0.36%  :1506060    python3.10         [.] 0x0000000000179c02
     0.34%  :1506060    python3.10         [.] 0x0000000000121653
     0.33%  :1506060    python3.10         [.] 0x0000000000179be0
     0.31%  :1506060    python3.10         [.] 0x000000000012159d
     0.31%  :1506060    python3.10         [.] 0x00000000001215f7
