# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 3811097687
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    74.45%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.79%  python3.10  python3.10            [.] 0x000000000012161a
     1.86%  python3.10  python3.10            [.] 0x0000000000121590
     1.44%  python3.10  python3.10            [.] 0x00000000001215c4
     1.11%  python3.10  python3.10            [.] 0x0000000000121605
     1.01%  python3.10  python3.10            [.] 0x0000000000121676
     0.98%  python3.10  python3.10            [.] 0x0000000000121613
     0.88%  python3.10  python3.10            [.] 0x0000000000121730
     0.76%  python3.10  python3.10            [.] 0x00000000001215f2
     0.73%  python3.10  python3.10            [.] 0x0000000000121596
     0.72%  python3.10  python3.10            [.] 0x00000000001215f7
     0.63%  python3.10  python3.10            [.] 0x0000000000121737
     0.62%  python3.10  python3.10            [.] 0x0000000000121679
     0.52%  python3.10  python3.10            [.] 0x000000000012159b
     0.51%  python3.10  python3.10            [.] 0x00000000001215a3
     0.50%  python3.10  python3.10            [.] 0x00000000001215a7
     0.41%  python3.10  python3.10            [.] 0x000000000012167d
     0.37%  python3.10  python3.10            [.] 0x00000000001215dc
     0.36%  python3.10  python3.10            [.] 0x000000000012160b
     0.32%  python3.10  python3.10            [.] 0x00000000001215ab
     0.31%  python3.10  python3.10            [.] 0x00000000001215bc
     0.30%  python3.10  python3.10            [.] 0x00000000001215cb
     0.28%  :1506600    python3.10            [.] _PyEval_EvalFrameDefault
     0.26%  python3.10  python3.10            [.] 0x00000000001215a2
     0.25%  python3.10  python3.10            [.] 0x00000000001215e9
     0.23%  python3.10  python3.10            [.] 0x000000000012160f
     0.20%  python3.10  python3.10            [.] 0x000000000012159d
     0.20%  python3.10  python3.10            [.] 0x00000000001215e2
     0.20%  python3.10  python3.10            [.] 0x0000000000121616
     0.20%  python3.10  python3.10            [.] 0x00000000001215e5
     0.18%  python3.10  python3.10            [.] 0x0000000000121594
     0.16%  python3.10  python3.10            [.] 0x0000000000121599
     0.15%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.14%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.14%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.14%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.14%  python3.10  python3.10            [.] 0x0000000000121600
     0.14%  python3.10  python3.10            [.] 0x000000000012167b
     0.14%  python3.10  python3.10            [.] 0x00000000001215a0
     0.12%  python3.10  python3.10            [.] 0x000000000012167f
     0.11%  python3.10  python3.10            [.] 0x00000000001215d8
     0.11%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.11%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.10%  python3.10  python3.10            [.] 0x0000000000121677
     0.09%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.09%  python3.10  [kernel.kallsyms]     [k] event_sched_in
