# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'cycles'
# Event count (approx.): 16383464661
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    54.81%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.50%  python3.10  python3.10                                [.] PyObject_RichCompare
     4.87%  python3.10  python3.10                                [.] 0x000000000012161a
     3.67%  python3.10  python3.10                                [.] 0x0000000000121590
     2.01%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.26%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.00%  python3.10  python3.10                                [.] 0x000000000015b546
     0.98%  python3.10  python3.10                                [.] 0x0000000000121605
     0.94%  python3.10  python3.10                                [.] 0x0000000000121596
     0.94%  python3.10  python3.10                                [.] 0x0000000000121613
     0.90%  python3.10  python3.10                                [.] 0x0000000000121730
     0.89%  python3.10  python3.10                                [.] 0x0000000000121676
     0.78%  python3.10  python3.10                                [.] 0x0000000000121737
     0.73%  python3.10  python3.10                                [.] 0x000000000012160b
     0.69%  python3.10  python3.10                                [.] 0x0000000000121734
     0.68%  python3.10  python3.10                                [.] 0x000000000012159b
     0.64%  python3.10  python3.10                                [.] 0x0000000000121623
     0.62%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.60%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.56%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.54%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.47%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.46%  python3.10  python3.10                                [.] 0x000000000015b500
     0.44%  python3.10  python3.10                                [.] 0x0000000000121679
     0.43%  python3.10  python3.10                                [.] 0x000000000012167d
     0.41%  python3.10  python3.10                                [.] 0x0000000000121616
     0.40%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.39%  python3.10  python3.10                                [.] 0x000000000015b506
     0.37%  python3.10  python3.10                                [.] 0x0000000000121594
     0.37%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.36%  python3.10  python3.10                                [.] 0x000000000012159d
     0.33%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.32%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.29%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.29%  python3.10  python3.10                                [.] 0x000000000015b537
     0.28%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.28%  python3.10  python3.10                                [.] 0x0000000000121653
     0.28%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.27%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.24%  python3.10  python3.10                                [.] 0x0000000000121600
     0.23%  python3.10  python3.10                                [.] 0x000000000012160f
