# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1221745073
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    24.68%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.04%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.52%  python3.10  python3.10                                [.] PyLong_FromString
     1.49%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.11%  python3.10  python3.10                                [.] 0x00000000001d4961
     1.04%  python3.10  python3.10                                [.] PyList_Append
     0.83%  python3.10  python3.10                                [.] 0x000000000015b546
     0.75%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.72%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.68%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.65%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.62%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.55%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.48%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.48%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.48%  python3.10  python3.10                                [.] 0x0000000000174090
     0.42%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.41%  python3.10  python3.10                                [.] 0x000000000017c380
     0.40%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.40%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.38%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.35%  python3.10  python3.10                                [.] 0x000000000018d599
     0.33%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.33%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.33%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.33%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.32%  python3.10  python3.10                                [.] 0x000000000018d589
     0.32%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.32%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.31%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.31%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.30%  python3.10  libc.so.6                                 [.] 0x00000000001a0951
     0.30%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.30%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.30%  python3.10  python3.10                                [.] 0x00000000001d48d0
     0.29%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.28%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.28%  python3.10  python3.10                                [.] 0x00000000001740af
     0.27%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.27%  python3.10  python3.10                                [.] 0x000000000015effa
     0.25%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.25%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.24%  python3.10  libc.so.6                                 [.] 0x00000000001a0975
     0.23%  python3.10  python3.10                                [.] 0x00000000001228ac
     0.23%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.22%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.22%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.22%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.22%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.21%  python3.10  python3.10                                [.] 0x000000000018c0be
     0.21%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.21%  python3.10  python3.10                                [.] PyDict_Contains
     0.20%  python3.10  python3.10                                [.] 0x0000000000122930
     0.20%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.20%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.20%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.20%  python3.10  python3.10                                [.] 0x0000000000179592
     0.20%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.19%  python3.10  python3.10                                [.] 0x00000000002cfed2
     0.19%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.19%  python3.10  python3.10                                [.] 0x000000000018d1c1
     0.19%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.19%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.19%  python3.10  python3.10                                [.] 0x000000000015b56c
