CS ID,CS PID
2-39-95-27,1517368
2-39-126-560,1517362
2-39-78-362,1517428
2-39-90-26,1517448
2-39-91-437,1517436
2-39-123-23,1517492
2-39-124-22,1517360
2-39-89-25,1517451
2-39-90-440,1517449
2-39-130-564,1517450
2-39-131-30,1517381
2-39-130-31,1517375
2-39-79-381,1517496
2-39-78-363,1517480
2-39-78-361,1517508
2-39-88-24,1517509
2-39-88-438,1517511
2-39-128-562,1517553
2-39-83-386,1517516
2-39-92-442,1517519
2-39-138-29,1517521
2-39-125-559,1517523
2-39-78-365,1517526
2-39-131-565,1517530
2-39-123-557,1517537
2-39-79-377,1517539
2-39-79-376,1517534
2-39-79-383,1517545
2-39-79-380,1517549
2-39-78-364,1517552
2-39-82-384,1517551
2-39-125-21,1517555
2-39-128-18,1517556
2-39-79-382,1517560
2-39-129-563,1517565
2-39-92-436,1517562
2-39-95-444,1517561
2-39-89-439,1517580
2-39-124-558,1517572
2-39-79-379,1517589
2-39-78-360,1517586
2-39-78-367,1517574
2-39-129-17,1517583
2-39-139-567,1517592
2-39-127-19,1517595
2-39-138-566,1517597
2-39-126-20,1517603
2-39-78-366,1517606
2-39-83-387,1517598
2-39-139-28,1517608
2-39-79-378,1517618
2-39-127-561,1517614
2-39-91-441,1517567
