# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 153K of event 'cycles'
# Event count (approx.): 81893266464
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    72.87%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.73%  python3.10  python3.10                                [.] 0x000000000012161a
     2.92%  python3.10  python3.10                                [.] PyObject_RichCompare
     1.85%  python3.10  python3.10                                [.] 0x0000000000121590
     1.45%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.12%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.93%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.80%  python3.10  python3.10                                [.] 0x0000000000121605
     0.68%  python3.10  python3.10                                [.] 0x0000000000121613
     0.53%  python3.10  python3.10                                [.] 0x000000000012160b
     0.41%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.40%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.39%  python3.10  python3.10                                [.] 0x0000000000121737
     0.39%  python3.10  python3.10                                [.] 0x000000000012159b
     0.39%  python3.10  python3.10                                [.] 0x0000000000121676
     0.37%  python3.10  python3.10                                [.] 0x0000000000121730
     0.36%  python3.10  python3.10                                [.] 0x0000000000121734
     0.31%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.27%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.27%  python3.10  python3.10                                [.] 0x000000000012167d
     0.26%  python3.10  python3.10                                [.] 0x0000000000121623
     0.24%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.23%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.23%  python3.10  python3.10                                [.] 0x0000000000121653
     0.22%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.21%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.21%  python3.10  python3.10                                [.] 0x000000000015b546
     0.19%  python3.10  python3.10                                [.] 0x000000000012160f
     0.19%  python3.10  python3.10                                [.] 0x0000000000121600
     0.18%  python3.10  python3.10                                [.] 0x0000000000121628
     0.15%  python3.10  python3.10                                [.] 0x0000000000121635
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.14%  python3.10  python3.10                                [.] 0x0000000000121596
     0.14%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.14%  python3.10  python3.10                                [.] 0x000000000015b537
     0.13%  python3.10  python3.10                                [.] 0x0000000000121677
     0.13%  python3.10  python3.10                                [.] 0x0000000000121616
     0.12%  python3.10  python3.10                                [.] 0x000000000012166e
     0.12%  python3.10  python3.10                                [.] 0x000000000015b541
     0.11%  python3.10  python3.10                                [.] 0x000000000012167f
     0.11%  python3.10  python3.10                                [.] 0x0000000000121679
     0.11%  python3.10  python3.10                                [.] 0x000000000012167b
     0.10%  python3.10  python3.10                                [.] 0x000000000015b506
     0.09%  python3.10  python3.10                                [.] 0x0000000000121638
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.08%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.07%  python3.10  python3.10                                [.] 0x000000000015b568
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.07%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.07%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.07%  python3.10  python3.10                                [.] 0x0000000000121740
     0.06%  python3.10  python3.10                                [.] 0x000000000015b557
     0.06%  python3.10  python3.10                                [.] 0x000000000015b520
     0.06%  python3.10  python3.10                                [.] 0x0000000000121675
     0.06%  python3.10  python3.10                                [.] 0x0000000000121660
     0.06%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.06%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.06%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c0b
     0.05%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.05%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.05%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.04%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.04%  python3.10  python3.10                                [.] 0x0000000000179bea
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.04%  python3.10  python3.10                                [.] 0x000000000012159d
     0.03%  python3.10  python3.10                                [.] 0x0000000000121754
     0.03%  python3.10  python3.10                                [.] 0x0000000000121757
     0.03%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.03%  python3.10  python3.10                                [.] 0x0000000000179bfb
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.03%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.03%  python3.10  python3.10                                [.] 0x0000000000121749
     0.03%  python3.10  python3.10                                [.] 0x000000000015b53e
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  python3.10  python3.10                                [.] 0x000000000012175a
