# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 178K of event 'cycles'
# Event count (approx.): 70469451929
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    50.49%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
    20.42%  :1517780    python3.10                                [.] _PyEval_EvalFrameDefault
     3.30%  :1517780    python3.10                                [.] PyObject_RichCompare
     2.24%  :1517780    python3.10                                [.] 0x000000000012161a
     1.60%  python3.10  python3.10                                [.] 0x000000000012161a
     1.58%  :1517780    python3.10                                [.] 0x0000000000179c52
     1.50%  :1517780    python3.10                                [.] 0x0000000000121590
     1.10%  :1517780    python3.10                                [.] 0x0000000000179c4e
     0.76%  :1517780    python3.10                                [.] 0x00000000001215c4
     0.52%  python3.10  python3.10                                [.] 0x0000000000121590
     0.50%  :1517780    python3.10                                [.] 0x0000000000121605
     0.42%  :1517780    python3.10                                [.] 0x0000000000121734
     0.40%  :1517780    python3.10                                [.] 0x0000000000121613
     0.36%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.34%  python3.10  python3.10                                [.] 0x0000000000121605
     0.30%  :1517780    python3.10                                [.] 0x0000000000121737
     0.30%  :1517780    python3.10                                [.] 0x00000000001215a3
     0.29%  :1517780    python3.10                                [.] 0x00000000001215ab
     0.28%  :1517780    python3.10                                [.] 0x000000000012160b
     0.28%  :1517780    python3.10                                [.] 0x000000000012159b
     0.25%  :1517780    python3.10                                [.] 0x0000000000121730
     0.25%  :1517780    python3.10                                [.] 0x0000000000121653
     0.24%  python3.10  python3.10                                [.] 0x0000000000121613
     0.24%  python3.10  python3.10                                [.] 0x000000000012160b
     0.23%  :1517780    python3.10                                [.] 0x000000000015b546
     0.23%  :1517780    python3.10                                [.] 0x0000000000121676
     0.23%  :1517780    python3.10                                [.] 0x0000000000179c0e
     0.22%  :1517780    python3.10                                [.] 0x000000000012167d
     0.20%  :1517780    python3.10                                [.] 0x00000000001215dc
     0.20%  :1517780    python3.10                                [.] 0x00000000001215f2
     0.20%  python3.10  python3.10                                [.] 0x0000000000121623
     0.18%  :1517780    python3.10                                [.] 0x0000000000179c46
     0.17%  :1517780    python3.10                                [.] 0x00000000001215e9
     0.16%  python3.10  python3.10                                [.] 0x0000000000121628
     0.15%  :1517780    python3.10                                [.] 0x000000000015b537
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.15%  python3.10  python3.10                                [.] 0x0000000000121676
     0.15%  python3.10  python3.10                                [.] 0x0000000000121730
     0.14%  :1517780    python3.10                                [.] 0x0000000000179c02
     0.14%  python3.10  python3.10                                [.] 0x000000000012159b
     0.14%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.13%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.13%  :1517780    python3.10                                [.] 0x00000000001215cb
     0.13%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.13%  python3.10  python3.10                                [.] 0x0000000000121737
     0.13%  :1517780    python3.10                                [.] 0x0000000000121600
     0.12%  python3.10  python3.10                                [.] 0x000000000012160f
     0.12%  :1517780    python3.10                                [.] 0x000000000015b541
     0.12%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.11%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.11%  :1517780    python3.10                                [.] 0x00000000001215f7
     0.10%  :1517780    python3.10                                [.] 0x000000000015b506
     0.10%  :1517780    python3.10                                [.] 0x0000000000121623
     0.10%  :1517780    python3.10                                [.] 0x0000000000179c13
