# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 167K of event 'cycles'
# Event count (approx.): 83984841921
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    52.15%  :1587595    python3.10            [.] _PyEval_EvalFrameDefault
     7.25%  :1587595    python3.10            [.] PyObject_RichCompare
     6.30%  :1587595    python3.10            [.] 0x000000000012161a
     2.90%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     1.76%  :1587595    python3.10            [.] 0x000000000015b537
     1.40%  :1587595    python3.10            [.] 0x0000000000179c52
     1.27%  :1587595    python3.10            [.] 0x0000000000121676
     1.25%  :1587595    python3.10            [.] 0x0000000000121590
     0.93%  :1587595    python3.10            [.] 0x0000000000121613
     0.80%  :1587595    python3.10            [.] 0x0000000000121737
     0.79%  :1587595    python3.10            [.] 0x000000000012160b
     0.77%  :1587595    python3.10            [.] 0x00000000001215f2
     0.77%  :1587595    python3.10            [.] 0x0000000000121679
     0.72%  :1587595    python3.10            [.] 0x000000000012159b
     0.68%  :1587595    python3.10            [.] 0x0000000000121623
     0.67%  :1587595    python3.10            [.] 0x00000000001215a3
     0.67%  :1587595    python3.10            [.] 0x0000000000121734
     0.65%  :1587595    python3.10            [.] 0x000000000015b541
     0.62%  :1587595    python3.10            [.] 0x0000000000121730
     0.57%  :1587595    python3.10            [.] 0x0000000000121596
     0.56%  :1587595    python3.10            [.] 0x000000000015b53b
     0.55%  :1587595    python3.10            [.] 0x00000000001215f7
     0.55%  :1587595    python3.10            [.] 0x00000000001215c4
     0.52%  :1587595    python3.10            [.] 0x000000000012167d
     0.49%  :1587595    python3.10            [.] 0x00000000001215ab
     0.47%  :1587595    python3.10            [.] 0x000000000015b546
     0.46%  :1587595    python3.10            [.] 0x0000000000179c4e
     0.45%  :1587595    python3.10            [.] 0x00000000001215e9
     0.45%  :1587595    python3.10            [.] 0x0000000000121605
     0.45%  :1587595    python3.10            [.] 0x0000000000121616
     0.43%  :1587595    python3.10            [.] 0x0000000000121635
     0.40%  :1587595    python3.10            [.] 0x00000000001215dc
     0.34%  :1587595    python3.10            [.] 0x0000000000121667
     0.33%  :1587595    python3.10            [.] 0x00000000001215a7
     0.32%  :1587595    python3.10            [.] 0x0000000000121600
     0.30%  :1587595    python3.10            [.] 0x000000000012160f
     0.29%  :1587595    python3.10            [.] 0x00000000001215bc
     0.27%  :1587595    python3.10            [.] 0x000000000015b506
     0.27%  :1587595    python3.10            [.] 0x00000000001215cb
     0.26%  :1587595    python3.10            [.] 0x000000000012159d
     0.26%  :1587595    python3.10            [.] 0x0000000000121653
     0.26%  :1587595    python3.10            [.] 0x000000000012167b
     0.20%  :1587595    python3.10            [.] 0x0000000000121660
     0.20%  :1587595    python3.10            [.] 0x000000000015b56e
     0.20%  :1587595    python3.10            [.] 0x0000000000179c5a
     0.19%  :1587595    python3.10            [.] 0x0000000000179c42
     0.19%  :1587595    python3.10            [.] 0x000000000015b568
     0.19%  :1587595    python3.10            [.] 0x0000000000121677
     0.18%  :1587595    python3.10            [.] 0x0000000000121628
     0.17%  :1587595    python3.10            [.] 0x0000000000121638
     0.17%  :1587595    python3.10            [.] 0x00000000001215e2
     0.17%  :1587595    python3.10            [.] 0x0000000000179bee
     0.17%  :1587595    python3.10            [.] 0x00000000001215a2
     0.16%  :1587595    python3.10            [.] 0x00000000001215e5
     0.15%  :1587595    python3.10            [.] 0x000000000015b520
     0.15%  :1587595    python3.10            [.] 0x0000000000179c3b
     0.14%  :1587595    python3.10            [.] 0x0000000000121594
     0.14%  :1587595    python3.10            [.] 0x0000000000179be0
     0.14%  :1587595    python3.10            [.] 0x000000000015b50e
     0.13%  :1587595    python3.10            [.] 0x0000000000179be6
     0.13%  :1587595    python3.10            [.] 0x0000000000179c15
     0.12%  python3.10  python3.10            [.] 0x000000000012161a
     0.12%  :1587595    python3.10            [.] 0x0000000000173d50
     0.12%  :1587595    python3.10            [.] 0x0000000000179be8
     0.12%  :1587595    python3.10            [.] 0x00000000001215a0
     0.11%  :1587595    python3.10            [.] 0x000000000015b557
     0.11%  :1587595    python3.10            [.] 0x0000000000179c46
     0.11%  :1587595    python3.10            [.] 0x000000000012167f
     0.11%  :1587595    python3.10            [.] 0x0000000000179c13
     0.11%  :1587595    python3.10            [.] 0x0000000000173d58
     0.10%  :1587595    python3.10            [.] 0x000000000015b554
     0.10%  :1587595    python3.10            [.] 0x000000000015b500
     0.10%  :1587595    python3.10            [.] 0x00000000001215ed
     0.10%  :1587595    python3.10            [.] 0x0000000000179c2e
     0.10%  :1587595    python3.10            [.] 0x0000000000179c02
     0.09%  :1587595    python3.10            [.] 0x0000000000121740
     0.09%  :1587595    python3.10            [.] 0x000000000015b55b
     0.08%  :1587595    python3.10            [.] 0x0000000000179c25
     0.08%  :1587595    python3.10            [.] 0x0000000000121757
     0.08%  :1587595    python3.10            [.] 0x0000000000121599
     0.08%  :1587595    python3.10            [.] 0x000000000015b562
     0.08%  :1587595    python3.10            [.] 0x0000000000179c0e
     0.07%  :1587595    python3.10            [.] 0x00000000001215a6
     0.07%  :1587595    python3.10            [.] 0x00000000001215b2
     0.07%  :1587595    python3.10            [.] 0x0000000000179bfe
     0.07%  :1587595    python3.10            [.] 0x000000000015b54f
     0.07%  :1587595    python3.10            [.] 0x0000000000121675
     0.07%  :1587595    python3.10            [.] 0x000000000012175a
     0.07%  :1587595    python3.10            [.] 0x0000000000121751
     0.06%  :1587595    python3.10            [.] 0x0000000000121749
     0.06%  python3.10  python3.10            [.] 0x0000000000121676
     0.05%  :1587595    python3.10            [.] 0x0000000000179be4
     0.05%  :1587595    python3.10            [.] 0x00000000001215d8
     0.05%  :1587595    python3.10            [.] 0x00000000001215c8
     0.05%  :1587595    python3.10            [.] 0x0000000000179c21
     0.05%  :1587595    python3.10            [.] 0x000000000012166e
     0.05%  :1587595    python3.10            [.] 0x0000000000173d54
     0.05%  :1587595    python3.10            [.] 0x000000000015b50b
     0.05%  :1587595    python3.10            [.] 0x000000000015b50a
     0.04%  :1587595    python3.10            [.] 0x000000000015b504
     0.04%  python3.10  python3.10            [.] 0x00000000001215f7
     0.04%  :1587595    python3.10            [.] 0x0000000000121754
     0.04%  :1587595    python3.10            [.] 0x00000000001215c0
     0.04%  :1587595    python3.10            [.] 0x0000000000179c56
     0.04%  python3.10  python3.10            [.] 0x0000000000121737
     0.04%  python3.10  python3.10            [.] 0x0000000000121679
     0.04%  :1587595    python3.10            [.] 0x0000000000179bfb
     0.04%  python3.10  python3.10            [.] 0x0000000000121596
     0.04%  :1587595    python3.10            [.] 0x000000000012174d
     0.04%  python3.10  python3.10            [.] 0x0000000000121590
     0.04%  python3.10  python3.10            [.] 0x00000000001215f2
     0.04%  :1587595    python3.10            [.] 0x0000000000179bea
     0.03%  :1587595    python3.10            [.] 0x000000000015b55d
     0.03%  :1587595    python3.10            [.] 0x0000000000179c38
     0.03%  :1587595    [kernel.kallsyms]     [k] native_read_msr
     0.03%  :1587595    [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.03%  python3.10  python3.10            [.] 0x0000000000121613
     0.03%  :1587595    python3.10            [.] 0x000000000015b53e
     0.03%  python3.10  python3.10            [.] 0x000000000012159b
     0.03%  :1587595    python3.10            [.] 0x000000000015b509
     0.03%  :1587595    [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.03%  python3.10  python3.10            [.] 0x0000000000121605
     0.03%  python3.10  python3.10            [.] 0x0000000000121730
     0.03%  python3.10  python3.10            [.] 0x00000000001215a7
     0.02%  :1587595    python3.10            [.] 0x000000000012164e
     0.02%  :1587595    python3.10            [.] 0x00000000001215df
     0.02%  :1587595    [kernel.kallsyms]     [k] error_entry
     0.02%  :1587595    python3.10            [.] 0x000000000015b534
     0.02%  python3.10  python3.10            [.] 0x000000000012159d
     0.02%  python3.10  python3.10            [.] 0x00000000001215c4
     0.02%  :1587595    python3.10            [.] 0x000000000015b52a
     0.02%  :1587595    python3.10            [.] 0x000000000015b519
     0.02%  :1587595    [kernel.kallsyms]     [k] __irqentry_text_end
     0.02%  python3.10  python3.10            [.] 0x00000000001215a3
     0.02%  python3.10  python3.10            [.] 0x000000000012160b
     0.02%  :1587595    [kernel.kallsyms]     [k] native_write_msr_safe
     0.02%  :1587595    [kernel.kallsyms]     [k] native_write_msr
     0.01%  :1587595    python3.10            [.] 0x000000000015b512
     0.01%  :1587595    [kernel.kallsyms]     [k] sync_regs
     0.01%  python3.10  python3.10            [.] 0x00000000001215cb
     0.01%  :1587595    [kernel.kallsyms]     [k] psi_group_change
     0.01%  python3.10  python3.10            [.] 0x000000000012167b
     0.01%  python3.10  python3.10            [.] 0x00000000001215e9
     0.01%  :1587595    python3.10            [.] 0x000000000015b570
     0.01%  python3.10  python3.10            [.] 0x000000000012167d
     0.01%  python3.10  python3.10            [.] 0x00000000001215a2
     0.01%  python3.10  python3.10            [.] 0x00000000001215bc
     0.01%  python3.10  python3.10            [.] 0x000000000012160f
     0.01%  :1587595    python3.10            [.] 0x0000000000179be9
     0.01%  python3.10  python3.10            [.] 0x00000000001215dc
     0.01%  python3.10  python3.10            [.] 0x00000000001215ab
     0.01%  :1587595    [kernel.kallsyms]     [k] merge_sched_in
     0.01%  :1587595    python3.10            [.] 0x0000000000121641
     0.01%  :1587595    python3.10            [.] 0x0000000000179c5c
     0.01%  python3.10  python3.10            [.] 0x00000000001215d8
     0.01%  :1587595    python3.10            [.] 0x000000000015b564
