# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 3195980294
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    73.59%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     3.49%  python3.10  python3.10            [.] 0x000000000012161a
     1.42%  python3.10  python3.10            [.] 0x0000000000121676
     0.93%  python3.10  python3.10            [.] 0x00000000001215f2
     0.90%  python3.10  python3.10            [.] 0x00000000001215f7
     0.85%  python3.10  python3.10            [.] 0x0000000000121590
     0.81%  python3.10  python3.10            [.] 0x0000000000121679
     0.78%  python3.10  python3.10            [.] 0x0000000000121737
     0.76%  python3.10  python3.10            [.] 0x000000000012159b
     0.76%  python3.10  python3.10            [.] 0x0000000000121605
     0.76%  python3.10  python3.10            [.] 0x00000000001215a7
     0.68%  python3.10  python3.10            [.] 0x0000000000121730
     0.67%  python3.10  python3.10            [.] 0x0000000000121613
     0.59%  python3.10  python3.10            [.] 0x0000000000121596
     0.53%  python3.10  python3.10            [.] 0x000000000012160b
     0.45%  python3.10  python3.10            [.] 0x000000000012167d
     0.44%  python3.10  python3.10            [.] 0x00000000001215a3
     0.42%  python3.10  python3.10            [.] 0x00000000001215e9
     0.41%  python3.10  python3.10            [.] 0x00000000001215c4
     0.40%  python3.10  python3.10            [.] 0x00000000001215bc
     0.38%  python3.10  python3.10            [.] 0x00000000001215cb
     0.37%  python3.10  python3.10            [.] 0x000000000012160f
     0.36%  python3.10  python3.10            [.] 0x00000000001215dc
     0.32%  python3.10  python3.10            [.] 0x00000000001215a2
     0.31%  python3.10  python3.10            [.] 0x000000000012159d
     0.30%  python3.10  python3.10            [.] 0x00000000001215e2
     0.28%  python3.10  python3.10            [.] 0x00000000001215e5
     0.24%  python3.10  python3.10            [.] 0x000000000012167b
     0.24%  python3.10  python3.10            [.] 0x00000000001215ab
     0.20%  python3.10  python3.10            [.] 0x000000000012167f
     0.16%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.15%  python3.10  python3.10            [.] 0x0000000000121677
     0.14%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.13%  python3.10  python3.10            [.] 0x0000000000121616
     0.13%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.12%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.11%  python3.10  [kernel.kallsyms]     [k] update_load_avg
