# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1949014847
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    74.45%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.83%  python3.10  python3.10         [.] 0x000000000012161a
     1.41%  python3.10  python3.10         [.] 0x0000000000121676
     1.06%  python3.10  python3.10         [.] 0x00000000001215f7
     0.96%  python3.10  python3.10         [.] 0x0000000000121679
     0.92%  python3.10  python3.10         [.] 0x00000000001215f2
     0.87%  python3.10  python3.10         [.] 0x0000000000121596
     0.74%  python3.10  python3.10         [.] 0x000000000012159b
     0.69%  python3.10  python3.10         [.] 0x00000000001215a7
     0.69%  python3.10  python3.10         [.] 0x0000000000121590
     0.64%  python3.10  python3.10         [.] 0x0000000000121737
     0.62%  python3.10  python3.10         [.] 0x0000000000121730
     0.59%  python3.10  python3.10         [.] 0x0000000000121605
     0.51%  python3.10  python3.10         [.] 0x00000000001215cb
     0.49%  python3.10  python3.10         [.] 0x00000000001215bc
     0.47%  python3.10  python3.10         [.] 0x000000000012167b
     0.47%  python3.10  python3.10         [.] 0x0000000000121613
     0.47%  python3.10  python3.10         [.] 0x00000000001215a3
     0.43%  python3.10  python3.10         [.] 0x00000000001215a2
     0.38%  python3.10  python3.10         [.] 0x00000000001215c4
     0.35%  python3.10  python3.10         [.] 0x00000000001215e2
     0.34%  python3.10  python3.10         [.] 0x000000000012160b
     0.33%  python3.10  python3.10         [.] 0x00000000001215e5
     0.30%  python3.10  python3.10         [.] 0x00000000001215e9
     0.30%  python3.10  python3.10         [.] 0x000000000012167d
     0.28%  python3.10  python3.10         [.] 0x00000000001215dc
     0.25%  python3.10  python3.10         [.] 0x00000000001215ab
     0.23%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.20%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.19%  python3.10  python3.10         [.] 0x000000000012160f
     0.18%  python3.10  python3.10         [.] 0x0000000000121594
     0.17%  python3.10  python3.10         [.] 0x0000000000121600
     0.16%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.16%  python3.10  python3.10         [.] 0x000000000012159d
     0.16%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.12%  python3.10  python3.10         [.] 0x0000000000121677
     0.12%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.11%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.11%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.11%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.10%  python3.10  [kernel.kallsyms]  [k] do_futex
     0.09%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.09%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.09%  python3.10  python3.10         [.] 0x000000000012166e
     0.09%  python3.10  python3.10         [.] 0x00000000001215d8
     0.08%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.08%  python3.10  libc.so.6          [.] round_and_return
     0.08%  python3.10  python3.10         [.] 0x00000000001215a0
     0.08%  python3.10  python3.10         [.] 0x00000000001215a6
     0.08%  python3.10  [kernel.kallsyms]  [k] do_syscall_64
     0.08%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.08%  python3.10  [kernel.kallsyms]  [k] futex_wake
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.08%  python3.10  python3.10         [.] 0x0000000000121616
     0.07%  python3.10  python3.10         [.] 0x0000000000121599
     0.07%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.07%  python3.10  [kernel.kallsyms]  [k] iterate_groups
     0.06%  python3.10  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.06%  python3.10  [kernel.kallsyms]  [k] sched_clock_cpu
     0.06%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.06%  python3.10  [kernel.kallsyms]  [k] get_futex_key
     0.06%  python3.10  [kernel.kallsyms]  [k] __srcu_read_unlock
     0.06%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.06%  python3.10  python3.10         [.] 0x00000000002395d9
     0.06%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.06%  python3.10  python3.10         [.] PyObject_SetAttr
     0.06%  python3.10  [kernel.kallsyms]  [k] perf_event_task_output
     0.05%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.05%  python3.10  python3.10         [.] 0x000000000012167f
     0.05%  python3.10  [kernel.kallsyms]  [k] x86_pmu_disable
     0.05%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.05%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.05%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.05%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.05%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_insert
     0.05%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.04%  python3.10  [kernel.kallsyms]  [k] pids_can_fork
     0.04%  python3.10  python3.10         [.] _PyStack_AsDict
     0.04%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  libcrypto.so.3     [.] EVP_MD_CTX_reset
     0.04%  python3.10  python3.10         [.] 0x000000000015e07e
     0.04%  python3.10  [kernel.kallsyms]  [k] vmacache_find
     0.04%  python3.10  libcrypto.so.3     [.] 0x000000000030828f
     0.04%  python3.10  python3.10         [.] PyFunction_NewWithQualName
     0.04%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.04%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.04%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.04%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node_trace
     0.04%  python3.10  [kernel.kallsyms]  [k] do_select
     0.04%  python3.10  [kernel.kallsyms]  [k] dup_task_struct
     0.04%  python3.10  python3.10         [.] 0x000000000011b2d0
     0.04%  python3.10  [kernel.kallsyms]  [k] update_curr
     0.04%  python3.10  python3.10         [.] 0x0000000000143407
     0.04%  python3.10  python3.10         [.] 0x00000000001215c0
     0.04%  python3.10  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.04%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.04%  python3.10  libc.so.6          [.] __vstrfmon_l_internal
     0.04%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.03%  python3.10  [kernel.kallsyms]  [k] rmqueue
     0.03%  python3.10  [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.03%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.03%  python3.10  [kernel.kallsyms]  [k] exit_robust_list
     0.03%  python3.10  [kernel.kallsyms]  [k] update_rq_clock
     0.03%  python3.10  python3.10         [.] 0x00000000001215b2
     0.03%  python3.10  python3.10         [.] 0x00000000001522b2
     0.03%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%  python3.10  [kernel.kallsyms]  [k] lru_add_drain
     0.03%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.03%  python3.10  libc.so.6          [.] __stpncpy_ssse3
     0.03%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.03%  python3.10  python3.10         [.] 0x00000000001215df
     0.03%  python3.10  [kernel.kallsyms]  [k] x86_pmu_enable
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.03%  python3.10  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.03%  python3.10  [kernel.kallsyms]  [k] kmalloc_slab
     0.03%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.03%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.03%  python3.10  python3.10         [.] 0x000000000015963a
     0.03%  python3.10  python3.10         [.] 0x0000000000179592
     0.03%  python3.10  python3.10         [.] PyThreadState_Clear
     0.02%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.02%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.02%  python3.10  [kernel.kallsyms]  [k] __lock_text_start
     0.02%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.02%  python3.10  [kernel.kallsyms]  [k] find_vma
     0.02%  python3.10  [kernel.kallsyms]  [k] hash_futex
     0.02%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_trace
     0.02%  python3.10  [kernel.kallsyms]  [k] read_tsc
     0.02%  python3.10  [kernel.kallsyms]  [k] x86_pmu_event_init
     0.02%  python3.10  python3.10         [.] PyTraceBack_Here
     0.02%  python3.10  python3.10         [.] 0x000000000012e0a4
     0.02%  python3.10  python3.10         [.] 0x0000000000152260
     0.02%  python3.10  python3.10         [.] 0x0000000000166514
     0.02%  python3.10  python3.10         [.] 0x000000000016653d
     0.02%  python3.10  python3.10         [.] 0x0000000000169eda
     0.02%  python3.10  [kernel.kallsyms]  [k] psi_task_change
     0.02%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.02%  python3.10  python3.10         [.] 0x0000000000121137
     0.02%  python3.10  python3.10         [.] 0x000000000020beee
     0.02%  python3.10  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.02%  python3.10  [kvm]              [k] pvclock_gtod_notify
     0.02%  python3.10  [kernel.kallsyms]  [k] pgd_none
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_lock_task_context
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event_sched_in
     0.02%  python3.10  [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.02%  python3.10  [kernel.kallsyms]  [k] hrtimer_init_sleeper
     0.02%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_prepare
     0.02%  python3.10  [kernel.kallsyms]  [k] set_next_buddy
     0.02%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
