# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 1627964145
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    20.38%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.67%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.17%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.09%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.02%  python3.10  python3.10                                [.] PyList_Append
     0.94%  python3.10  python3.10                                [.] PyLong_FromString
     0.92%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.88%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.77%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.74%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.74%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.73%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.65%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.61%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.55%  python3.10  python3.10                                [.] 0x000000000012161a
     0.53%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.53%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.50%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.49%  python3.10  python3.10                                [.] 0x000000000015effa
     0.46%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.44%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.44%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.42%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.41%  python3.10  python3.10                                [.] 0x000000000015f020
     0.38%  python3.10  python3.10                                [.] PyDict_Contains
     0.38%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.38%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.37%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.36%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.35%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.35%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.35%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.35%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.34%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.34%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.32%  python3.10  python3.10                                [.] 0x00000000001740af
     0.32%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.31%  python3.10  python3.10                                [.] 0x000000000018d589
     0.31%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.31%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.30%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.30%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.29%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.29%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.27%  python3.10  python3.10                                [.] 0x000000000017c3ef
