CS ID,CS PID
2-39-78-363,1598867
2-39-130-564,1598933
2-39-90-26,1598872
2-39-92-442,1598927
2-39-123-557,1598850
2-39-79-381,1598949
2-39-79-383,1598859
2-39-127-561,1598957
2-39-139-28,1598878
2-39-79-380,1598953
2-39-78-360,1598954
2-39-79-378,1598955
2-39-92-436,1598964
2-39-88-24,1598968
2-39-83-386,1598966
2-39-138-29,1598960
2-39-90-440,1598969
2-39-78-366,1598971
2-39-78-367,1598967
2-39-91-441,1598975
2-39-128-18,1598974
2-39-139-567,1598939
2-39-82-384,1598958
2-39-79-377,1599003
2-39-123-23,1599015
2-39-88-438,1598950
2-39-83-387,1598970
2-39-124-558,1598959
2-39-95-27,1598956
2-39-89-439,1598945
2-39-129-17,1598963
2-39-78-364,1598991
2-39-127-19,1598976
2-39-125-21,1599007
2-39-126-20,1598853
2-39-126-560,1598961
2-39-78-362,1598981
2-39-79-376,1598973
2-39-130-31,1598997
2-39-91-437,1598965
2-39-131-565,1598980
2-39-129-563,1598972
2-39-138-566,1598962
2-39-131-30,1599057
2-39-89-25,1599123
2-39-79-382,1599127
2-39-128-562,1599139
2-39-124-22,1599154
2-39-95-444,1599159
2-39-125-559,1599146
2-39-78-361,1599161
2-39-79-379,1599175
2-39-78-365,1599186
