# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 15064236736
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    51.02%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
    18.09%  :1599339    python3.10                                [.] _PyEval_EvalFrameDefault
     1.86%  :1599339    python3.10                                [.] PyObject_RichCompare
     1.68%  :1599339    python3.10                                [.] 0x000000000012161a
     1.66%  python3.10  python3.10                                [.] 0x000000000012161a
     0.99%  :1599339    python3.10                                [.] 0x0000000000121590
     0.84%  python3.10  python3.10                                [.] 0x0000000000121590
     0.70%  python3.10  python3.10                                [.] 0x0000000000121676
     0.68%  python3.10  python3.10                                [.] 0x0000000000121596
     0.53%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.52%  :1599339    python3.10                                [.] 0x0000000000121596
     0.51%  python3.10  python3.10                                [.] 0x0000000000121730
     0.50%  :1599339    python3.10                                [.] 0x0000000000179c52
     0.49%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.42%  python3.10  python3.10                                [.] 0x0000000000121605
     0.42%  python3.10  python3.10                                [.] 0x0000000000121679
     0.38%  python3.10  python3.10                                [.] 0x000000000012159b
     0.38%  python3.10  python3.10                                [.] 0x000000000012159d
     0.38%  python3.10  python3.10                                [.] 0x0000000000121613
     0.34%  :1599339    python3.10                                [.] 0x0000000000121605
     0.34%  :1599339    python3.10                                [.] 0x000000000015b546
     0.30%  :1599339    python3.10                                [.] 0x0000000000121730
     0.29%  :1599339    python3.10                                [.] 0x00000000001215f7
     0.29%  python3.10  python3.10                                [.] 0x0000000000121737
     0.29%  python3.10  python3.10                                [.] 0x000000000012160b
     0.28%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.28%  :1599339    python3.10                                [.] 0x0000000000121676
     0.27%  :1599339    python3.10                                [.] 0x000000000012159b
     0.27%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.27%  :1599339    python3.10                                [.] 0x0000000000179c4e
     0.27%  :1599339    python3.10                                [.] 0x00000000001215f2
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.26%  :1599339    python3.10                                [.] 0x000000000012160b
     0.26%  :1599339    python3.10                                [.] 0x000000000012159d
     0.26%  :1599339    python3.10                                [.] 0x0000000000121737
     0.25%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.24%  :1599339    python3.10                                [.] 0x0000000000121613
     0.23%  :1599339    python3.10                                [.] 0x00000000001215c4
     0.22%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.20%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.20%  python3.10  python3.10                                [.] 0x0000000000121594
     0.19%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.19%  :1599339    python3.10                                [.] 0x00000000001215a3
