# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 4865250209
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    71.02%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.33%  python3.10  python3.10            [.] 0x000000000012161a
     1.22%  python3.10  python3.10            [.] 0x0000000000121590
     1.11%  python3.10  python3.10            [.] 0x0000000000121676
     0.97%  python3.10  python3.10            [.] 0x0000000000121596
     0.77%  python3.10  python3.10            [.] 0x00000000001215f7
     0.73%  python3.10  python3.10            [.] 0x0000000000121730
     0.70%  python3.10  python3.10            [.] 0x00000000001215f2
     0.68%  python3.10  python3.10            [.] 0x0000000000121613
     0.67%  :1601055    python3.10            [.] _PyEval_EvalFrameDefault
     0.66%  :1601260    python3.10            [.] _PyEval_EvalFrameDefault
     0.63%  :1601321    python3.10            [.] _PyEval_EvalFrameDefault
     0.62%  python3.10  python3.10            [.] 0x0000000000121679
     0.62%  python3.10  python3.10            [.] 0x000000000012159b
     0.60%  :1600953    python3.10            [.] _PyEval_EvalFrameDefault
     0.58%  :1600921    python3.10            [.] _PyEval_EvalFrameDefault
     0.56%  :1601028    python3.10            [.] _PyEval_EvalFrameDefault
     0.55%  :1600873    python3.10            [.] _PyEval_EvalFrameDefault
     0.54%  python3.10  python3.10            [.] 0x0000000000121605
     0.53%  python3.10  python3.10            [.] 0x00000000001215a3
     0.53%  python3.10  python3.10            [.] 0x0000000000121737
     0.51%  :1601161    python3.10            [.] _PyEval_EvalFrameDefault
     0.50%  :1601188    python3.10            [.] _PyEval_EvalFrameDefault
     0.48%  :1601003    python3.10            [.] _PyEval_EvalFrameDefault
     0.48%  python3.10  python3.10            [.] 0x00000000001215cb
     0.47%  :1600974    python3.10            [.] _PyEval_EvalFrameDefault
     0.45%  python3.10  python3.10            [.] 0x00000000001215c4
     0.45%  :1601224    python3.10            [.] _PyEval_EvalFrameDefault
     0.44%  python3.10  python3.10            [.] 0x00000000001215a7
     0.44%  python3.10  python3.10            [.] 0x000000000012159d
     0.37%  :1601116    python3.10            [.] _PyEval_EvalFrameDefault
     0.34%  python3.10  python3.10            [.] 0x000000000012160b
     0.31%  python3.10  python3.10            [.] 0x00000000001215a2
     0.31%  python3.10  python3.10            [.] 0x00000000001215e9
     0.29%  python3.10  python3.10            [.] 0x00000000001215bc
     0.29%  python3.10  python3.10            [.] 0x00000000001215ab
     0.25%  python3.10  python3.10            [.] 0x00000000001215dc
     0.23%  python3.10  python3.10            [.] 0x00000000001215e5
     0.22%  python3.10  python3.10            [.] 0x00000000001215e2
     0.21%  python3.10  python3.10            [.] 0x000000000012167d
     0.20%  python3.10  python3.10            [.] 0x0000000000121616
     0.20%  python3.10  python3.10            [.] 0x0000000000121594
     0.18%  python3.10  python3.10            [.] 0x000000000012167b
     0.16%  python3.10  python3.10            [.] 0x0000000000121599
     0.16%  python3.10  python3.10            [.] 0x000000000012160f
     0.13%  python3.10  python3.10            [.] 0x00000000001215d8
     0.11%  python3.10  python3.10            [.] 0x00000000001215b2
     0.10%  python3.10  python3.10            [.] 0x0000000000121677
     0.09%  python3.10  python3.10            [.] 0x0000000000121600
     0.08%  python3.10  python3.10            [.] 0x00000000001215c0
     0.08%  python3.10  python3.10            [.] 0x00000000001215ed
     0.07%  python3.10  python3.10            [.] 0x00000000001215c8
     0.07%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.07%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  python3.10            [.] 0x0000000000121734
     0.07%  python3.10  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.06%  python3.10  python3.10            [.] 0x000000000012167f
     0.06%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.06%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.05%  python3.10  python3.10            [.] 0x00000000001215a0
