# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 573161184
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    24.16%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.14%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.85%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.21%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.91%  python3.10  python3.10                                [.] PyLong_FromString
     0.88%  python3.10  python3.10                                [.] PyList_Append
     0.81%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.65%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.63%  python3.10  python3.10                                [.] 0x000000000018d155
     0.60%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.59%  python3.10  python3.10                                [.] PyDict_Contains
     0.57%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.54%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.54%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.50%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.46%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.44%  python3.10  python3.10                                [.] 0x000000000020beee
     0.43%  python3.10  python3.10                                [.] 0x000000000015b500
     0.43%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.41%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.40%  python3.10  python3.10                                [.] 0x000000000015b546
     0.40%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.40%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.39%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.38%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.38%  python3.10  python3.10                                [.] 0x0000000000188e69
     0.37%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.36%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.36%  python3.10  python3.10                                [.] 0x000000000018d165
     0.35%  python3.10  libc.so.6                                 [.] re_search_internal
     0.34%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.34%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.34%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.32%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.32%  python3.10  python3.10                                [.] 0x0000000000122820
     0.32%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.32%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.32%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.31%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.31%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.30%  python3.10  python3.10                                [.] 0x0000000000137abb
     0.30%  python3.10  python3.10                                [.] 0x0000000000188d97
     0.30%  python3.10  python3.10                                [.] 0x0000000000189014
     0.30%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.29%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.29%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.29%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.28%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.27%  python3.10  python3.10                                [.] 0x000000000018d5bd
     0.27%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.26%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.26%  python3.10  [kernel.kallsyms]                         [k] update_rq_clock
     0.26%  python3.10  python3.10                                [.] 0x0000000000137b95
     0.25%  python3.10  python3.10                                [.] 0x000000000018d169
     0.25%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.25%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.24%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.24%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.24%  python3.10  python3.10                                [.] 0x0000000000188dc9
     0.24%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.24%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.24%  python3.10  python3.10                                [.] 0x000000000017958b
     0.23%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.23%  python3.10  python3.10                                [.] 0x000000000018d5a1
     0.23%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.23%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.23%  python3.10  python3.10                                [.] 0x0000000000188da5
     0.23%  python3.10  python3.10                                [.] 0x0000000000151eed
     0.23%  python3.10  python3.10                                [.] 0x0000000000127f59
     0.22%  python3.10  python3.10                                [.] 0x000000000017c3bb
     0.22%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.22%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.22%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.22%  python3.10  python3.10                                [.] 0x000000000017c386
     0.22%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.21%  python3.10  python3.10                                [.] 0x0000000000167e17
     0.21%  python3.10  [kernel.kallsyms]                         [k] fpregs_assert_state_consistent
     0.21%  python3.10  python3.10                                [.] 0x00000000001d48d6
     0.21%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.21%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.21%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_established
     0.20%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.20%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.20%  python3.10  libc.so.6                                 [.] parse_expression
     0.20%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.20%  python3.10  python3.10                                [.] 0x00000000001d4939
     0.20%  python3.10  python3.10                                [.] 0x00000000001d490c
     0.20%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.20%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.20%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.20%  python3.10  python3.10                                [.] 0x0000000000188f04
     0.20%  python3.10  python3.10                                [.] 0x000000000018d585
     0.19%  python3.10  libcrypto.so.3                            [.] 0x000000000017d7e9
     0.19%  python3.10  python3.10                                [.] 0x00000000001d493d
     0.19%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.19%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.19%  python3.10  python3.10                                [.] PySlice_New
     0.19%  python3.10  python3.10                                [.] 0x000000000018d599
     0.19%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.18%  python3.10  python3.10                                [.] _PyLong_FormatWriter
     0.18%  python3.10  python3.10                                [.] 0x000000000015b568
     0.18%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
