CS ID,CS PID
2-39-130-31,1611196
2-39-79-379,1611199
2-39-125-21,1611236
2-39-127-561,1611218
2-39-88-24,1611260
2-39-139-28,1611267
2-39-79-383,1611224
2-39-129-17,1611314
2-39-125-559,1611230
2-39-78-361,1611325
2-39-83-387,1611335
2-39-128-562,1611321
2-39-78-367,1611337
2-39-78-364,1611331
2-39-131-565,1611341
2-39-139-567,1611340
2-39-131-30,1611342
2-39-138-29,1611354
2-39-91-437,1611389
2-39-95-27,1611369
2-39-91-441,1611431
2-39-124-22,1611411
2-39-90-26,1611211
2-39-89-25,1611438
2-39-92-436,1611417
2-39-79-376,1611242
2-39-79-382,1611248
2-39-78-366,1611334
2-39-79-380,1611254
2-39-138-566,1611374
2-39-92-442,1611336
2-39-82-384,1611333
2-39-123-557,1611366
2-39-89-439,1611338
2-39-129-563,1611401
2-39-78-360,1611206
2-39-78-365,1611381
2-39-126-560,1611351
2-39-79-381,1611339
2-39-127-19,1611488
2-39-126-20,1611499
2-39-123-23,1611509
2-39-79-377,1611517
2-39-95-444,1611512
2-39-78-363,1611520
2-39-79-378,1611526
2-39-130-564,1611530
2-39-88-438,1611533
2-39-90-440,1611532
2-39-78-362,1611536
2-39-124-558,1611538
2-39-83-386,1611541
2-39-128-18,1611544
