# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 50K of event 'cycles'
# Event count (approx.): 27649457827
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    53.47%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.81%  python3.10  python3.10                                [.] 0x000000000012161a
     5.08%  python3.10  python3.10                                [.] PyObject_RichCompare
     2.83%  python3.10  python3.10                                [.] 0x0000000000121590
     1.47%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.37%  python3.10  python3.10                                [.] 0x0000000000121623
     1.16%  python3.10  python3.10                                [.] 0x0000000000121605
     1.14%  python3.10  python3.10                                [.] 0x0000000000121596
     1.10%  python3.10  python3.10                                [.] 0x0000000000121613
     1.10%  python3.10  python3.10                                [.] 0x000000000012160b
     1.00%  python3.10  python3.10                                [.] 0x0000000000121628
     0.96%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.71%  python3.10  python3.10                                [.] 0x0000000000121676
     0.67%  python3.10  python3.10                                [.] 0x0000000000121730
     0.64%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.63%  python3.10  python3.10                                [.] 0x000000000012159b
     0.62%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.55%  python3.10  python3.10                                [.] 0x000000000015b537
     0.55%  python3.10  python3.10                                [.] 0x000000000015b500
     0.52%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.50%  python3.10  python3.10                                [.] 0x0000000000121616
     0.49%  python3.10  python3.10                                [.] 0x000000000015b506
     0.47%  python3.10  python3.10                                [.] 0x000000000012160f
     0.46%  python3.10  python3.10                                [.] 0x0000000000121594
     0.44%  python3.10  python3.10                                [.] 0x000000000012159d
     0.42%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.41%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.41%  python3.10  python3.10                                [.] 0x0000000000121638
     0.40%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.40%  python3.10  python3.10                                [.] 0x0000000000121635
     0.39%  python3.10  python3.10                                [.] 0x0000000000121737
     0.38%  python3.10  python3.10                                [.] 0x0000000000121679
     0.35%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.34%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.33%  python3.10  python3.10                                [.] 0x000000000015b541
     0.33%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.30%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.29%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.28%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.26%  python3.10  python3.10                                [.] 0x0000000000121599
     0.26%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.25%  python3.10  python3.10                                [.] 0x000000000015b546
     0.25%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.25%  python3.10  python3.10                                [.] 0x000000000012167d
     0.24%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.23%  python3.10  python3.10                                [.] 0x0000000000121600
     0.23%  python3.10  python3.10                                [.] 0x0000000000121677
     0.22%  python3.10  python3.10                                [.] 0x000000000015b504
     0.21%  python3.10  python3.10                                [.] 0x0000000000121653
     0.21%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.21%  python3.10  python3.10                                [.] 0x0000000000179be4
     0.20%  python3.10  python3.10                                [.] 0x0000000000179c56
     0.20%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.20%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.19%  python3.10  python3.10                                [.] 0x000000000012167b
     0.18%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.18%  python3.10  python3.10                                [.] 0x000000000012167f
     0.18%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.17%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.17%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.16%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.16%  python3.10  python3.10                                [.] 0x000000000012166e
     0.16%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.15%  python3.10  python3.10                                [.] 0x000000000015b568
     0.15%  python3.10  python3.10                                [.] 0x000000000015b509
     0.13%  python3.10  python3.10                                [.] 0x0000000000121667
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.12%  python3.10  python3.10                                [.] 0x000000000015b520
     0.12%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.11%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.11%  python3.10  python3.10                                [.] 0x0000000000173d54
     0.11%  python3.10  python3.10                                [.] 0x000000000012162c
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.11%  python3.10  python3.10                                [.] 0x0000000000179bea
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c0b
     0.10%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.10%  python3.10  python3.10                                [.] 0x000000000015b50b
     0.10%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.09%  python3.10  python3.10                                [.] 0x000000000015b50a
     0.09%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.09%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.09%  python3.10  python3.10                                [.] 0x00000000001215df
     0.08%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.07%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.07%  python3.10  python3.10                                [.] 0x0000000000121660
     0.07%  python3.10  python3.10                                [.] 0x000000000015b55b
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be9
     0.07%  python3.10  python3.10                                [.] 0x000000000015b557
     0.06%  python3.10  python3.10                                [.] 0x0000000000121675
     0.06%  python3.10  python3.10                                [.] 0x0000000000121734
     0.06%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.06%  python3.10  python3.10                                [.] 0x0000000000121740
     0.05%  python3.10  python3.10                                [.] 0x000000000015b519
     0.05%  python3.10  python3.10                                [.] 0x0000000000121749
     0.05%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.05%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.05%  python3.10  python3.10                                [.] 0x0000000000121751
     0.05%  python3.10  python3.10                                [.] 0x000000000015b554
     0.05%  python3.10  python3.10                                [.] 0x0000000000179bfb
     0.04%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.04%  python3.10  python3.10                                [.] 0x0000000000179bfe
     0.04%  python3.10  python3.10                                [.] 0x000000000012175a
     0.04%  python3.10  python3.10                                [.] 0x0000000000121641
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c18
     0.04%  python3.10  python3.10                                [.] 0x0000000000121757
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.03%  python3.10  python3.10                                [.] 0x000000000015b53e
     0.03%  python3.10  python3.10                                [.] 0x000000000015b512
     0.03%  python3.10  python3.10                                [.] 0x000000000012164e
     0.03%  python3.10  python3.10                                [.] 0x000000000015b562
     0.03%  python3.10  python3.10                                [.] 0x0000000000179bf7
     0.03%  python3.10  python3.10                                [.] 0x000000000015b55d
     0.03%  python3.10  python3.10                                [.] 0x0000000000121672
     0.03%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.03%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.03%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.03%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  python3.10                                [.] 0x0000000000179c35
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  python3.10  python3.10                                [.] 0x0000000000121630
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  python3.10                                [.] 0x000000000015b56c
     0.02%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
