# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3843614495
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    64.53%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     7.63%  python3.10  python3.10         [.] 0x000000000012161a
     3.58%  python3.10  python3.10         [.] 0x0000000000121590
     2.05%  python3.10  python3.10         [.] 0x0000000000121623
     1.79%  python3.10  python3.10         [.] 0x000000000012160b
     1.73%  python3.10  python3.10         [.] 0x0000000000121605
     1.48%  python3.10  python3.10         [.] 0x00000000001215c4
     1.37%  python3.10  python3.10         [.] 0x0000000000121613
     0.78%  python3.10  python3.10         [.] 0x0000000000121635
     0.77%  python3.10  python3.10         [.] 0x0000000000121628
     0.71%  python3.10  python3.10         [.] 0x0000000000121676
     0.70%  python3.10  python3.10         [.] 0x000000000012160f
     0.64%  python3.10  python3.10         [.] 0x0000000000121638
     0.56%  python3.10  python3.10         [.] 0x0000000000121737
     0.51%  python3.10  python3.10         [.] 0x00000000001215ab
     0.50%  python3.10  python3.10         [.] 0x00000000001215dc
     0.50%  python3.10  python3.10         [.] 0x0000000000121730
     0.45%  python3.10  python3.10         [.] 0x000000000012159b
     0.43%  python3.10  python3.10         [.] 0x0000000000121679
     0.43%  python3.10  python3.10         [.] 0x00000000001215a3
     0.36%  python3.10  python3.10         [.] 0x0000000000121616
     0.36%  python3.10  python3.10         [.] 0x00000000001215f2
     0.33%  python3.10  python3.10         [.] 0x00000000001215cb
     0.31%  python3.10  python3.10         [.] 0x00000000001215f7
     0.23%  python3.10  python3.10         [.] 0x000000000012167b
     0.22%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.18%  python3.10  python3.10         [.] 0x000000000012167d
     0.17%  python3.10  python3.10         [.] 0x0000000000121600
     0.17%  python3.10  python3.10         [.] 0x00000000001215e9
     0.13%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.13%  python3.10  python3.10         [.] 0x00000000001215d8
     0.11%  python3.10  python3.10         [.] 0x00000000001215e2
     0.11%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.11%  python3.10  python3.10         [.] 0x00000000001215e5
     0.11%  python3.10  python3.10         [.] 0x000000000012166e
     0.11%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.11%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.09%  python3.10  python3.10         [.] 0x000000000012162c
     0.08%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.08%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
