# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2239481011
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    64.71%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     7.64%  python3.10  python3.10         [.] 0x000000000012161a
     3.41%  python3.10  python3.10         [.] 0x0000000000121590
     1.83%  python3.10  python3.10         [.] 0x0000000000121605
     1.33%  python3.10  python3.10         [.] 0x00000000001215c4
     1.29%  python3.10  python3.10         [.] 0x000000000012160b
     1.26%  python3.10  python3.10         [.] 0x0000000000121623
     1.23%  python3.10  python3.10         [.] 0x0000000000121613
     0.85%  python3.10  python3.10         [.] 0x000000000012160f
     0.85%  python3.10  python3.10         [.] 0x0000000000121628
     0.82%  python3.10  python3.10         [.] 0x0000000000121635
     0.80%  :1612455    python3.10         [.] _PyEval_EvalFrameDefault
     0.71%  python3.10  python3.10         [.] 0x0000000000121676
     0.63%  python3.10  python3.10         [.] 0x0000000000121638
     0.56%  python3.10  python3.10         [.] 0x0000000000121730
     0.56%  python3.10  python3.10         [.] 0x0000000000121679
     0.55%  python3.10  python3.10         [.] 0x0000000000121737
     0.51%  python3.10  python3.10         [.] 0x0000000000121616
     0.50%  python3.10  python3.10         [.] 0x00000000001215cb
     0.44%  python3.10  python3.10         [.] 0x000000000012159b
     0.38%  python3.10  python3.10         [.] 0x00000000001215a3
     0.36%  python3.10  python3.10         [.] 0x000000000012167d
     0.36%  python3.10  python3.10         [.] 0x00000000001215f2
     0.34%  python3.10  python3.10         [.] 0x00000000001215e9
     0.32%  python3.10  python3.10         [.] 0x00000000001215dc
     0.31%  python3.10  python3.10         [.] 0x00000000001215ab
     0.30%  python3.10  python3.10         [.] 0x00000000001215f7
     0.25%  python3.10  python3.10         [.] 0x0000000000121600
     0.21%  python3.10  python3.10         [.] 0x000000000012159d
     0.16%  python3.10  python3.10         [.] 0x00000000001215e2
     0.13%  python3.10  python3.10         [.] 0x0000000000121677
     0.13%  python3.10  python3.10         [.] 0x00000000001215e5
     0.13%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.12%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.12%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.11%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.11%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.10%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.10%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.09%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.09%  python3.10  python3.10         [.] 0x00000000001215a7
     0.09%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.08%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.08%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.08%  python3.10  python3.10         [.] 0x000000000015b564
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.08%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.07%  python3.10  python3.10         [.] 0x00000000001215c8
     0.07%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.07%  python3.10  python3.10         [.] 0x000000000012167b
     0.07%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.07%  python3.10  [kernel.kallsyms]  [k] native_write_msr_safe
     0.07%  python3.10  python3.10         [.] 0x00000000001215bc
     0.07%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.07%  python3.10  python3.10         [.] 0x00000000001215c0
     0.07%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.07%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.06%  :1612455    python3.10         [.] 0x0000000000121590
     0.06%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.06%  python3.10  python3.10         [.] 0x0000000000121734
     0.06%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.06%  python3.10  python3.10         [.] 0x000000000018d589
     0.06%  python3.10  libcrypto.so.3     [.] EVP_MD_CTX_free
     0.05%  python3.10  [kernel.kallsyms]  [k] read_tsc
     0.05%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.05%  :1612455    python3.10         [.] 0x00000000001215f7
     0.05%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.05%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.05%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.05%  python3.10  [kernel.kallsyms]  [k] futex_wake
     0.05%  python3.10  python3.10         [.] 0x00000000001215d8
     0.05%  :1612455    python3.10         [.] 0x000000000012161a
     0.05%  python3.10  python3.10         [.] 0x00000000001215a6
     0.05%  python3.10  python3.10         [.] 0x000000000015ef70
     0.04%  python3.10  libc.so.6          [.] round_and_return
     0.04%  python3.10  [kernel.kallsyms]  [k] update_curr
     0.04%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.04%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.04%  python3.10  libc.so.6          [.] __memmove_sse2_unaligned_erms
     0.04%  python3.10  [kernel.kallsyms]  [k] pick_next_entity
     0.04%  python3.10  python3.10         [.] 0x00000000001215a0
     0.04%  python3.10  [kernel.kallsyms]  [k] memcg_slab_free_hook
     0.04%  python3.10  [kernel.kallsyms]  [k] update_sg_wakeup_stats
     0.04%  :1612455    [kernel.kallsyms]  [k] update_rq_clock
     0.04%  python3.10  python3.10         [.] 0x0000000000121596
     0.03%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.03%  python3.10  [kernel.kallsyms]  [k] schedule
     0.03%  python3.10  [kernel.kallsyms]  [k] x86_setup_perfctr
     0.03%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]  [k] __sched_fork
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_event_init_context
     0.03%  python3.10  python3.10         [.] 0x0000000000177090
     0.03%  python3.10  python3.10         [.] 0x0000000000121599
     0.03%  :1612455    python3.10         [.] 0x0000000000121635
     0.03%  python3.10  [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.03%  :1612455    python3.10         [.] 0x0000000000121676
     0.03%  python3.10  [kernel.kallsyms]  [k] acct_collect
     0.03%  :1612455    python3.10         [.] 0x000000000012160b
     0.03%  python3.10  python3.10         [.] 0x0000000000121594
     0.03%  python3.10  [kernel.kallsyms]  [k] futex_wait_setup
     0.03%  :1612455    python3.10         [.] 0x0000000000121605
     0.03%  python3.10  python3.10         [.] 0x0000000000137a73
     0.03%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.03%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.03%  python3.10  [kernel.kallsyms]  [k] gup_pgd_range
