# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1219609212
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    24.19%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.13%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.65%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.09%  python3.10  python3.10                                [.] PyList_Append
     1.06%  python3.10  python3.10                                [.] PyLong_FromString
     0.78%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.74%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.72%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.67%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.60%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.60%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.55%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.48%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.46%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.46%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.44%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.44%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.43%  python3.10  libc.so.6                                 [.] re_search_internal
     0.42%  python3.10  python3.10                                [.] 0x000000000015effa
     0.41%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.40%  python3.10  python3.10                                [.] 0x000000000015b546
     0.40%  python3.10  python3.10                                [.] 0x000000000018d589
     0.40%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.37%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.37%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.36%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.36%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.33%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.33%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.32%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.32%  python3.10  python3.10                                [.] 0x000000000018d066
     0.31%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.31%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.31%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.31%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.30%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.29%  python3.10  python3.10                                [.] 0x000000000020beee
     0.29%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.28%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.28%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.28%  python3.10  python3.10                                [.] 0x00000000001732de
     0.27%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.26%  python3.10  python3.10                                [.] 0x000000000018d151
     0.26%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.26%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.25%  python3.10  python3.10                                [.] 0x0000000000174090
     0.25%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.25%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.25%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.24%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.24%  python3.10  python3.10                                [.] 0x000000000015b537
     0.23%  python3.10  python3.10                                [.] 0x000000000020bf52
     0.23%  python3.10  python3.10                                [.] PyDict_Contains
     0.23%  python3.10  python3.10                                [.] 0x0000000000137a9c
     0.23%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.23%  python3.10  python3.10                                [.] 0x000000000017c380
     0.23%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.22%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.22%  python3.10  python3.10                                [.] 0x0000000000122820
     0.22%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.21%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.21%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.21%  python3.10  python3.10                                [.] 0x000000000015f000
     0.21%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.21%  python3.10  python3.10                                [.] 0x000000000015b500
     0.20%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.20%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.20%  python3.10  python3.10                                [.] 0x000000000018d599
     0.20%  python3.10  python3.10                                [.] 0x00000000001740af
     0.19%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.19%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.19%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.19%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
