CS ID,CS PID
2-39-139-28,2436816
2-39-129-17,2436866
2-39-79-381,2436882
2-39-78-361,2436861
2-39-79-380,2436871
2-39-92-442,2436879
2-39-83-386,2436893
2-39-124-558,2436883
2-39-130-31,2436880
2-39-89-439,2436892
2-39-127-19,2436875
2-39-92-436,2436881
2-39-125-21,2436870
2-39-78-363,2436878
2-39-138-566,2436884
2-39-79-378,2436891
2-39-128-562,2436898
2-39-88-24,2436895
2-39-79-382,2436894
2-39-95-27,2436897
2-39-88-438,2436896
2-39-78-366,2436900
2-39-124-22,2436899
2-39-79-377,2436902
2-39-131-30,2436885
2-39-125-559,2436901
2-39-78-367,2436905
2-39-79-376,2436903
2-39-83-387,2436906
2-39-95-444,2436908
2-39-126-20,2436907
2-39-127-561,2436910
2-39-123-23,2436923
2-39-90-26,2436911
2-39-91-441,2436904
2-39-130-564,2436959
2-39-78-365,2436933
2-39-123-557,2436937
2-39-126-560,2436909
2-39-131-565,2436941
2-39-128-18,2436945
2-39-90-440,2436958
2-39-139-567,2436951
2-39-78-364,2436966
2-39-129-563,2436961
2-39-89-25,2436974
2-39-79-383,2437008
2-39-82-384,2437013
2-39-78-360,2437020
2-39-78-362,2437027
2-39-91-437,2437033
2-39-79-379,2437036
2-39-138-29,2437050
