# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 190K of event 'cycles'
# Event count (approx.): 72868396859
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    56.62%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
    19.39%  :2437545    python3.10            [.] _PyEval_EvalFrameDefault
     2.69%  :2437545    python3.10            [.] PyObject_RichCompare
     2.06%  :2437545    python3.10            [.] 0x000000000012161a
     1.08%  :2437545    python3.10            [.] 0x0000000000179c52
     0.81%  :2437545    python3.10            [.] 0x0000000000121590
     0.75%  python3.10  python3.10            [.] 0x000000000012161a
     0.44%  :2437545    python3.10            [.] 0x000000000015b546
     0.42%  :2437545    python3.10            [.] 0x00000000001215c4
     0.37%  :2437545    python3.10            [.] 0x0000000000121605
     0.35%  python3.10  python3.10            [.] 0x0000000000121590
     0.35%  :2437545    python3.10            [.] 0x0000000000121676
     0.34%  :2437545    python3.10            [.] 0x0000000000121613
     0.32%  :2437545    python3.10            [.] 0x000000000012159b
     0.29%  :2437545    python3.10            [.] 0x000000000012160b
     0.29%  :2437545    python3.10            [.] 0x00000000001215f2
     0.28%  python3.10  python3.10            [.] 0x00000000001215c4
     0.27%  :2437545    python3.10            [.] 0x0000000000121737
     0.26%  :2437545    python3.10            [.] 0x00000000001215f7
     0.24%  :2437545    python3.10            [.] 0x0000000000121730
     0.24%  :2437545    python3.10            [.] 0x0000000000121734
     0.22%  :2437545    python3.10            [.] 0x00000000001215a3
     0.22%  python3.10  python3.10            [.] 0x0000000000121676
     0.22%  python3.10  python3.10            [.] 0x0000000000121613
     0.22%  :2437545    python3.10            [.] 0x0000000000121596
     0.22%  python3.10  python3.10            [.] 0x0000000000121605
     0.18%  :2437545    python3.10            [.] 0x0000000000121679
     0.17%  python3.10  python3.10            [.] 0x0000000000121737
     0.17%  python3.10  python3.10            [.] 0x000000000012159b
     0.17%  :2437545    python3.10            [.] 0x0000000000179c02
     0.17%  python3.10  python3.10            [.] 0x00000000001215a3
     0.17%  :2437545    python3.10            [.] 0x00000000001215ab
     0.17%  :2437545    python3.10            [.] 0x000000000012167d
     0.17%  :2437545    python3.10            [.] 0x0000000000121623
     0.16%  :2437545    python3.10            [.] 0x000000000015b537
     0.16%  python3.10  python3.10            [.] 0x0000000000121730
     0.16%  :2437545    python3.10            [.] 0x00000000001215dc
     0.16%  python3.10  python3.10            [.] 0x00000000001215ab
     0.16%  :2437545    python3.10            [.] 0x0000000000179c0e
     0.15%  :2437545    python3.10            [.] 0x00000000001215a7
     0.14%  python3.10  python3.10            [.] 0x00000000001215dc
     0.14%  :2437545    python3.10            [.] 0x00000000001215cb
     0.13%  python3.10  python3.10            [.] 0x00000000001215e9
     0.13%  :2437545    python3.10            [.] 0x00000000001215e9
     0.12%  python3.10  python3.10            [.] 0x000000000012167d
     0.12%  python3.10  python3.10            [.] 0x000000000012160b
     0.12%  :2437545    python3.10            [.] 0x000000000012167b
     0.12%  :2437545    python3.10            [.] 0x0000000000121616
     0.11%  :2437545    python3.10            [.] 0x000000000012159d
     0.11%  :2437545    python3.10            [.] 0x00000000001215bc
     0.11%  :2437545    python3.10            [.] 0x0000000000121653
     0.11%  python3.10  python3.10            [.] 0x0000000000121679
     0.11%  :2437545    python3.10            [.] 0x000000000015b506
     0.10%  python3.10  python3.10            [.] 0x00000000001215f2
     0.10%  :2437545    python3.10            [.] 0x0000000000121635
     0.10%  python3.10  python3.10            [.] 0x0000000000121600
     0.09%  :2437545    python3.10            [.] 0x000000000015b541
     0.09%  :2437545    python3.10            [.] 0x000000000012160f
     0.09%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.09%  :2437545    python3.10            [.] 0x0000000000179c5a
     0.08%  python3.10  python3.10            [.] 0x00000000001215f7
     0.08%  python3.10  python3.10            [.] 0x00000000001215cb
     0.08%  :2437545    python3.10            [.] 0x00000000001215a2
     0.08%  :2437545    python3.10            [.] 0x0000000000179be0
     0.08%  :2437545    python3.10            [.] 0x000000000015b53b
     0.08%  :2437545    python3.10            [.] 0x0000000000179c42
     0.07%  :2437545    python3.10            [.] 0x000000000015b56e
     0.07%  :2437545    python3.10            [.] 0x000000000015b557
     0.07%  :2437545    python3.10            [.] 0x000000000015b568
     0.07%  :2437545    python3.10            [.] 0x00000000001215e5
     0.07%  :2437545    python3.10            [.] 0x0000000000179be8
     0.07%  :2437545    python3.10            [.] 0x0000000000179bee
     0.07%  :2437545    python3.10            [.] 0x0000000000179c13
     0.07%  :2437545    python3.10            [.] 0x000000000015b50e
     0.07%  :2437545    python3.10            [.] 0x00000000001215e2
     0.07%  :2437545    python3.10            [.] 0x0000000000121600
     0.06%  :2437545    python3.10            [.] 0x0000000000121675
     0.06%  :2437545    python3.10            [.] 0x0000000000179c4e
     0.06%  :2437545    python3.10            [.] 0x000000000015b520
     0.06%  :2437545    python3.10            [.] 0x0000000000173d50
     0.06%  :2437545    python3.10            [.] 0x0000000000121628
