# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cycles'
# Event count (approx.): 10020660315
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
     9.69%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.70%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     1.56%  python3.10  python3.10                                [.] PyLong_FromString
     1.24%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.12%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     1.06%  python3.10  python3.10                                [.] 0x00000000001b640a
     1.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     1.00%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.89%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.85%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.82%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.81%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.77%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.74%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.71%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.67%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.64%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.63%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.61%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.60%  python3.10  libc.so.6                                 [.] re_search_internal
     0.56%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.55%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.54%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.49%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.49%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.47%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.47%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.47%  python3.10  libc.so.6                                 [.] parse_expression
     0.45%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.45%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.44%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.43%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.43%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.42%  python3.10  libc.so.6                                 [.] __res_context_send
     0.40%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.40%  python3.10  python3.10                                [.] PyDict_Contains
     0.39%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.38%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.38%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.38%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.38%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.37%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.36%  python3.10  python3.10                                [.] _PyBytes_Resize
     0.36%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.36%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.34%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.34%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.34%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.34%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.33%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.31%  python3.10  python3.10                                [.] PyList_New
     0.31%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.31%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.31%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.29%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.29%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.28%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.28%  python3.10  [kernel.kallsyms]                         [k] __kmalloc_node_track_caller
     0.28%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.27%  python3.10  [kernel.kallsyms]                         [k] tcp_sendmsg_locked
     0.27%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.27%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.26%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.26%  python3.10  [kernel.kallsyms]                         [k] __dev_queue_xmit
     0.26%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_established
     0.26%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.25%  python3.10  [kernel.kallsyms]                         [k] fput_many
     0.25%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.24%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.24%  python3.10  [kernel.kallsyms]                         [k] sk_stream_alloc_skb
     0.24%  python3.10  [kernel.kallsyms]                         [k] aa_sk_perm
     0.24%  python3.10  python3.10                                [.] 0x0000000000122820
     0.24%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.24%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.24%  python3.10  python3.10                                [.] _PyLong_New
     0.24%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.24%  python3.10  python3.10                                [.] 0x0000000000140a95
     0.23%  python3.10  python3.10                                [.] PyMem_Calloc
     0.23%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.23%  python3.10  python3.10                                [.] 0x000000000012161a
     0.23%  python3.10  [kernel.kallsyms]                         [k] tcp_write_xmit
     0.22%  python3.10  [kernel.kallsyms]                         [k] skb_release_data
     0.22%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.22%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.22%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.22%  python3.10  [kernel.kallsyms]                         [k] __netif_receive_skb_core.constprop.0
     0.22%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
     0.21%  python3.10  [kernel.kallsyms]                         [k] __inet_lookup_established
     0.21%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
