CS ID,CS PID
2-39-78-365,2554558
2-39-90-440,2554571
2-39-79-383,2554565
2-39-78-363,2554588
2-39-126-560,2554649
2-39-82-384,2554583
2-39-78-367,2554667
2-39-89-25,2554594
2-39-78-360,2554661
2-39-83-386,2554675
2-39-129-17,2554678
2-39-95-27,2554674
2-39-91-437,2554683
2-39-91-441,2554677
2-39-129-563,2554702
2-39-139-28,2554717
2-39-78-364,2554679
2-39-126-20,2554713
2-39-78-362,2554556
2-39-79-379,2554680
2-39-131-565,2554576
2-39-92-436,2554684
2-39-79-382,2554641
2-39-123-557,2554676
2-39-78-366,2554685
2-39-125-559,2554686
2-39-92-442,2554708
2-39-123-23,2554656
2-39-138-566,2554664
2-39-88-24,2554669
2-39-95-444,2554670
2-39-79-380,2554681
2-39-125-21,2554682
2-39-130-31,2554687
2-39-83-387,2554671
2-39-89-439,2554673
2-39-78-361,2554777
2-39-139-567,2554785
2-39-127-19,2554796
2-39-138-29,2554697
2-39-127-561,2554790
2-39-79-377,2554800
2-39-124-558,2554803
2-39-79-376,2554819
2-39-128-18,2554825
2-39-88-438,2554808
2-39-130-564,2554892
2-39-131-30,2554838
2-39-90-26,2554829
2-39-128-562,2554878
2-39-124-22,2554884
2-39-79-381,2554895
2-39-79-378,2554907
