# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3496800267
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
    73.99%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     2.95%  python3.10  python3.10            [.] 0x000000000012161a
     1.55%  python3.10  python3.10            [.] 0x00000000001215c4
     1.41%  python3.10  python3.10            [.] 0x0000000000121590
     0.94%  python3.10  python3.10            [.] 0x0000000000121676
     0.94%  python3.10  python3.10            [.] 0x0000000000121605
     0.88%  python3.10  python3.10            [.] 0x0000000000121613
     0.67%  python3.10  python3.10            [.] 0x0000000000121679
     0.66%  python3.10  python3.10            [.] 0x0000000000121737
     0.54%  python3.10  python3.10            [.] 0x000000000012167d
     0.52%  python3.10  python3.10            [.] 0x0000000000121730
     0.48%  python3.10  python3.10            [.] 0x00000000001215a3
     0.47%  python3.10  python3.10            [.] 0x00000000001215f2
     0.46%  python3.10  python3.10            [.] 0x00000000001215f7
     0.43%  python3.10  python3.10            [.] 0x000000000012159b
     0.43%  python3.10  python3.10            [.] 0x000000000012160b
     0.42%  python3.10  python3.10            [.] 0x00000000001215dc
     0.37%  python3.10  python3.10            [.] 0x00000000001215e9
     0.31%  python3.10  python3.10            [.] 0x00000000001215bc
     0.31%  python3.10  python3.10            [.] 0x00000000001215cb
     0.31%  python3.10  python3.10            [.] 0x0000000000121596
     0.29%  python3.10  python3.10            [.] 0x00000000001215ab
     0.26%  python3.10  python3.10            [.] 0x0000000000121600
     0.23%  python3.10  python3.10            [.] 0x00000000001215c0
     0.21%  python3.10  python3.10            [.] 0x000000000012167b
     0.20%  python3.10  python3.10            [.] 0x000000000012159d
     0.19%  python3.10  python3.10            [.] 0x00000000001215e2
     0.18%  python3.10  python3.10            [.] 0x000000000012160f
     0.18%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.18%  python3.10  python3.10            [.] 0x00000000001215a7
     0.17%  python3.10  python3.10            [.] 0x00000000001215a2
     0.17%  python3.10  python3.10            [.] 0x00000000001215e5
     0.16%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.16%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.16%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.13%  python3.10  python3.10            [.] _PyUnicode_JoinArray
     0.12%  python3.10  python3.10            [.] 0x000000000012167f
     0.12%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.12%  python3.10  python3.10            [.] 0x00000000001215d8
     0.11%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.11%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.11%  python3.10  python3.10            [.] 0x0000000000121677
     0.10%  python3.10  python3.10            [.] 0x000000000012166e
     0.10%  python3.10  python3.10            [.] 0x00000000001215b2
     0.10%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.09%  python3.10  python3.10            [.] 0x00000000001215a0
     0.09%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.09%  python3.10  python3.10            [.] 0x0000000000121616
     0.08%  python3.10  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.08%  python3.10  [kernel.kallsyms]     [k] kfree
     0.07%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.07%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  python3.10            [.] PyObject_GetAttr
     0.07%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.07%  python3.10  [kernel.kallsyms]     [k] pick_next_entity
     0.06%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.06%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.06%  python3.10  python3.10            [.] 0x00000000001d4961
     0.06%  python3.10  python3.10            [.] 0x0000000000138500
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.05%  python3.10  [kernel.kallsyms]     [k] update_curr
     0.05%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.05%  python3.10  python3.10            [.] 0x000000000017c3fc
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.05%  python3.10  libc.so.6             [.] __strncat_ssse3
     0.05%  python3.10  [kernel.kallsyms]     [k] dequeue_task_fair
     0.05%  python3.10  python3.10            [.] _PyUnicodeWriter_PrepareInternal
     0.05%  python3.10  [kernel.kallsyms]     [k] __do_sys_clone3
     0.05%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.05%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.05%  python3.10  [kernel.kallsyms]     [k] do_syscall_64
     0.05%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.04%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.04%  python3.10  [kernel.kallsyms]     [k] get_futex_key
     0.04%  python3.10  python3.10            [.] 0x000000000017f87a
     0.04%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.04%  python3.10  [kernel.kallsyms]     [k] psi_task_switch
     0.04%  python3.10  [kernel.kallsyms]     [k] gup_pte_range
     0.04%  python3.10  python3.10            [.] 0x0000000000121594
     0.04%  python3.10  python3.10            [.] 0x0000000000137b1b
     0.04%  python3.10  python3.10            [.] PyTuple_New
     0.04%  python3.10  python3.10            [.] 0x00000000001215a6
     0.04%  python3.10  python3.10            [.] _PyUnicode_InsertThousandsGrouping
     0.04%  python3.10  [kernel.kallsyms]     [k] __cond_resched
     0.04%  python3.10  [kernel.kallsyms]     [k] rb_erase
