# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 2942188880
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    72.33%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.17%  python3.10  python3.10                                [.] 0x000000000012161a
     1.73%  python3.10  python3.10                                [.] 0x0000000000121590
     1.27%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.25%  python3.10  python3.10                                [.] 0x0000000000121676
     0.96%  python3.10  python3.10                                [.] 0x0000000000121605
     0.86%  python3.10  python3.10                                [.] 0x0000000000121613
     0.68%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.63%  python3.10  python3.10                                [.] 0x0000000000121679
     0.60%  python3.10  python3.10                                [.] 0x0000000000121737
     0.57%  python3.10  python3.10                                [.] 0x0000000000121730
     0.55%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.54%  python3.10  python3.10                                [.] 0x000000000012160b
     0.52%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.52%  python3.10  python3.10                                [.] 0x000000000012159b
     0.51%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.49%  python3.10  python3.10                                [.] 0x000000000012167d
     0.40%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.40%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.38%  python3.10  python3.10                                [.] 0x0000000000121596
     0.36%  :2555288    python3.10                                [.] _PyEval_EvalFrameDefault
     0.35%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.32%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.30%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.30%  python3.10  python3.10                                [.] 0x000000000012167b
     0.23%  python3.10  python3.10                                [.] 0x0000000000121600
     0.21%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.19%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.19%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.19%  python3.10  python3.10                                [.] 0x000000000012159d
     0.15%  python3.10  python3.10                                [.] 0x0000000000121616
     0.15%  python3.10  python3.10                                [.] 0x000000000012167f
     0.14%  python3.10  python3.10                                [.] 0x0000000000121677
     0.14%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.13%  python3.10  python3.10                                [.] 0x0000000000121594
     0.11%  python3.10  python3.10                                [.] 0x000000000012160f
     0.11%  python3.10  python3.10                                [.] 0x000000000012166e
     0.11%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.11%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.10%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.10%  python3.10  python3.10                                [.] 0x0000000000121599
     0.09%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.09%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.09%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.08%  python3.10  python3.10                                [.] PyList_Append
     0.08%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.07%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.07%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.07%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.07%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.07%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.07%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.07%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.07%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.07%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.06%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.06%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.06%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.06%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.06%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.06%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.06%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.05%  python3.10  [kernel.kallsyms]                         [k] futex_wait_setup
     0.05%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
