# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles'
# Event count (approx.): 1926406845
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    19.73%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.08%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.19%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.18%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     1.11%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.05%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     1.00%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.94%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.91%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.88%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.82%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.76%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.76%  python3.10  python3.10                                [.] PyList_Append
     0.73%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.72%  python3.10  python3.10                                [.] PyLong_FromString
     0.70%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.67%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.60%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.59%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.59%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.57%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.53%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.52%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.50%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.44%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.41%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.41%  python3.10  python3.10                                [.] 0x0000000000174090
     0.40%  python3.10  python3.10                                [.] 0x000000000015effa
     0.38%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.36%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.36%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.36%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.34%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.33%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.33%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.33%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.33%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.32%  python3.10  libc.so.6                                 [.] re_search_internal
     0.30%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.30%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.29%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.29%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.29%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.28%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.28%  python3.10  libc.so.6                                 [.] __netlink_request
     0.27%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.27%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.27%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.27%  python3.10  python3.10                                [.] PyDict_Contains
     0.25%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.25%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.25%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.25%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.25%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.24%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.24%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.24%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.24%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.24%  python3.10  python3.10                                [.] 0x00000000001732de
     0.23%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.22%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.22%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.22%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.22%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.22%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.22%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.22%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.21%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.21%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.21%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.21%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
     0.21%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.21%  python3.10  python3.10                                [.] 0x000000000015b537
     0.20%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.20%  python3.10  python3.10                                [.] 0x000000000018d155
     0.19%  python3.10  python3.10                                [.] _PyErr_NormalizeException
     0.19%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.19%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.19%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.19%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.19%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.19%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.19%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.18%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.18%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.18%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.18%  python3.10  python3.10                                [.] 0x00000000001795a2
     0.18%  python3.10  python3.10                                [.] 0x000000000015f020
     0.18%  python3.10  [kernel.kallsyms]                         [k] select_estimate_accuracy
     0.17%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.17%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.17%  python3.10  [kernel.kallsyms]                         [k] check_stack_object
     0.16%  python3.10  python3.10                                [.] PyObject_GC_Del
     0.16%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.16%  python3.10  libc.so.6                                 [.] parse_expression
     0.16%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.16%  python3.10  [kernel.kallsyms]                         [k] update_curr
