# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 11224565489
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    66.05%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     4.62%  python3.10  python3.10                                [.] 0x000000000012161a
     3.94%  python3.10  python3.10                                [.] 0x0000000000121590
     2.30%  python3.10  python3.10                                [.] PyObject_RichCompare
     1.47%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.38%  python3.10  python3.10                                [.] 0x0000000000121605
     0.98%  python3.10  python3.10                                [.] 0x0000000000121613
     0.70%  python3.10  python3.10                                [.] 0x0000000000121730
     0.63%  python3.10  python3.10                                [.] 0x0000000000121737
     0.63%  python3.10  python3.10                                [.] 0x000000000012160b
     0.61%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.59%  python3.10  python3.10                                [.] 0x0000000000121676
     0.58%  python3.10  python3.10                                [.] 0x000000000015b537
     0.58%  python3.10  python3.10                                [.] 0x000000000012159b
     0.58%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.56%  python3.10  python3.10                                [.] 0x000000000012167d
     0.54%  python3.10  python3.10                                [.] 0x0000000000179c52
     0.50%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.49%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.43%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.40%  python3.10  python3.10                                [.] 0x0000000000121596
     0.38%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.35%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.33%  python3.10  python3.10                                [.] 0x0000000000121734
     0.29%  python3.10  python3.10                                [.] 0x0000000000121623
     0.29%  python3.10  python3.10                                [.] 0x0000000000121600
     0.28%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.23%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.23%  python3.10  python3.10                                [.] 0x0000000000121679
     0.22%  python3.10  python3.10                                [.] 0x000000000012159d
     0.20%  python3.10  python3.10                                [.] 0x0000000000121616
     0.20%  python3.10  python3.10                                [.] 0x000000000012160f
     0.18%  python3.10  python3.10                                [.] 0x000000000015b546
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.17%  python3.10  python3.10                                [.] 0x000000000015b541
     0.17%  python3.10  python3.10                                [.] 0x0000000000121635
     0.16%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.16%  python3.10  python3.10                                [.] 0x0000000000121594
     0.16%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.14%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.13%  python3.10  python3.10                                [.] 0x000000000015b506
     0.12%  python3.10  python3.10                                [.] 0x0000000000121599
     0.12%  python3.10  python3.10                                [.] 0x000000000012166e
     0.11%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.11%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.10%  python3.10  python3.10                                [.] 0x0000000000121628
     0.10%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.10%  python3.10  python3.10                                [.] 0x000000000015b500
     0.10%  python3.10  python3.10                                [.] 0x0000000000121677
     0.09%  python3.10  python3.10                                [.] 0x000000000012167f
     0.09%  python3.10  python3.10                                [.] 0x000000000012167b
     0.09%  python3.10  python3.10                                [.] 0x0000000000121653
     0.09%  python3.10  python3.10                                [.] 0x0000000000121660
     0.08%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.08%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.08%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.08%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.08%  python3.10  python3.10                                [.] 0x000000000015b568
     0.07%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.07%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x0000000000121638
     0.06%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.06%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.06%  python3.10  python3.10                                [.] 0x0000000000121740
     0.06%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.05%  python3.10  python3.10                                [.] 0x000000000015b520
     0.05%  python3.10  python3.10                                [.] 0x000000000015b504
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.05%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.05%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.05%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.05%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.05%  python3.10  python3.10                                [.] 0x0000000000121675
     0.04%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.04%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.04%  python3.10  python3.10                                [.] 0x000000000015b562
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.04%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.04%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.04%  python3.10  python3.10                                [.] 0x0000000000173d54
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c56
     0.04%  python3.10  python3.10                                [.] 0x000000000015b53e
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.04%  python3.10  python3.10                                [.] 0x0000000000121630
     0.03%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.03%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.03%  python3.10  python3.10                                [.] 0x00000000001215df
     0.03%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.03%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.03%  python3.10  [kernel.kallsyms]                         [k] enqueue_task_fair
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  python3.10                                [.] 0x000000000015b509
     0.03%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.03%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.02%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.02%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.02%  python3.10  python3.10                                [.] 0x000000000015b50a
     0.02%  python3.10  python3.10                                [.] 0x0000000000121749
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
