# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 9193387484
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    46.65%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
    18.36%  :2566854    python3.10         [.] _PyEval_EvalFrameDefault
     3.00%  python3.10  python3.10         [.] 0x0000000000121590
     2.64%  :2566854    python3.10         [.] PyObject_RichCompare
     2.62%  :2566854    python3.10         [.] 0x000000000012161a
     2.31%  python3.10  python3.10         [.] 0x000000000012161a
     1.40%  :2566854    python3.10         [.] 0x0000000000121590
     1.09%  python3.10  python3.10         [.] 0x00000000001215c4
     0.95%  python3.10  python3.10         [.] 0x0000000000121605
     0.66%  :2566854    python3.10         [.] 0x000000000015b537
     0.66%  python3.10  python3.10         [.] 0x0000000000121613
     0.55%  :2566854    python3.10         [.] 0x0000000000121605
     0.54%  :2566854    python3.10         [.] 0x0000000000179c4e
     0.49%  :2566854    python3.10         [.] 0x0000000000179c52
     0.43%  python3.10  python3.10         [.] 0x00000000001215a3
     0.42%  python3.10  python3.10         [.] 0x0000000000121676
     0.41%  python3.10  python3.10         [.] 0x0000000000121737
     0.41%  python3.10  python3.10         [.] 0x0000000000121730
     0.38%  python3.10  python3.10         [.] 0x000000000012160b
     0.35%  python3.10  python3.10         [.] 0x000000000012159b
     0.34%  python3.10  python3.10         [.] 0x00000000001215ab
     0.34%  :2566854    python3.10         [.] 0x000000000012160b
     0.34%  :2566977    python3.10         [.] _PyEval_EvalFrameDefault
     0.33%  python3.10  python3.10         [.] 0x000000000012167d
     0.33%  :2566854    python3.10         [.] 0x00000000001215a3
     0.33%  :2566854    python3.10         [.] 0x0000000000121737
     0.32%  :2566854    python3.10         [.] 0x00000000001215c4
     0.32%  python3.10  python3.10         [.] 0x00000000001215dc
     0.30%  :2566854    python3.10         [.] 0x000000000015b541
     0.29%  :2566854    python3.10         [.] 0x0000000000121623
     0.29%  :2566854    python3.10         [.] 0x0000000000121613
     0.28%  python3.10  python3.10         [.] 0x00000000001215cb
     0.27%  :2566854    python3.10         [.] 0x000000000012159b
     0.26%  :2566918    python3.10         [.] _PyEval_EvalFrameDefault
     0.25%  python3.10  python3.10         [.] 0x00000000001215f2
     0.24%  :2566854    python3.10         [.] 0x000000000015b53b
     0.24%  :2566854    python3.10         [.] 0x00000000001215f7
     0.23%  :2566854    python3.10         [.] 0x0000000000121734
     0.22%  python3.10  python3.10         [.] 0x00000000001215f7
     0.22%  :2566854    python3.10         [.] 0x00000000001215ab
     0.22%  :2566854    python3.10         [.] 0x0000000000121676
     0.22%  :2566854    python3.10         [.] 0x00000000001215f2
     0.21%  python3.10  python3.10         [.] 0x00000000001215e9
     0.19%  :2566854    python3.10         [.] 0x0000000000121596
     0.17%  :2566854    python3.10         [.] 0x000000000012167d
     0.17%  :2566854    python3.10         [.] 0x000000000015b546
     0.16%  :2566854    python3.10         [.] 0x00000000001215dc
     0.16%  :2566854    python3.10         [.] 0x00000000001215e9
     0.14%  :2566854    python3.10         [.] 0x0000000000121616
     0.14%  :2566948    python3.10         [.] _PyEval_EvalFrameDefault
     0.13%  :2566854    python3.10         [.] 0x000000000015b506
     0.13%  :2566854    python3.10         [.] 0x0000000000121635
     0.12%  :2566854    python3.10         [.] 0x0000000000121679
     0.12%  :2566854    python3.10         [.] 0x0000000000121730
     0.12%  :2566854    python3.10         [.] 0x000000000012160f
     0.12%  python3.10  python3.10         [.] 0x00000000001215d8
     0.12%  python3.10  python3.10         [.] 0x0000000000121600
     0.12%  python3.10  python3.10         [.] 0x0000000000121596
     0.11%  :2566854    python3.10         [.] 0x0000000000121600
     0.10%  python3.10  python3.10         [.] 0x00000000001215e5
     0.09%  python3.10  python3.10         [.] 0x0000000000121679
     0.09%  :2566854    python3.10         [.] 0x0000000000121594
     0.09%  :2566854    python3.10         [.] 0x0000000000121628
     0.09%  :2566854    python3.10         [.] 0x0000000000179c42
     0.08%  :2566854    python3.10         [.] 0x0000000000179c46
     0.08%  :2566854    python3.10         [.] 0x00000000001215cb
     0.08%  :2566854    python3.10         [.] 0x000000000015b554
     0.08%  python3.10  python3.10         [.] 0x00000000001215e2
     0.08%  :2566854    python3.10         [.] 0x0000000000179c5a
     0.08%  :2566854    python3.10         [.] 0x00000000001215e5
     0.08%  :2566854    python3.10         [.] 0x0000000000121638
     0.08%  python3.10  python3.10         [.] 0x000000000012159d
     0.08%  :2566854    python3.10         [.] 0x0000000000121653
     0.07%  :2566854    python3.10         [.] 0x00000000001215bc
     0.07%  :2566854    python3.10         [.] 0x000000000015b520
     0.07%  :2566854    python3.10         [.] 0x000000000012167b
     0.07%  :2566854    python3.10         [.] 0x000000000015b568
     0.07%  :2566854    python3.10         [.] 0x000000000012159d
     0.07%  :2566854    python3.10         [.] 0x00000000001215a7
     0.07%  python3.10  python3.10         [.] 0x0000000000121734
     0.06%  :2566854    python3.10         [.] 0x0000000000121740
     0.06%  :2566854    python3.10         [.] 0x0000000000179be0
     0.06%  python3.10  python3.10         [.] 0x000000000012160f
     0.06%  :2566854    python3.10         [.] 0x0000000000173d58
     0.06%  :2566854    python3.10         [.] 0x0000000000173d50
     0.06%  python3.10  python3.10         [.] 0x0000000000121594
     0.06%  python3.10  python3.10         [.] 0x00000000001215bc
     0.06%  :2566854    python3.10         [.] 0x0000000000179be6
     0.06%  python3.10  python3.10         [.] 0x00000000001215a7
     0.05%  :2566854    python3.10         [.] 0x0000000000179bfe
     0.05%  :2566854    python3.10         [.] 0x00000000001215a2
     0.05%  :2566854    python3.10         [.] 0x0000000000179c02
     0.05%  :2566854    python3.10         [.] 0x0000000000121675
     0.05%  :2566854    python3.10         [.] 0x000000000015b562
     0.05%  python3.10  python3.10         [.] 0x00000000001215a2
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.05%  :2566854    [kernel.kallsyms]  [k] psi_group_change
     0.05%  :2566854    python3.10         [.] 0x000000000015b50e
     0.05%  :2566854    python3.10         [.] 0x000000000015b56e
     0.05%  python3.10  python3.10         [.] 0x000000000012167f
     0.05%  :2566854    python3.10         [.] 0x000000000012166e
     0.04%  :2566854    python3.10         [.] 0x0000000000179be8
     0.04%  :2566854    python3.10         [.] 0x0000000000121630
     0.04%  python3.10  python3.10         [.] 0x0000000000121677
     0.04%  :2566854    python3.10         [.] 0x00000000001215e2
     0.04%  :2566854    python3.10         [.] 0x000000000015b500
     0.04%  :2566854    python3.10         [.] 0x000000000015b55b
     0.04%  python3.10  python3.10         [.] 0x000000000012167b
     0.04%  :2566854    python3.10         [.] 0x0000000000121599
     0.04%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.04%  :2566854    python3.10         [.] 0x0000000000179c13
     0.04%  :2566854    python3.10         [.] 0x0000000000179c15
     0.03%  :2566854    python3.10         [.] 0x000000000012175a
     0.03%  :2566854    python3.10         [.] 0x0000000000179c21
     0.03%  python3.10  python3.10         [.] 0x00000000001215a6
     0.03%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.03%  python3.10  python3.10         [.] 0x0000000000121616
     0.03%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.03%  python3.10  python3.10         [.] 0x0000000000121599
     0.03%  :2566854    python3.10         [.] 0x0000000000121660
     0.03%  :2566854    python3.10         [.] 0x000000000015b54f
     0.03%  :2566854    python3.10         [.] 0x0000000000173d54
     0.03%  :2566854    python3.10         [.] 0x0000000000121677
     0.03%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.03%  :2566854    python3.10         [.] 0x000000000012167f
     0.03%  :2566854    python3.10         [.] 0x0000000000179bee
     0.03%  :2566854    python3.10         [.] 0x0000000000179c2e
     0.03%  :2566854    python3.10         [.] 0x000000000015b509
     0.03%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.03%  :2566854    python3.10         [.] 0x00000000001215ed
     0.03%  :2566854    python3.10         [.] 0x0000000000179bfb
     0.03%  :2566854    python3.10         [.] 0x0000000000179c3b
     0.03%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.03%  :2566977    python3.10         [.] 0x000000000012161a
     0.03%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.02%  :2566854    python3.10         [.] 0x000000000015b557
     0.02%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.02%  :2566854    python3.10         [.] 0x0000000000121757
     0.02%  :2566854    [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.02%  :2566854    python3.10         [.] 0x000000000015b519
     0.02%  python3.10  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.02%  :2566854    python3.10         [.] 0x0000000000179c0e
     0.02%  :2566977    python3.10         [.] 0x00000000001215c4
     0.02%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.02%  :2566854    python3.10         [.] 0x0000000000121749
     0.02%  :2566854    python3.10         [.] 0x000000000015b50a
     0.02%  :2566854    python3.10         [.] 0x0000000000179be4
     0.02%  :2566918    python3.10         [.] 0x000000000012161a
     0.02%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.02%  python3.10  python3.10         [.] 0x000000000012d084
     0.02%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.02%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.02%  python3.10  python3.10         [.] 0x00000000001215a0
     0.02%  :2566854    python3.10         [.] 0x0000000000179bea
     0.02%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.02%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.02%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.02%  :2566854    python3.10         [.] 0x00000000001215b2
     0.02%  python3.10  python3.10         [.] 0x00000000001215b2
     0.02%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.02%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.02%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.02%  :2566854    [kernel.kallsyms]  [k] perf_swevent_add
     0.02%  :2566854    python3.10         [.] 0x000000000015b512
     0.02%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.02%  python3.10  [kernel.kallsyms]  [k] sync_regs
     0.02%  :2566854    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.02%  :2566854    [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.02%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.02%  :2566977    python3.10         [.] 0x0000000000121605
     0.02%  :2566854    [kernel.kallsyms]  [k] __x64_sys_futex
