# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 17K of event 'cycles'
# Event count (approx.): 6609109131
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    73.85%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     3.42%  python3.10  python3.10            [.] 0x0000000000121590
     2.79%  python3.10  python3.10            [.] 0x000000000012161a
     1.35%  python3.10  python3.10            [.] 0x00000000001215c4
     1.26%  python3.10  python3.10            [.] 0x0000000000121605
     0.82%  python3.10  python3.10            [.] 0x0000000000121613
     0.77%  python3.10  python3.10            [.] 0x0000000000121676
     0.74%  python3.10  python3.10            [.] 0x0000000000121730
     0.59%  python3.10  python3.10            [.] 0x000000000012160b
     0.59%  python3.10  python3.10            [.] 0x0000000000121737
     0.52%  :2567895    python3.10            [.] _PyEval_EvalFrameDefault
     0.50%  python3.10  python3.10            [.] 0x00000000001215a3
     0.48%  python3.10  python3.10            [.] 0x00000000001215f7
     0.47%  python3.10  python3.10            [.] 0x000000000012167d
     0.46%  python3.10  python3.10            [.] 0x00000000001215f2
     0.44%  python3.10  python3.10            [.] 0x0000000000121596
     0.44%  python3.10  python3.10            [.] 0x00000000001215dc
     0.43%  python3.10  python3.10            [.] 0x000000000012159b
     0.41%  python3.10  python3.10            [.] 0x00000000001215cb
     0.41%  :2567859    python3.10            [.] _PyEval_EvalFrameDefault
     0.39%  :2567952    python3.10            [.] _PyEval_EvalFrameDefault
     0.37%  :2567732    python3.10            [.] _PyEval_EvalFrameDefault
     0.35%  python3.10  python3.10            [.] 0x000000000012159d
     0.31%  :2567760    python3.10            [.] _PyEval_EvalFrameDefault
     0.30%  :2567877    python3.10            [.] _PyEval_EvalFrameDefault
     0.29%  :2567800    python3.10            [.] _PyEval_EvalFrameDefault
     0.26%  python3.10  python3.10            [.] 0x00000000001215ab
     0.24%  python3.10  python3.10            [.] 0x00000000001215e9
     0.24%  :2567823    python3.10            [.] _PyEval_EvalFrameDefault
     0.20%  python3.10  python3.10            [.] 0x0000000000121679
