# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 650756063
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    21.63%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.42%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     2.02%  python3.10  python3.10         [.] PyLong_FromString
     1.42%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     1.02%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.96%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.88%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.77%  python3.10  python3.10         [.] 0x00000000001d495d
     0.52%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.51%  python3.10  python3.10         [.] PyDict_Contains
     0.49%  python3.10  python3.10         [.] 0x0000000000174090
     0.49%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.48%  python3.10  python3.10         [.] 0x000000000015b546
     0.46%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.46%  python3.10  python3.10         [.] 0x000000000015efdc
     0.46%  python3.10  python3.10         [.] 0x0000000000127f5d
     0.43%  python3.10  python3.10         [.] PyList_Append
     0.43%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.43%  python3.10  python3.10         [.] 0x0000000000188e95
     0.42%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.41%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.41%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.39%  python3.10  python3.10         [.] 0x000000000015effa
     0.39%  python3.10  python3.10         [.] 0x00000000001b640a
     0.39%  python3.10  python3.10         [.] 0x000000000015f000
     0.38%  python3.10  python3.10         [.] 0x00000000001d48e8
     0.38%  python3.10  libc.so.6          [.] parse_expression
     0.37%  python3.10  python3.10         [.] PyType_GenericAlloc
     0.37%  python3.10  python3.10         [.] 0x00000000001b63e8
     0.36%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.36%  python3.10  libc.so.6          [.] 0x00000000001a0986
     0.36%  python3.10  python3.10         [.] 0x000000000018d1c6
     0.34%  python3.10  python3.10         [.] 0x000000000020bea0
     0.34%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.33%  python3.10  libc.so.6          [.] re_search_internal
     0.33%  python3.10  python3.10         [.] 0x0000000000188ef6
     0.32%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.32%  python3.10  python3.10         [.] _PyUnicode_FromASCII
     0.32%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.31%  python3.10  python3.10         [.] 0x00000000001795d6
     0.31%  python3.10  python3.10         [.] 0x000000000017c380
     0.31%  python3.10  python3.10         [.] 0x000000000017c3ef
     0.30%  python3.10  python3.10         [.] 0x00000000001740bb
     0.30%  python3.10  python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.29%  python3.10  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.28%  python3.10  python3.10         [.] 0x000000000017f87a
     0.28%  python3.10  python3.10         [.] PyObject_Hash
     0.28%  python3.10  python3.10         [.] 0x000000000018c020
     0.28%  python3.10  python3.10         [.] 0x0000000000243806
     0.28%  python3.10  libc.so.6          [.] __res_context_send
     0.28%  python3.10  python3.10         [.] 0x00000000001795fe
     0.27%  python3.10  python3.10         [.] _PyBytes_Resize
     0.27%  python3.10  libcrypto.so.3     [.] OPENSSL_init_crypto
     0.26%  python3.10  python3.10         [.] 0x0000000000188eee
     0.26%  python3.10  libc.so.6          [.] __strncpy_sse2_unaligned
     0.26%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.26%  python3.10  python3.10         [.] 0x000000000015ef70
     0.26%  python3.10  libc.so.6          [.] __strncat_sse2_unaligned
     0.25%  python3.10  python3.10         [.] PySequence_List
     0.25%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.25%  python3.10  python3.10         [.] 0x0000000000137ada
     0.25%  python3.10  python3.10         [.] 0x000000000015efc7
     0.24%  python3.10  python3.10         [.] 0x0000000000206a23
     0.24%  python3.10  [kernel.kallsyms]  [k] calc_timer_values
     0.24%  python3.10  python3.10         [.] 0x000000000020beee
     0.23%  python3.10  python3.10         [.] 0x000000000015b506
     0.23%  python3.10  python3.10         [.] 0x00000000001d4961
     0.23%  python3.10  python3.10         [.] 0x000000000018d599
     0.23%  python3.10  python3.10         [.] 0x000000000018d562
     0.23%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
     0.23%  python3.10  [kernel.kallsyms]  [k] kfree
     0.23%  python3.10  python3.10         [.] 0x0000000000206c7a
     0.23%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.22%  python3.10  python3.10         [.] 0x00000000001740a7
     0.22%  python3.10  [kernel.kallsyms]  [k] __ip_queue_xmit
     0.21%  python3.10  python3.10         [.] PyUnicode_AsEncodedString
     0.21%  python3.10  [kernel.kallsyms]  [k] __ksize
     0.21%  python3.10  [kernel.kallsyms]  [k] acpi_os_read_port
     0.21%  python3.10  python3.10         [.] 0x000000000018d5e0
     0.20%  python3.10  libcrypto.so.3     [.] EVP_MD_CTX_copy_ex
     0.20%  python3.10  python3.10         [.] 0x00000000002cfec0
     0.20%  python3.10  python3.10         [.] 0x000000000017f872
     0.19%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.19%  python3.10  python3.10         [.] 0x0000000000137a6a
     0.19%  python3.10  python3.10         [.] 0x0000000000137c02
     0.19%  python3.10  python3.10         [.] 0x000000000018bf76
     0.19%  python3.10  python3.10         [.] PyTraceBack_Here
     0.19%  python3.10  [kernel.kallsyms]  [k] tcp_recvmsg_locked
     0.19%  python3.10  python3.10         [.] 0x000000000018bfea
     0.19%  python3.10  python3.10         [.] 0x0000000000188d97
     0.18%  python3.10  python3.10         [.] 0x000000000015b541
     0.18%  python3.10  python3.10         [.] 0x0000000000295003
     0.18%  python3.10  python3.10         [.] 0x0000000000143407
     0.18%  python3.10  [kernel.kallsyms]  [k] kmem_cache_free
     0.18%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.18%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.18%  python3.10  [kernel.kallsyms]  [k] __cgroup_bpf_run_filter_skb
     0.18%  python3.10  python3.10         [.] 0x000000000018c00b
     0.18%  python3.10  python3.10         [.] 0x0000000000206bee
     0.17%  python3.10  [kernel.kallsyms]  [k] tcp_schedule_loss_probe
     0.17%  python3.10  [kernel.kallsyms]  [k] __inet_lookup_established
     0.17%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.17%  python3.10  libcrypto.so.3     [.] 0x0000000000308126
     0.17%  python3.10  python3.10         [.] 0x0000000000179538
     0.17%  python3.10  python3.10         [.] 0x0000000000152260
     0.16%  python3.10  [kernel.kallsyms]  [k] aa_sk_perm
     0.16%  python3.10  python3.10         [.] 0x00000000000cfa53
     0.16%  python3.10  python3.10         [.] 0x000000000018c0d9
     0.16%  python3.10  python3.10         [.] _PyLong_New
     0.16%  python3.10  python3.10         [.] 0x000000000015b537
     0.16%  python3.10  python3.10         [.] 0x000000000011d510
     0.16%  python3.10  python3.10         [.] PyObject_GetItem
     0.16%  python3.10  python3.10         [.] 0x00000000001228d1
     0.16%  python3.10  python3.10         [.] 0x000000000017f876
     0.16%  python3.10  python3.10         [.] 0x00000000001732ee
     0.16%  python3.10  libcrypto.so.3     [.] OPENSSL_cleanse
     0.16%  python3.10  python3.10         [.] 0x000000000015b500
     0.16%  python3.10  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.16%  python3.10  python3.10         [.] 0x0000000000294986
     0.16%  python3.10  [kernel.kallsyms]  [k] __cond_resched
     0.16%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.16%  python3.10  python3.10         [.] 0x000000000017c38a
     0.16%  python3.10  python3.10         [.] 0x0000000000189853
     0.16%  python3.10  python3.10         [.] 0x0000000000206742
     0.16%  python3.10  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.16%  python3.10  python3.10         [.] 0x00000000001228ac
     0.16%  python3.10  python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.16%  python3.10  python3.10         [.] 0x000000000018d06c
     0.16%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.16%  python3.10  python3.10         [.] 0x000000000017c3aa
     0.15%  python3.10  python3.10         [.] 0x0000000000188dd7
     0.15%  python3.10  python3.10         [.] _PyNumber_Index
     0.15%  python3.10  python3.10         [.] 0x0000000000188dae
     0.15%  python3.10  [kernel.kallsyms]  [k] tcp_grow_window
     0.15%  python3.10  python3.10         [.] 0x000000000015150d
     0.15%  python3.10  libc.so.6          [.] 0x00000000001a0951
     0.15%  python3.10  python3.10         [.] 0x0000000000188de8
     0.15%  python3.10  libc.so.6          [.] str_to_mpn
     0.15%  python3.10  python3.10         [.] 0x0000000000127f54
     0.15%  python3.10  [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.15%  python3.10  python3.10         [.] 0x000000000018d589
     0.15%  python3.10  libc.so.6          [.] 0x000000000019d981
     0.14%  python3.10  python3.10         [.] 0x000000000020bf65
     0.14%  python3.10  python3.10         [.] 0x0000000000150bcb
     0.14%  python3.10  python3.10         [.] 0x000000000020bef5
     0.14%  python3.10  python3.10         [.] 0x000000000018d068
     0.14%  python3.10  python3.10         [.] 0x0000000000137a60
     0.14%  python3.10  python3.10         [.] 0x000000000018d585
     0.14%  python3.10  python3.10         [.] 0x00000000001508a2
     0.14%  python3.10  python3.10         [.] 0x0000000000167dd5
     0.14%  python3.10  python3.10         [.] 0x000000000017f8c2
     0.14%  python3.10  python3.10         [.] 0x0000000000188e99
     0.14%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.14%  python3.10  [kernel.kallsyms]  [k] tcp_rcv_established
     0.14%  python3.10  [kernel.kallsyms]  [k] pick_next_task_fair
     0.14%  python3.10  python3.10         [.] 0x0000000000122870
     0.14%  python3.10  libcrypto.so.3     [.] 0x0000000000307371
     0.14%  python3.10  python3.10         [.] 0x00000000001566df
     0.14%  python3.10  python3.10         [.] PyBuffer_Release
     0.14%  python3.10  [kernel.kallsyms]  [k] __fget_files
     0.14%  python3.10  [kernel.kallsyms]  [k] ip_local_deliver
     0.14%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.14%  python3.10  python3.10         [.] PyNumber_Xor
     0.14%  python3.10  python3.10         [.] 0x000000000015efe1
     0.14%  python3.10  python3.10         [.] 0x000000000020bea6
     0.14%  python3.10  libcrypto.so.3     [.] 0x0000000000308237
     0.13%  python3.10  python3.10         [.] 0x00000000002b7852
     0.13%  python3.10  python3.10         [.] 0x000000000015b504
     0.13%  python3.10  python3.10         [.] 0x0000000000188d49
     0.13%  python3.10  [kernel.kallsyms]  [k] tcp_write_xmit
     0.13%  python3.10  python3.10         [.] 0x0000000000122901
     0.13%  python3.10  python3.10         [.] 0x00000000001d4931
     0.13%  python3.10  libc.so.6          [.] 0x0000000000199efd
     0.13%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.13%  python3.10  [kernel.kallsyms]  [k] tcp_schedule_loss_probe.part.0
     0.13%  python3.10  libc.so.6          [.] 0x00000000001a0940
     0.13%  python3.10  python3.10         [.] 0x0000000000150bcf
     0.13%  python3.10  [kernel.kallsyms]  [k] fput
     0.13%  python3.10  python3.10         [.] 0x000000000018d077
     0.13%  python3.10  python3.10         [.] 0x000000000029b467
     0.13%  python3.10  python3.10         [.] PyUnicode_RichCompare
     0.13%  python3.10  [kernel.kallsyms]  [k] sk_filter_trim_cap
     0.13%  python3.10  libc.so.6          [.] 0x00000000001a0970
     0.13%  python3.10  python3.10         [.] 0x00000000001893e8
     0.13%  python3.10  python3.10         [.] 0x0000000000151d9c
     0.13%  python3.10  python3.10         [.] 0x0000000000188e69
     0.13%  python3.10  python3.10         [.] 0x0000000000137b1b
     0.13%  python3.10  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.12%  python3.10  python3.10         [.] 0x000000000017a8e0
     0.12%  python3.10  python3.10         [.] 0x00000000001732de
     0.12%  python3.10  [kernel.kallsyms]  [k] do_softirq
     0.12%  python3.10  libc.so.6          [.] 0x00000000001a1104
     0.12%  python3.10  libc.so.6          [.] round_and_return
     0.12%  python3.10  python3.10         [.] 0x000000000017c3b2
     0.12%  python3.10  python3.10         [.] 0x0000000000179613
     0.12%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.12%  python3.10  python3.10         [.] 0x000000000018d604
     0.12%  python3.10  python3.10         [.] _PyDict_GetItemIdWithError
     0.12%  python3.10  python3.10         [.] 0x000000000011b315
     0.12%  python3.10  python3.10         [.] 0x00000000002b39e2
     0.12%  python3.10  python3.10         [.] 0x000000000018d59d
     0.12%  python3.10  [kernel.kallsyms]  [k] skb_network_protocol
     0.12%  python3.10  libc.so.6          [.] round_and_return
     0.12%  python3.10  [kernel.kallsyms]  [k] _raw_spin_unlock_bh
     0.12%  python3.10  python3.10         [.] 0x00000000001598ea
     0.12%  python3.10  python3.10         [.] 0x0000000000188ec2
     0.12%  python3.10  python3.10         [.] 0x000000000018d151
     0.12%  python3.10  python3.10         [.] 0x000000000015f01d
     0.11%  python3.10  libcrypto.so.3     [.] 0x000000000030742b
     0.11%  python3.10  python3.10         [.] 0x000000000018c53f
     0.11%  python3.10  [kernel.kallsyms]  [k] perf_event_sched_in
     0.11%  python3.10  python3.10         [.] 0x0000000000122826
     0.11%  python3.10  python3.10         [.] 0x000000000018d15e
     0.11%  python3.10  [kernel.kallsyms]  [k] tcp_release_cb
     0.11%  python3.10  python3.10         [.] 0x000000000017c3d0
     0.11%  python3.10  python3.10         [.] 0x00000000001339b5
     0.11%  python3.10  [kernel.kallsyms]  [k] __remove_hrtimer
     0.11%  python3.10  [kernel.kallsyms]  [k] tcp_event_data_recv
     0.11%  python3.10  python3.10         [.] 0x0000000000293ebe
     0.11%  python3.10  python3.10         [.] 0x000000000018d066
     0.11%  python3.10  python3.10         [.] 0x000000000015ef93
     0.11%  python3.10  python3.10         [.] 0x0000000000151500
     0.11%  python3.10  python3.10         [.] 0x0000000000188eff
     0.11%  python3.10  python3.10         [.] 0x000000000018d22d
     0.11%  python3.10  python3.10         [.] 0x0000000000179628
     0.11%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.11%  python3.10  python3.10         [.] 0x000000000017c388
     0.11%  python3.10  python3.10         [.] 0x000000000017f864
     0.11%  python3.10  python3.10         [.] 0x0000000000295019
     0.11%  python3.10  [kernel.kallsyms]  [k] sk_wait_data
     0.11%  python3.10  python3.10         [.] 0x0000000000122663
     0.10%  python3.10  python3.10         [.] 0x000000000015efaa
     0.10%  python3.10  python3.10         [.] 0x00000000001795b3
     0.10%  python3.10  libcrypto.so.3     [.] EVP_MD_CTX_free
     0.10%  python3.10  python3.10         [.] 0x000000000017c3e7
     0.10%  python3.10  python3.10         [.] 0x000000000017b0d0
     0.10%  python3.10  [kernel.kallsyms]  [k] eth_type_trans
     0.10%  python3.10  python3.10         [.] 0x000000000014f696
     0.10%  python3.10  python3.10         [.] 0x0000000000163100
     0.10%  python3.10  python3.10         [.] 0x00000000002942ff
     0.10%  python3.10  libcrypto.so.3     [.] 0x000000000030827c
     0.10%  python3.10  python3.10         [.] 0x000000000018d07c
     0.10%  python3.10  [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.10%  python3.10  python3.10         [.] PyMem_Realloc
     0.10%  python3.10  [kernel.kallsyms]  [k] sockfd_lookup_light
     0.10%  python3.10  python3.10         [.] _PyLong_FormatAdvancedWriter
     0.10%  python3.10  python3.10         [.] 0x00000000001f603b
     0.10%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.10%  python3.10  python3.10         [.] 0x00000000001411d5
     0.10%  python3.10  python3.10         [.] 0x0000000000179be0
     0.10%  python3.10  python3.10         [.] 0x000000000018d146
     0.10%  python3.10  python3.10         [.] 0x000000000018d51f
     0.10%  python3.10  python3.10         [.] 0x000000000018d06e
     0.10%  python3.10  python3.10         [.] PyUnicode_Decode
     0.09%  python3.10  python3.10         [.] 0x0000000000122916
     0.09%  python3.10  libcrypto.so.3     [.] 0x000000000030743f
     0.09%  python3.10  python3.10         [.] 0x000000000024380b
     0.09%  python3.10  python3.10         [.] 0x0000000000277390
     0.09%  python3.10  libc.so.6          [.] 0x00000000001a09c0
     0.09%  python3.10  [kernel.kallsyms]  [k] __mod_timer
     0.09%  python3.10  python3.10         [.] 0x000000000016ace6
     0.09%  python3.10  python3.10         [.] 0x00000000001d48d6
     0.09%  python3.10  [kernel.kallsyms]  [k] ip_finish_output2
     0.09%  python3.10  python3.10         [.] 0x000000000012290a
     0.09%  python3.10  libc.so.6          [.] 0x00000000001a097a
     0.09%  python3.10  python3.10         [.] 0x000000000015b53b
     0.09%  python3.10  python3.10         [.] 0x0000000000188e29
     0.09%  python3.10  python3.10         [.] 0x00000000001d4902
     0.09%  python3.10  python3.10         [.] 0x0000000000137af0
     0.09%  python3.10  python3.10         [.] 0x0000000000180a37
     0.09%  python3.10  python3.10         [.] 0x000000000020bf3d
     0.09%  python3.10  [kernel.kallsyms]  [k] rb_erase
     0.09%  python3.10  python3.10         [.] 0x00000000001228f6
     0.09%  python3.10  [kernel.kallsyms]  [k] skb_clone
     0.09%  python3.10  python3.10         [.] 0x000000000018d2c5
     0.09%  python3.10  [kernel.kallsyms]  [k] tcp_current_mss
     0.09%  python3.10  python3.10         [.] 0x0000000000152321
     0.09%  python3.10  [kernel.kallsyms]  [k] psi_task_change
     0.09%  python3.10  [kernel.kallsyms]  [k] sock_sendmsg
     0.09%  python3.10  python3.10         [.] 0x00000000002f8160
     0.09%  python3.10  python3.10         [.] 0x0000000000206969
     0.09%  python3.10  [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.09%  python3.10  python3.10         [.] 0x000000000017c393
     0.09%  python3.10  python3.10         [.] 0x0000000000179584
     0.09%  python3.10  [kernel.kallsyms]  [k] memcg_slab_free_hook
     0.09%  python3.10  python3.10         [.] 0x000000000023ec62
     0.09%  python3.10  libcrypto.so.3     [.] 0x0000000000307b63
     0.09%  python3.10  python3.10         [.] 0x000000000029e8ee
     0.09%  python3.10  [kernel.kallsyms]  [k] do_sys_poll
     0.09%  python3.10  [kernel.kallsyms]  [k] set_next_buddy
     0.09%  python3.10  [kernel.kallsyms]  [k] tcp_rearm_rto
     0.09%  python3.10  python3.10         [.] PyObject_GetAttr
     0.08%  python3.10  python3.10         [.] 0x000000000017c3ac
     0.08%  python3.10  python3.10         [.] 0x000000000012285d
     0.08%  python3.10  python3.10         [.] PyModule_GetState
     0.08%  python3.10  python3.10         [.] 0x00000000002774ce
     0.08%  python3.10  [kernel.kallsyms]  [k] wake_up_q
     0.08%  python3.10  python3.10         [.] 0x00000000002948f1
     0.08%  python3.10  [kernel.kallsyms]  [k] mark_wake_futex
     0.08%  python3.10  python3.10         [.] 0x0000000000137bfb
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.08%  python3.10  python3.10         [.] 0x0000000000287097
     0.08%  python3.10  python3.10         [.] 0x0000000000188e5e
     0.08%  python3.10  python3.10         [.] 0x0000000000122a70
     0.08%  python3.10  libcrypto.so.3     [.] 0x000000000017d82f
     0.08%  python3.10  libcrypto.so.3     [.] ENGINE_finish
     0.08%  python3.10  libc.so.6          [.] 0x0000000000198ac0
     0.08%  python3.10  python3.10         [.] PyMem_Malloc
     0.08%  python3.10  [kernel.kallsyms]  [k] dequeue_task
