CS ID,CS PID
2-39-79-378,2591000
2-39-79-379,2590854
2-39-139-567,2590869
2-39-79-382,2590863
2-39-130-564,2590900
2-39-126-560,2590895
2-39-125-559,2590875
2-39-90-440,2590955
2-39-91-437,2590969
2-39-79-376,2590979
2-39-127-19,2590971
2-39-126-20,2590992
2-39-123-23,2591010
2-39-128-18,2590986
2-39-78-365,2590888
2-39-131-30,2590906
2-39-78-362,2590882
2-39-95-27,2590962
2-39-83-387,2591002
2-39-78-363,2591001
2-39-138-566,2591011
2-39-125-21,2590857
2-39-139-28,2591004
2-39-92-442,2591012
2-39-89-25,2591013
2-39-92-436,2591003
2-39-82-384,2591020
2-39-131-565,2591022
2-39-78-366,2591019
2-39-78-361,2591025
2-39-123-557,2591034
2-39-138-29,2591021
2-39-124-22,2591028
2-39-95-444,2591039
2-39-83-386,2591040
2-39-129-17,2591045
2-39-78-367,2591062
2-39-128-562,2591068
2-39-124-558,2591051
2-39-78-360,2591084
2-39-129-563,2591075
2-39-88-438,2591090
2-39-90-26,2591092
2-39-91-441,2591096
2-39-88-24,2591104
2-39-79-381,2591103
2-39-79-377,2591108
2-39-89-439,2591113
2-39-78-364,2591110
2-39-79-383,2591119
2-39-127-561,2591116
2-39-130-31,2591126
2-39-79-380,2591130
