# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 46K of event 'cycles'
# Event count (approx.): 23637072075
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    55.09%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.64%  python3.10  python3.10                                [.] PyObject_RichCompare
     5.02%  python3.10  python3.10                                [.] 0x000000000012161a
     4.67%  python3.10  python3.10                                [.] 0x0000000000121590
     1.77%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.62%  python3.10  python3.10                                [.] 0x000000000015b546
     1.32%  python3.10  python3.10                                [.] 0x0000000000179c0e
     1.32%  python3.10  python3.10                                [.] 0x0000000000121605
     1.16%  python3.10  python3.10                                [.] 0x0000000000121613
     1.15%  python3.10  python3.10                                [.] 0x0000000000121676
     0.86%  python3.10  python3.10                                [.] 0x000000000012160b
     0.78%  python3.10  python3.10                                [.] 0x000000000015b537
     0.75%  python3.10  python3.10                                [.] 0x000000000012159b
     0.72%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.70%  python3.10  python3.10                                [.] 0x0000000000121737
     0.61%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.61%  python3.10  python3.10                                [.] 0x0000000000121730
     0.54%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.53%  python3.10  python3.10                                [.] 0x0000000000121679
     0.52%  python3.10  python3.10                                [.] 0x0000000000121623
     0.52%  python3.10  python3.10                                [.] 0x0000000000179c52
     0.50%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.47%  python3.10  python3.10                                [.] 0x000000000012167d
     0.44%  python3.10  python3.10                                [.] 0x0000000000121653
     0.44%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.41%  python3.10  python3.10                                [.] 0x000000000015b541
     0.41%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.40%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.36%  python3.10  python3.10                                [.] 0x0000000000121635
     0.35%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.31%  python3.10  python3.10                                [.] 0x0000000000121600
     0.30%  python3.10  python3.10                                [.] 0x000000000012167b
     0.26%  python3.10  python3.10                                [.] 0x0000000000121596
     0.24%  python3.10  python3.10                                [.] 0x0000000000121616
     0.24%  python3.10  python3.10                                [.] 0x000000000012160f
     0.23%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.22%  python3.10  python3.10                                [.] 0x000000000015b506
     0.21%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.20%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.19%  python3.10  python3.10                                [.] 0x0000000000121660
     0.18%  python3.10  python3.10                                [.] 0x0000000000121638
     0.18%  python3.10  python3.10                                [.] 0x0000000000121677
     0.18%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.18%  python3.10  python3.10                                [.] 0x0000000000121628
     0.17%  python3.10  python3.10                                [.] 0x0000000000121594
     0.17%  python3.10  python3.10                                [.] 0x000000000012159d
     0.17%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.16%  python3.10  python3.10                                [.] 0x000000000015b568
     0.16%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.16%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.15%  python3.10  python3.10                                [.] 0x000000000015b557
     0.15%  python3.10  python3.10                                [.] 0x0000000000121675
     0.15%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.14%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.14%  python3.10  python3.10                                [.] 0x0000000000121667
     0.14%  python3.10  python3.10                                [.] 0x000000000015b520
     0.12%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.12%  python3.10  python3.10                                [.] 0x000000000012167f
     0.12%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.12%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.12%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.11%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.10%  python3.10  python3.10                                [.] 0x000000000015b500
     0.10%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.10%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.10%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.10%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.10%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.10%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.10%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.09%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.09%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.09%  python3.10  python3.10                                [.] 0x0000000000121754
     0.09%  python3.10  python3.10                                [.] 0x000000000012175a
     0.08%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.08%  python3.10  python3.10                                [.] 0x0000000000121740
     0.08%  python3.10  python3.10                                [.] 0x0000000000179c0b
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.07%  python3.10  python3.10                                [.] 0x0000000000121757
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.07%  python3.10  python3.10                                [.] 0x0000000000121749
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.06%  python3.10  python3.10                                [.] 0x000000000015b56d
     0.06%  python3.10  python3.10                                [.] 0x0000000000179c58
     0.05%  python3.10  python3.10                                [.] 0x000000000012166e
     0.05%  python3.10  python3.10                                [.] 0x000000000015b53e
     0.04%  python3.10  python3.10                                [.] 0x000000000015b50a
     0.04%  python3.10  python3.10                                [.] 0x000000000015b55b
     0.04%  python3.10  python3.10                                [.] 0x0000000000121599
     0.04%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.04%  python3.10  python3.10                                [.] 0x000000000012164e
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.03%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.03%  python3.10  python3.10                                [.] 0x00000000001215df
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  python3.10                                [.] 0x0000000000179be4
     0.03%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.03%  python3.10  python3.10                                [.] 0x000000000015b504
     0.03%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  python3.10                                [.] 0x0000000000121751
     0.03%  python3.10  python3.10                                [.] 0x000000000012174d
     0.03%  python3.10  python3.10                                [.] 0x0000000000179bea
     0.03%  python3.10  python3.10                                [.] 0x000000000012162c
     0.02%  python3.10  python3.10                                [.] 0x0000000000179c56
     0.02%  python3.10  python3.10                                [.] 0x000000000015b50b
     0.02%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.02%  python3.10  python3.10                                [.] 0x000000000015b52a
     0.02%  python3.10  python3.10                                [.] 0x000000000015b519
     0.02%  python3.10  python3.10                                [.] 0x000000000015b509
     0.02%  python3.10  python3.10                                [.] 0x0000000000173d54
     0.02%  python3.10  python3.10                                [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.02%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.02%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.02%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.02%  python3.10  python3.10                                [.] 0x000000000015b55d
     0.02%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.02%  python3.10  python3.10                                [.] 0x000000000015b534
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.02%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.01%  python3.10  python3.10                                [.] 0x0000000000179bfb
     0.01%  python3.10  python3.10                                [.] 0x000000000015b512
     0.01%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_idle_sibling
     0.01%  python3.10  python3.10                                [.] PyLong_FromString
     0.01%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.01%  python3.10  python3.10                                [.] 0x0000000000179be9
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.01%  python3.10  python3.10                                [.] 0x0000000000121641
     0.01%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.01%  python3.10  [kernel.kallsyms]                         [k] sysvec_apic_timer_interrupt
     0.01%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_task_rq_fair
     0.01%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
