# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 53K of event 'cycles'
# Event count (approx.): 27203778710
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    41.90%  :2591328    python3.10            [.] _PyEval_EvalFrameDefault
    13.75%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     5.51%  :2591328    python3.10            [.] PyObject_RichCompare
     3.72%  :2591328    python3.10            [.] 0x000000000012161a
     3.72%  :2591328    python3.10            [.] 0x0000000000121590
     1.23%  :2591328    python3.10            [.] 0x000000000015b546
     1.17%  :2591328    python3.10            [.] 0x0000000000179c0e
     1.16%  :2591328    python3.10            [.] 0x00000000001215c4
     0.93%  :2591328    python3.10            [.] 0x0000000000121605
     0.86%  :2591328    python3.10            [.] 0x0000000000121613
     0.84%  :2591328    python3.10            [.] 0x0000000000121676
     0.81%  :2591328    python3.10            [.] 0x000000000012160b
     0.76%  python3.10  python3.10            [.] 0x0000000000121590
     0.67%  :2591328    python3.10            [.] 0x0000000000121623
     0.66%  :2591328    python3.10            [.] 0x0000000000121730
     0.63%  :2591328    python3.10            [.] 0x000000000015b537
     0.59%  python3.10  python3.10            [.] 0x000000000012161a
     0.58%  :2591328    python3.10            [.] 0x00000000001215a3
     0.56%  :2591328    python3.10            [.] 0x000000000012159b
     0.52%  :2591328    python3.10            [.] 0x00000000001215f2
     0.51%  :2591328    python3.10            [.] 0x0000000000121737
     0.50%  :2591328    python3.10            [.] 0x0000000000121596
     0.49%  :2591328    python3.10            [.] 0x0000000000179c52
     0.48%  :2591328    python3.10            [.] 0x00000000001215ab
     0.42%  :2591328    python3.10            [.] 0x0000000000121679
     0.37%  :2591328    python3.10            [.] 0x0000000000121653
     0.37%  :2591328    python3.10            [.] 0x00000000001215dc
     0.35%  :2591328    python3.10            [.] 0x0000000000179c02
     0.34%  :2591328    python3.10            [.] 0x00000000001215f7
     0.33%  :2591328    python3.10            [.] 0x000000000015b541
     0.33%  :2591328    python3.10            [.] 0x00000000001215e9
     0.32%  :2591328    python3.10            [.] 0x0000000000121635
     0.32%  :2591328    python3.10            [.] 0x0000000000121594
     0.32%  python3.10  python3.10            [.] 0x0000000000121605
     0.31%  python3.10  python3.10            [.] 0x00000000001215c4
     0.30%  :2591328    python3.10            [.] 0x000000000015b506
     0.30%  :2591328    python3.10            [.] 0x000000000012167d
     0.28%  :2591328    python3.10            [.] 0x0000000000121616
     0.27%  :2591328    python3.10            [.] 0x000000000012159d
     0.26%  :2591328    python3.10            [.] 0x0000000000121600
     0.25%  :2591328    python3.10            [.] 0x0000000000179be0
     0.24%  :2591328    python3.10            [.] 0x000000000012160f
     0.24%  :2591328    python3.10            [.] 0x00000000001215cb
     0.24%  :2591328    python3.10            [.] 0x000000000012167b
     0.22%  python3.10  python3.10            [.] 0x0000000000121613
     0.21%  :2591328    python3.10            [.] 0x0000000000179be8
     0.20%  :2591328    python3.10            [.] 0x0000000000179c13
     0.20%  :2591328    python3.10            [.] 0x0000000000121628
     0.20%  :2591328    python3.10            [.] 0x000000000015b53b
     0.20%  :2591328    python3.10            [.] 0x000000000015b500
     0.19%  :2591328    python3.10            [.] 0x00000000001215a7
     0.18%  :2591328    python3.10            [.] 0x0000000000121677
     0.18%  :2591328    python3.10            [.] 0x0000000000179be6
     0.18%  :2591328    python3.10            [.] 0x000000000015b520
     0.16%  python3.10  python3.10            [.] 0x0000000000121676
     0.16%  :2591328    python3.10            [.] 0x0000000000173d50
     0.16%  :2591328    python3.10            [.] 0x00000000001215c0
     0.16%  :2591328    python3.10            [.] 0x0000000000173d58
     0.15%  :2591328    python3.10            [.] 0x000000000015b568
     0.15%  :2591328    python3.10            [.] 0x0000000000121638
     0.14%  :2591328    python3.10            [.] 0x0000000000121660
     0.14%  :2591328    python3.10            [.] 0x000000000015b557
     0.14%  :2591328    python3.10            [.] 0x0000000000121599
     0.13%  python3.10  python3.10            [.] 0x0000000000121730
     0.13%  :2591328    python3.10            [.] 0x00000000001215b2
     0.13%  :2591328    python3.10            [.] 0x000000000015b504
     0.13%  :2591328    python3.10            [.] 0x0000000000179c42
     0.13%  python3.10  python3.10            [.] 0x000000000012159b
     0.12%  python3.10  python3.10            [.] 0x000000000012160b
     0.12%  :2591328    python3.10            [.] 0x0000000000121675
     0.12%  :2591328    python3.10            [.] 0x0000000000179bee
     0.11%  :2591328    python3.10            [.] 0x000000000015b50e
     0.11%  :2591328    python3.10            [.] 0x000000000012167f
     0.11%  python3.10  python3.10            [.] 0x00000000001215f2
     0.11%  :2591328    python3.10            [.] 0x0000000000179be4
     0.11%  :2591328    python3.10            [.] 0x0000000000179c25
     0.11%  :2591328    python3.10            [.] 0x00000000001215e2
     0.11%  :2591328    python3.10            [.] 0x00000000001215e5
     0.11%  :2591328    python3.10            [.] 0x0000000000121667
     0.11%  :2591328    python3.10            [.] 0x0000000000179c3b
     0.11%  :2591328    python3.10            [.] 0x0000000000179c4e
     0.11%  :2591328    python3.10            [.] 0x00000000001215ed
     0.11%  :2591328    python3.10            [.] 0x00000000001215a6
     0.11%  python3.10  python3.10            [.] 0x00000000001215ab
     0.11%  :2591328    python3.10            [.] 0x00000000001215c8
     0.10%  :2591328    python3.10            [.] 0x00000000001215bc
     0.10%  :2591328    python3.10            [.] 0x0000000000179c15
     0.10%  :2591328    python3.10            [.] 0x000000000015b509
     0.10%  :2591328    python3.10            [.] 0x0000000000121740
     0.10%  python3.10  python3.10            [.] 0x0000000000121737
     0.10%  :2591328    python3.10            [.] 0x00000000001215a2
     0.10%  python3.10  python3.10            [.] 0x00000000001215a3
     0.09%  :2591328    python3.10            [.] 0x000000000015b56e
     0.09%  python3.10  python3.10            [.] 0x00000000001215dc
     0.08%  :2591328    python3.10            [.] 0x0000000000179c46
     0.08%  :2591328    python3.10            [.] 0x0000000000179c5a
     0.08%  :2591328    python3.10            [.] 0x0000000000179c0b
     0.08%  :2591328    python3.10            [.] 0x000000000015b50a
     0.08%  :2591328    python3.10            [.] 0x0000000000179c56
     0.08%  python3.10  python3.10            [.] 0x00000000001215f7
     0.07%  python3.10  python3.10            [.] 0x000000000012167d
     0.07%  :2591328    python3.10            [.] 0x000000000012166e
