# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles'
# Event count (approx.): 18091348798
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
    44.33%  :2591332    python3.10            [.] _PyEval_EvalFrameDefault
     8.85%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     6.37%  :2591332    python3.10            [.] PyObject_RichCompare
     4.55%  :2591332    python3.10            [.] 0x000000000012161a
     4.31%  :2591332    python3.10            [.] 0x0000000000121590
     1.66%  :2591332    python3.10            [.] 0x000000000015b546
     1.57%  :2591332    python3.10            [.] 0x00000000001215c4
     1.55%  :2591332    python3.10            [.] 0x0000000000179c0e
     1.18%  :2591332    python3.10            [.] 0x0000000000121605
     1.10%  :2591332    python3.10            [.] 0x0000000000121613
     1.00%  :2591332    python3.10            [.] 0x0000000000121676
     0.91%  :2591332    python3.10            [.] 0x000000000012160b
     0.71%  :2591332    python3.10            [.] 0x000000000015b537
     0.71%  :2591332    python3.10            [.] 0x000000000012159b
     0.64%  :2591332    python3.10            [.] 0x00000000001215a3
     0.61%  :2591332    python3.10            [.] 0x0000000000121737
     0.59%  :2591332    python3.10            [.] 0x0000000000121730
     0.55%  :2591332    python3.10            [.] 0x00000000001215ab
     0.55%  :2591332    python3.10            [.] 0x0000000000179c52
     0.54%  python3.10  python3.10            [.] 0x0000000000121590
     0.54%  :2591332    python3.10            [.] 0x0000000000121623
     0.49%  :2591332    python3.10            [.] 0x0000000000121653
     0.49%  :2591332    python3.10            [.] 0x00000000001215f2
     0.45%  :2591332    python3.10            [.] 0x000000000012167d
     0.44%  :2591332    python3.10            [.] 0x000000000015b541
     0.43%  python3.10  python3.10            [.] 0x000000000012161a
     0.42%  :2591332    python3.10            [.] 0x0000000000179c02
     0.42%  :2591332    python3.10            [.] 0x0000000000121679
     0.42%  :2591332    python3.10            [.] 0x00000000001215dc
     0.39%  :2591332    python3.10            [.] 0x00000000001215e9
     0.39%  :2591332    python3.10            [.] 0x00000000001215f7
     0.38%  :2591332    python3.10            [.] 0x0000000000121635
     0.36%  :2591332    python3.10            [.] 0x0000000000121600
     0.28%  :2591332    python3.10            [.] 0x000000000012167b
     0.28%  :2591332    python3.10            [.] 0x0000000000121596
     0.26%  :2591332    python3.10            [.] 0x0000000000121616
     0.26%  :2591332    python3.10            [.] 0x000000000015b506
     0.26%  :2591332    python3.10            [.] 0x000000000015b53b
     0.25%  :2591332    python3.10            [.] 0x00000000001215cb
     0.25%  :2591332    python3.10            [.] 0x0000000000179be0
     0.24%  :2591332    python3.10            [.] 0x00000000001215c0
     0.23%  python3.10  python3.10            [.] 0x00000000001215c4
     0.22%  :2591332    python3.10            [.] 0x000000000012160f
     0.22%  python3.10  python3.10            [.] 0x0000000000121605
     0.22%  :2591332    python3.10            [.] 0x0000000000121628
     0.21%  :2591332    python3.10            [.] 0x0000000000179c13
     0.21%  :2591332    python3.10            [.] 0x0000000000121677
     0.20%  :2591332    python3.10            [.] 0x000000000015b557
     0.20%  :2591332    python3.10            [.] 0x000000000012159d
     0.20%  :2591332    python3.10            [.] 0x0000000000121594
     0.19%  :2591332    python3.10            [.] 0x000000000015b568
     0.17%  :2591332    python3.10            [.] 0x0000000000121660
     0.17%  :2591332    python3.10            [.] 0x0000000000179bee
     0.17%  :2591332    python3.10            [.] 0x0000000000121638
     0.17%  :2591332    python3.10            [.] 0x0000000000121667
     0.16%  :2591332    python3.10            [.] 0x0000000000173d50
     0.15%  :2591332    python3.10            [.] 0x0000000000179be8
     0.15%  :2591332    python3.10            [.] 0x000000000015b520
     0.13%  :2591332    python3.10            [.] 0x00000000001215e2
     0.13%  :2591332    python3.10            [.] 0x000000000015b500
     0.13%  :2591332    python3.10            [.] 0x00000000001215e5
     0.13%  :2591332    python3.10            [.] 0x0000000000121675
     0.13%  :2591332    python3.10            [.] 0x0000000000179c42
     0.12%  :2591332    python3.10            [.] 0x000000000015b56e
     0.12%  python3.10  python3.10            [.] 0x0000000000121613
     0.12%  :2591332    python3.10            [.] 0x00000000001215a7
     0.11%  :2591332    python3.10            [.] 0x0000000000179c25
     0.11%  :2591332    python3.10            [.] 0x0000000000179c3b
     0.11%  :2591332    python3.10            [.] 0x0000000000121740
     0.11%  :2591332    python3.10            [.] 0x00000000001215ed
     0.11%  :2591332    python3.10            [.] 0x0000000000173d58
     0.11%  :2591332    python3.10            [.] 0x00000000001215b2
     0.11%  :2591332    python3.10            [.] 0x000000000015b50e
     0.11%  :2591332    python3.10            [.] 0x000000000012167f
     0.10%  :2591332    python3.10            [.] 0x0000000000179c5a
     0.10%  python3.10  python3.10            [.] 0x0000000000121676
     0.09%  :2591332    python3.10            [.] 0x0000000000121749
     0.09%  :2591332    python3.10            [.] 0x00000000001215d8
     0.09%  :2591332    python3.10            [.] 0x00000000001215a6
     0.09%  :2591332    python3.10            [.] 0x00000000001215bc
     0.09%  :2591332    python3.10            [.] 0x0000000000179be6
     0.08%  :2591332    python3.10            [.] 0x000000000012175a
     0.08%  python3.10  python3.10            [.] 0x000000000012159b
     0.08%  :2591332    python3.10            [.] 0x00000000001215c8
     0.08%  :2591332    python3.10            [.] 0x0000000000179c15
     0.08%  :2591332    python3.10            [.] 0x00000000001215a2
     0.08%  python3.10  python3.10            [.] 0x00000000001215ab
     0.08%  :2591332    python3.10            [.] 0x000000000012166e
     0.07%  :2591332    python3.10            [.] 0x0000000000121754
     0.07%  python3.10  python3.10            [.] 0x000000000012160b
     0.07%  :2591332    python3.10            [.] 0x0000000000179c0b
     0.07%  :2591332    python3.10            [.] 0x000000000015b53e
     0.07%  :2591332    python3.10            [.] 0x0000000000179c2e
     0.07%  python3.10  python3.10            [.] 0x0000000000121737
     0.06%  python3.10  python3.10            [.] 0x000000000012167d
     0.06%  :2591332    python3.10            [.] 0x000000000015b56d
     0.06%  :2591332    python3.10            [.] 0x0000000000179c58
     0.06%  python3.10  python3.10            [.] 0x00000000001215f2
     0.06%  python3.10  python3.10            [.] 0x0000000000121730
     0.06%  python3.10  python3.10            [.] 0x00000000001215cb
     0.06%  python3.10  python3.10            [.] 0x00000000001215a3
     0.06%  :2591332    python3.10            [.] 0x0000000000179c4e
     0.06%  python3.10  python3.10            [.] 0x00000000001215e9
     0.06%  :2591332    python3.10            [.] 0x0000000000121757
     0.05%  :2591332    python3.10            [.] 0x0000000000121599
     0.05%  python3.10  python3.10            [.] 0x00000000001215f7
     0.05%  :2591332    python3.10            [.] 0x0000000000179c21
     0.05%  :2591332    python3.10            [.] 0x000000000015b50b
     0.05%  :2591332    python3.10            [.] 0x000000000012164e
     0.04%  :2591332    python3.10            [.] 0x0000000000179c46
     0.04%  :2591332    python3.10            [.] 0x0000000000121751
     0.04%  python3.10  python3.10            [.] 0x0000000000121679
     0.04%  :2591332    python3.10            [.] 0x00000000001215df
     0.04%  :2591332    python3.10            [.] 0x000000000015b50a
     0.04%  :2591332    [kernel.kallsyms]     [k] error_entry
     0.04%  python3.10  python3.10            [.] 0x0000000000121596
     0.04%  :2591332    python3.10            [.] 0x0000000000179be4
     0.04%  :2591332    [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.04%  :2591332    python3.10            [.] 0x000000000012174d
     0.04%  :2591332    python3.10            [.] 0x000000000015b55b
     0.03%  python3.10  python3.10            [.] 0x00000000001215e2
     0.03%  :2591711    python3.10            [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  python3.10            [.] 0x000000000012159d
     0.03%  python3.10  python3.10            [.] 0x000000000012167b
     0.03%  :2591332    python3.10            [.] 0x0000000000121734
     0.03%  :2591332    python3.10            [.] 0x000000000015b504
     0.03%  :2591332    [kernel.kallsyms]     [k] psi_group_change
     0.02%  python3.10  python3.10            [.] 0x0000000000121600
     0.02%  :2591332    python3.10            [.] 0x0000000000179bfb
     0.02%  :2591332    python3.10            [.] 0x0000000000121641
     0.02%  python3.10  python3.10            [.] 0x00000000001215dc
     0.02%  :2591332    python3.10            [.] 0x0000000000179c56
     0.02%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.02%  python3.10  python3.10            [.] 0x00000000001215e5
     0.02%  :2591332    python3.10            [.] 0x00000000001215a0
     0.02%  :2591332    [kernel.kallsyms]     [k] sync_regs
     0.02%  :2591332    [kernel.kallsyms]     [k] native_read_msr
     0.02%  :2591332    python3.10            [.] 0x000000000015b512
     0.02%  :2591332    python3.10            [.] 0x0000000000179bea
     0.02%  :2591332    python3.10            [.] 0x000000000015b54f
     0.02%  :2591332    python3.10            [.] 0x000000000015b519
     0.02%  python3.10  python3.10            [.] 0x000000000012160f
     0.02%  :2591332    [kernel.kallsyms]     [k] merge_sched_in
