# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles'
# Event count (approx.): 1301102491
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    23.57%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.20%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.41%  python3.10  python3.10                                [.] PyLong_FromString
     1.17%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.91%  python3.10  python3.10                                [.] PyList_Append
     0.78%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.77%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.75%  python3.10  python3.10                                [.] 0x000000000015b546
     0.68%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.67%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.56%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.53%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.52%  python3.10  python3.10                                [.] 0x0000000000174090
     0.47%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.43%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.40%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.39%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.38%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.37%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.35%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.35%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.34%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.32%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.32%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.32%  python3.10  python3.10                                [.] 0x000000000018d589
     0.31%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.30%  python3.10  python3.10                                [.] 0x0000000000122930
     0.30%  python3.10  python3.10                                [.] 0x000000000017958b
     0.30%  python3.10  python3.10                                [.] 0x0000000000137ba2
     0.29%  python3.10  [kernel.kallsyms]                         [k] tcp_skb_entail
     0.29%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.29%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.28%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.28%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.27%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.27%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.27%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.27%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.27%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.26%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.26%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.25%  python3.10  python3.10                                [.] 0x000000000011b2f6
     0.25%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.25%  python3.10  python3.10                                [.] 0x0000000000122820
     0.24%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.24%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.24%  python3.10  python3.10                                [.] PyList_New
     0.24%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.23%  python3.10  python3.10                                [.] 0x000000000018d1c6
     0.23%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.23%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.22%  python3.10  python3.10                                [.] 0x000000000017c380
     0.22%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.22%  python3.10  libc.so.6                                 [.] re_search_internal
     0.22%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.22%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.22%  python3.10  python3.10                                [.] 0x0000000000070990
     0.21%  python3.10  python3.10                                [.] 0x00000000001795a2
     0.21%  python3.10  python3.10                                [.] 0x0000000000127f59
     0.21%  python3.10  python3.10                                [.] 0x000000000018d155
     0.21%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.21%  python3.10  python3.10                                [.] 0x000000000015efcc
     0.20%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.20%  python3.10  python3.10                                [.] PyDict_Contains
     0.20%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.20%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.20%  python3.10  libc.so.6                                 [.] 0x00000000001a0994
     0.20%  python3.10  python3.10                                [.] 0x0000000000179592
     0.20%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.20%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.20%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.19%  python3.10  [kernel.kallsyms]                         [k] sk_wait_data
     0.19%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.19%  python3.10  python3.10                                [.] 0x000000000015f000
     0.19%  python3.10  python3.10                                [.] 0x000000000018d0e8
     0.19%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.19%  python3.10  python3.10                                [.] 0x0000000000188d4e
     0.19%  python3.10  python3.10                                [.] 0x000000000015eff0
     0.19%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.19%  python3.10  python3.10                                [.] 0x000000000018d060
     0.18%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.18%  python3.10  python3.10                                [.] 0x000000000018d165
     0.18%  python3.10  [kernel.kallsyms]                         [k] __inet_lookup_established
     0.18%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.18%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.18%  python3.10  python3.10                                [.] 0x00000000001740af
     0.18%  python3.10  python3.10                                [.] 0x00000000001598e3
     0.18%  python3.10  python3.10                                [.] 0x00000000001d48d6
     0.18%  python3.10  python3.10                                [.] 0x000000000015b537
     0.18%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.18%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.18%  python3.10  python3.10                                [.] PyUnicode_AsEncodedString
     0.17%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.17%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.17%  python3.10  python3.10                                [.] 0x000000000020bf52
     0.17%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.17%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
