CS ID,CS PID
2-39-130-31,2602597
2-39-129-17,2602595
2-39-123-23,2602634
2-39-138-29,2602646
2-39-123-557,2602651
2-39-78-363,2602609
2-39-88-24,2602663
2-39-78-365,2602661
2-39-78-360,2602660
2-39-139-567,2602670
2-39-90-26,2602640
2-39-78-362,2602671
2-39-131-565,2602672
2-39-88-438,2602673
2-39-129-563,2602676
2-39-138-566,2602755
2-39-78-364,2602678
2-39-95-444,2602870
2-39-91-437,2602674
2-39-128-562,2602705
2-39-92-436,2602679
2-39-127-19,2602681
2-39-91-441,2602622
2-39-139-28,2602603
2-39-78-367,2602628
2-39-126-560,2602655
2-39-128-18,2602669
2-39-95-27,2602658
2-39-92-442,2602677
2-39-89-25,2602822
2-39-89-439,2602876
2-39-82-384,2602675
2-39-79-381,2602716
2-39-125-559,2602616
2-39-79-377,2602659
2-39-79-383,2602738
2-39-79-376,2602680
2-39-79-378,2602662
2-39-78-366,2602685
2-39-130-564,2602694
2-39-83-386,2602879
2-39-79-379,2602883
2-39-127-561,2602890
2-39-124-22,2602885
2-39-124-558,2602887
2-39-125-21,2602894
2-39-126-20,2602898
2-39-78-361,2602911
2-39-131-30,2602917
2-39-79-380,2602949
2-39-90-440,2602954
2-39-79-382,2602952
2-39-83-387,2602955
