# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 93K of event 'cycles'
# Event count (approx.): 47388689290
#
# Overhead  Command     Shared Object                             Symbol                                      
# ........  ..........  ........................................  ............................................
#
    81.89%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.20%  python3.10  python3.10                                [.] 0x000000000012161a
     1.66%  python3.10  python3.10                                [.] 0x0000000000121590
     0.85%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.75%  python3.10  python3.10                                [.] 0x0000000000121605
     0.60%  python3.10  python3.10                                [.] 0x0000000000121623
     0.59%  python3.10  python3.10                                [.] 0x000000000012160b
     0.58%  python3.10  python3.10                                [.] 0x0000000000121613
     0.38%  python3.10  python3.10                                [.] 0x0000000000121676
     0.32%  python3.10  python3.10                                [.] 0x0000000000121635
     0.31%  python3.10  python3.10                                [.] 0x0000000000121737
     0.28%  python3.10  python3.10                                [.] 0x000000000012159b
     0.28%  python3.10  python3.10                                [.] 0x0000000000121730
     0.27%  python3.10  python3.10                                [.] 0x000000000012160f
     0.27%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.26%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.23%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.21%  python3.10  python3.10                                [.] 0x0000000000121616
     0.21%  python3.10  python3.10                                [.] 0x0000000000121628
     0.21%  python3.10  python3.10                                [.] 0x0000000000121679
     0.20%  python3.10  python3.10                                [.] 0x0000000000121596
     0.20%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.19%  python3.10  python3.10                                [.] 0x0000000000121638
     0.19%  python3.10  python3.10                                [.] 0x000000000012167d
     0.18%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.17%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.16%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x0000000000121600
     0.09%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.08%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.08%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.08%  :2603815    python3.10                                [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10                                [.] 0x000000000012159d
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.07%  :2603691    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.06%  :2604086    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x000000000012167b
     0.06%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.05%  :2604016    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :2603743    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.05%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.04%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.04%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.04%  python3.10  python3.10                                [.] 0x000000000012167f
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.04%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.04%  :2603967    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  python3.10                                [.] 0x0000000000121594
     0.03%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.03%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.03%  :2604047    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  :2603856    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.03%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.03%  python3.10  python3.10                                [.] 0x0000000000121677
     0.03%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.03%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.02%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  :2604127    python3.10                                [.] _PyEval_EvalFrameDefault
     0.02%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.02%  python3.10  [kernel.kallsyms]                         [k] enqueue_entity
     0.02%  :2603904    python3.10                                [.] _PyEval_EvalFrameDefault
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.02%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.02%  python3.10  python3.10                                [.] 0x000000000012166e
     0.02%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.02%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.02%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.02%  python3.10  [kernel.kallsyms]                         [k] ___slab_alloc
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.02%  python3.10  python3.10                                [.] 0x0000000000121599
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.02%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.02%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.02%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.02%  python3.10  python3.10                                [.] 0x000000000012162c
     0.01%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_task_rq_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.01%  python3.10  [kernel.kallsyms]                         [k] hrtimer_interrupt
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node_trace
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.01%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.01%  python3.10  [kernel.kallsyms]                         [k] mutex_lock
     0.01%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.01%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_run_queues
     0.01%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.01%  python3.10  python3.10                                [.] 0x00000000001740af
     0.01%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.01%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.01%  python3.10  libc.so.6                                 [.] __memmove_sse2_unaligned_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_apic_msr_eoi_write
     0.01%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.01%  python3.10  [kernel.kallsyms]                         [k] copy_process
     0.01%  python3.10  [kernel.kallsyms]                         [k] inherit_task_group.isra.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_idle_sibling
     0.01%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wake
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_insert
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.01%  python3.10  python3.10                                [.] PyList_Append
     0.01%  :2603815    python3.10                                [.] 0x000000000012161a
     0.01%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.01%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.01%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_futex
     0.01%  python3.10  [kernel.kallsyms]                         [k] native_queued_spin_lock_slowpath.part.0
     0.01%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.01%  python3.10  [kernel.kallsyms]                         [k] put_prev_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.01%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.01%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.01%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.01%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.01%  python3.10  [kernel.kallsyms]                         [k] check_preempt_wakeup
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_iterate_ctx
     0.01%  python3.10  ld-linux-x86-64.so.2                      [.] _dl_check_all_versions
     0.01%  python3.10  [kernel.kallsyms]                         [k] clear_page_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.01%  python3.10  python3.10                                [.] 0x0000000000122820
     0.01%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.01%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait_setup
     0.01%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.01%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] intel_pmu_hw_config.part.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] psi_flags_change
     0.01%  python3.10  python3.10                                [.] PyDict_GetItemWithError
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.01%  python3.10  [kernel.kallsyms]                         [k] slab_free_freelist_hook.constprop.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] find_vma_prev
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_min_vruntime
     0.01%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.01%  python3.10  [kernel.kallsyms]                         [k] alloc_vmap_area
     0.01%  python3.10  libc.so.6                                 [.] __strstr_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]                         [k] mutex_unlock
     0.01%  python3.10  [kernel.kallsyms]                         [k] do_madvise.part.0
     0.01%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.01%  python3.10  python3.10                                [.] PyLong_FromString
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_txn
     0.01%  python3.10  python3.10                                [.] 0x000000000013fd1f
     0.01%  python3.10  python3.10                                [.] 0x000000000015b546
     0.01%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.01%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.01%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.01%  python3.10  [kernel.kallsyms]                         [k] do_futex
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_init_context
     0.01%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.01%  python3.10  python3.10                                [.] _PyDict_DelItem_KnownHash
     0.01%  python3.10  [kernel.kallsyms]                         [k] __cond_resched
     0.01%  python3.10  [kernel.kallsyms]                         [k] hash_futex
     0.01%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_trace
     0.01%  :2603691    python3.10                                [.] 0x000000000012161a
     0.01%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.01%  python3.10  [kernel.kallsyms]                         [k] task_clock_event_add
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_rq_clock
     0.01%  python3.10  [kernel.kallsyms]                         [k] reweight_entity
     0.01%  python3.10  python3.10                                [.] PyObject_SetAttr
     0.01%  python3.10  [kernel.kallsyms]                         [k] __mod_memcg_lruvec_state
     0.01%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_get_event_constraints
     0.01%  python3.10  [kernel.kallsyms]                         [k] rcu_all_qs
     0.01%  python3.10  python3.10                                [.] 0x0000000000175dfe
     0.01%  python3.10  python3.10                                [.] 0x000000000018d237
     0.01%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.01%  python3.10  python3.10                                [.] PyMem_Malloc
     0.01%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.01%  :2603967    python3.10                                [.] 0x000000000012161a
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcpy_erms
