# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 118K of event 'cycles'
# Event count (approx.): 40010037650
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    82.62%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     3.22%  python3.10  python3.10            [.] 0x000000000012161a
     1.72%  python3.10  python3.10            [.] 0x0000000000121590
     0.79%  python3.10  python3.10            [.] 0x00000000001215c4
     0.69%  python3.10  python3.10            [.] 0x0000000000121605
     0.61%  python3.10  python3.10            [.] 0x000000000012160b
     0.55%  python3.10  python3.10            [.] 0x0000000000121623
     0.53%  python3.10  python3.10            [.] 0x0000000000121613
     0.43%  python3.10  python3.10            [.] 0x0000000000121676
     0.30%  python3.10  python3.10            [.] 0x0000000000121635
     0.27%  python3.10  python3.10            [.] 0x000000000012159b
     0.27%  python3.10  python3.10            [.] 0x0000000000121730
     0.27%  python3.10  python3.10            [.] 0x0000000000121737
     0.25%  python3.10  python3.10            [.] 0x00000000001215f2
     0.23%  python3.10  python3.10            [.] 0x000000000012160f
     0.23%  python3.10  python3.10            [.] 0x0000000000121679
     0.21%  python3.10  python3.10            [.] 0x0000000000121638
     0.21%  python3.10  python3.10            [.] 0x00000000001215a3
     0.20%  python3.10  python3.10            [.] 0x0000000000121616
     0.20%  python3.10  python3.10            [.] 0x00000000001215ab
     0.20%  python3.10  python3.10            [.] 0x00000000001215cb
     0.19%  python3.10  python3.10            [.] 0x0000000000121628
     0.19%  python3.10  python3.10            [.] 0x00000000001215f7
     0.17%  python3.10  python3.10            [.] 0x00000000001215dc
     0.17%  python3.10  python3.10            [.] 0x0000000000121596
     0.16%  python3.10  python3.10            [.] 0x000000000012167d
     0.14%  python3.10  python3.10            [.] 0x00000000001215e9
     0.11%  python3.10  python3.10            [.] 0x0000000000121600
     0.11%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.09%  python3.10  python3.10            [.] 0x00000000001215e5
     0.09%  python3.10  python3.10            [.] 0x00000000001215e2
     0.08%  :2604169    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10            [.] 0x00000000001215d8
     0.07%  :2604414    python3.10            [.] _PyEval_EvalFrameDefault
     0.07%  python3.10  python3.10            [.] 0x00000000001215bc
     0.07%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.07%  python3.10  python3.10            [.] 0x000000000012167b
     0.07%  python3.10  python3.10            [.] 0x000000000012159d
     0.06%  :2604578    python3.10            [.] _PyEval_EvalFrameDefault
     0.06%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.05%  :2604495    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  :2604552    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  :2604398    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  :2604676    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.05%  python3.10  python3.10            [.] 0x0000000000121677
     0.05%  :2604287    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.05%  python3.10  python3.10            [.] 0x00000000001215a2
     0.05%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.05%  :2604202    python3.10            [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.04%  :2604660    python3.10            [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  python3.10            [.] 0x00000000001215a7
     0.04%  :2604623    python3.10            [.] _PyEval_EvalFrameDefault
