# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 117K of event 'cycles'
# Event count (approx.): 38934529348
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    83.26%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.91%  python3.10  python3.10                                [.] 0x000000000012161a
     1.57%  python3.10  python3.10                                [.] 0x0000000000121590
     0.84%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.72%  python3.10  python3.10                                [.] 0x0000000000121605
     0.59%  python3.10  python3.10                                [.] 0x0000000000121613
     0.54%  python3.10  python3.10                                [.] 0x0000000000121623
     0.54%  python3.10  python3.10                                [.] 0x000000000012160b
     0.42%  python3.10  python3.10                                [.] 0x0000000000121676
     0.28%  python3.10  python3.10                                [.] 0x0000000000121635
     0.28%  python3.10  python3.10                                [.] 0x0000000000121730
     0.26%  python3.10  python3.10                                [.] 0x000000000012160f
     0.26%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.25%  python3.10  python3.10                                [.] 0x0000000000121737
     0.23%  python3.10  python3.10                                [.] 0x000000000012159b
     0.22%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.21%  python3.10  python3.10                                [.] 0x0000000000121638
     0.20%  python3.10  python3.10                                [.] 0x0000000000121679
     0.20%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.18%  python3.10  python3.10                                [.] 0x0000000000121616
     0.18%  python3.10  python3.10                                [.] 0x0000000000121628
     0.18%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.17%  python3.10  python3.10                                [.] 0x000000000012167d
     0.16%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.14%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.14%  python3.10  python3.10                                [.] 0x0000000000121596
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.08%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.08%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.08%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.07%  python3.10  python3.10                                [.] 0x0000000000121600
     0.06%  python3.10  python3.10                                [.] 0x0000000000121677
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.06%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x000000000012167b
     0.06%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  python3.10                                [.] 0x000000000012159d
     0.06%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.06%  :2606106    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :2605845    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.05%  :2606301    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  :2605914    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.05%  :2605716    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.05%  :2606003    python3.10                                [.] _PyEval_EvalFrameDefault
     0.05%  python3.10  python3.10                                [.] 0x000000000012167f
     0.04%  :2606277    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  :2605773    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.04%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.04%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  :2606027    python3.10                                [.] _PyEval_EvalFrameDefault
     0.04%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  :2606160    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  :2606223    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  :2606347    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  :2605950    python3.10                                [.] _PyEval_EvalFrameDefault
     0.03%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.03%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.03%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.03%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.03%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.03%  python3.10  python3.10                                [.] 0x0000000000121599
     0.03%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
