# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 19K of event 'cycles'
# Event count (approx.): 5092888104
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    11.38%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     1.72%  python3.10  python3.10                                [.] PyLong_FromString
     1.58%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     1.33%  python3.10  python3.10                                [.] _PyObject_GetMethod
     1.22%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.17%  python3.10  [kernel.kallsyms]                         [k] rb_next
     1.05%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.96%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.88%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.88%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.83%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.82%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.79%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.77%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.75%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.72%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.62%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.59%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.58%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.56%  python3.10  libc.so.6                                 [.] re_search_internal
     0.50%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.48%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.48%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.46%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.46%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.46%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.46%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.45%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.42%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.42%  python3.10  python3.10                                [.] PyDict_Contains
     0.42%  python3.10  libc.so.6                                 [.] parse_expression
     0.41%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.40%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.40%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.40%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.39%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
