CS ID,CS PID
2-39-79-377,2664374
2-39-78-366,2664344
2-39-130-564,2664524
2-39-138-29,2664329
2-39-95-27,2664350
2-39-79-376,2664368
2-39-125-559,2664392
2-39-131-30,2664423
2-39-78-364,2664479
2-39-89-439,2664483
2-39-127-19,2664484
2-39-95-444,2664488
2-39-78-362,2664476
2-39-91-441,2664489
2-39-90-440,2664416
2-39-79-381,2664480
2-39-79-379,2664490
2-39-128-562,2664492
2-39-125-21,2664495
2-39-127-561,2664497
2-39-92-436,2664491
2-39-124-558,2664513
2-39-88-24,2664519
2-39-92-442,2664543
2-39-83-386,2664386
2-39-126-20,2664402
2-39-78-367,2664397
2-39-129-563,2664408
2-39-126-560,2664380
2-39-78-363,2664468
2-39-91-437,2664485
2-39-128-18,2664482
2-39-130-31,2664486
2-39-79-380,2664487
2-39-123-23,2664494
2-39-139-567,2664357
2-39-131-565,2664338
2-39-82-384,2664532
2-39-90-26,2664474
2-39-78-360,2664481
2-39-129-17,2664496
2-39-79-383,2664362
2-39-79-378,2664493
2-39-78-365,2664331
2-39-123-557,2664541
2-39-78-361,2664550
2-39-138-566,2664563
2-39-79-382,2664558
2-39-89-25,2664593
2-39-124-22,2664570
2-39-88-438,2664580
2-39-83-387,2664585
2-39-139-28,2664626
