# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3275917427
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    73.67%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.59%  python3.10  python3.10         [.] 0x000000000012161a
     1.67%  python3.10  python3.10         [.] 0x0000000000121605
     1.62%  python3.10  python3.10         [.] 0x00000000001215c4
     1.22%  python3.10  python3.10         [.] 0x0000000000121590
     0.93%  python3.10  python3.10         [.] 0x0000000000121613
     0.69%  python3.10  python3.10         [.] 0x00000000001215dc
     0.66%  python3.10  python3.10         [.] 0x0000000000121676
     0.66%  python3.10  python3.10         [.] 0x0000000000121737
     0.65%  python3.10  python3.10         [.] 0x0000000000121730
     0.59%  python3.10  python3.10         [.] 0x00000000001215a3
     0.53%  python3.10  python3.10         [.] 0x000000000012160b
     0.52%  python3.10  python3.10         [.] 0x000000000012159b
     0.47%  python3.10  python3.10         [.] 0x00000000001215ab
     0.47%  python3.10  python3.10         [.] 0x00000000001215e9
     0.44%  python3.10  python3.10         [.] 0x00000000001215cb
     0.39%  python3.10  python3.10         [.] 0x00000000001215f2
     0.37%  python3.10  python3.10         [.] 0x000000000012167d
     0.22%  python3.10  python3.10         [.] 0x00000000001215f7
     0.22%  python3.10  python3.10         [.] 0x0000000000121600
     0.22%  python3.10  python3.10         [.] 0x0000000000121679
     0.18%  python3.10  python3.10         [.] 0x000000000012167b
     0.17%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.17%  python3.10  python3.10         [.] 0x0000000000121677
     0.16%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.16%  python3.10  python3.10         [.] 0x00000000001215a0
     0.15%  python3.10  python3.10         [.] 0x000000000012167f
     0.14%  python3.10  python3.10         [.] 0x00000000001215e2
     0.14%  python3.10  python3.10         [.] 0x000000000012d1da
     0.13%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.13%  python3.10  python3.10         [.] 0x0000000000121596
     0.13%  python3.10  python3.10         [.] 0x000000000012160f
     0.12%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.12%  python3.10  python3.10         [.] 0x0000000000121734
     0.12%  python3.10  python3.10         [.] 0x00000000001215d8
     0.11%  python3.10  python3.10         [.] 0x00000000001215e5
     0.11%  python3.10  python3.10         [.] 0x00000000001215bc
     0.11%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.11%  python3.10  python3.10         [.] 0x00000000001215a7
     0.10%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.10%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.09%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.08%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.08%  python3.10  python3.10         [.] 0x000000000012166e
     0.08%  python3.10  python3.10         [.] 0x0000000000121594
     0.08%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.08%  python3.10  python3.10         [.] 0x0000000000121616
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.08%  python3.10  python3.10         [.] 0x000000000012e078
     0.07%  python3.10  [kernel.kallsyms]  [k] kfree
     0.07%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.07%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.07%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.06%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.06%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.06%  python3.10  python3.10         [.] 0x0000000000174090
     0.06%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.06%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.06%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.06%  python3.10  python3.10         [.] 0x000000000015b546
     0.05%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.05%  python3.10  [kernel.kallsyms]  [k] copy_page
     0.05%  python3.10  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.05%  python3.10  [kernel.kallsyms]  [k] clear_page_erms
     0.05%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.04%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.04%  python3.10  python3.10         [.] 0x000000000012d084
     0.04%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.04%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.04%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.04%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.04%  python3.10  [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.04%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.04%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
