# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2858048428
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    73.19%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.30%  python3.10  python3.10                                [.] 0x000000000012161a
     2.03%  python3.10  python3.10                                [.] 0x00000000001215c4
     1.56%  python3.10  python3.10                                [.] 0x0000000000121605
     1.19%  python3.10  python3.10                                [.] 0x0000000000121590
     0.87%  python3.10  python3.10                                [.] 0x0000000000121737
     0.83%  python3.10  python3.10                                [.] 0x0000000000121676
     0.72%  python3.10  python3.10                                [.] 0x0000000000121613
     0.65%  python3.10  python3.10                                [.] 0x000000000012159b
     0.64%  python3.10  python3.10                                [.] 0x000000000012160b
     0.61%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.52%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.47%  python3.10  python3.10                                [.] 0x0000000000121730
     0.47%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.46%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.43%  python3.10  python3.10                                [.] 0x0000000000121679
     0.40%  python3.10  python3.10                                [.] 0x000000000012167d
     0.34%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.34%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.34%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.24%  python3.10  python3.10                                [.] 0x0000000000121677
     0.24%  python3.10  python3.10                                [.] 0x0000000000121600
     0.18%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.18%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.18%  python3.10  python3.10                                [.] 0x0000000000121596
     0.12%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.12%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.11%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.11%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.11%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.11%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.10%  python3.10  python3.10                                [.] 0x0000000000121616
     0.10%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.10%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.10%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.10%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.10%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.09%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.09%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.09%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.09%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.09%  python3.10  python3.10                                [.] 0x000000000012166e
     0.08%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.08%  python3.10  [kernel.kallsyms]                         [k] copy_page
     0.08%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.07%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.07%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.07%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.07%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.07%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.07%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.07%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.07%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.07%  python3.10  python3.10                                [.] 0x000000000012167b
     0.07%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.06%  python3.10  python3.10                                [.] 0x000000000012167f
     0.06%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.06%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.06%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.06%  python3.10  [kernel.kallsyms]                         [k] futex_wait
     0.06%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.06%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.06%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_trace
     0.06%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.06%  python3.10  [kernel.kallsyms]                         [k] update_sg_wakeup_stats
     0.06%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.06%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.06%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.05%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.05%  python3.10  python3.10                                [.] 0x0000000000121599
     0.05%  python3.10  python3.10                                [.] 0x000000000012160f
     0.05%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.05%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.05%  python3.10  [kernel.kallsyms]                         [k] alloc_perf_context
     0.05%  python3.10  [kernel.kallsyms]                         [k] ftrace_graph_init_task
     0.05%  python3.10  [kernel.kallsyms]                         [k] lru_cache_add
     0.05%  python3.10  python3.10                                [.] 0x000000000015b169
     0.05%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.05%  python3.10  [kernel.kallsyms]                         [k] x86_setup_perfctr
     0.05%  python3.10  [kernel.kallsyms]                         [k] memcpy_erms
     0.05%  python3.10  python3.10                                [.] 0x000000000016a59f
     0.04%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.04%  python3.10  [kernel.kallsyms]                         [k] cpuacct_charge
     0.04%  python3.10  python3.10                                [.] 0x0000000000121628
     0.04%  python3.10  python3.10                                [.] _PyObject_FastCallDictTstate
     0.04%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.04%  python3.10  python3.10                                [.] 0x0000000000152275
     0.04%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.04%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.04%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.04%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.04%  python3.10  [kernel.kallsyms]                         [k] inherit_task_group.isra.0
     0.04%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.04%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.04%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.04%  python3.10  [kernel.kallsyms]                         [k] finish_task_switch.isra.0
     0.03%  python3.10  python3.10                                [.] PyLong_FromString
     0.03%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.03%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.03%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_thermal
     0.03%  python3.10  [kernel.kallsyms]                         [k] alloc_vmap_area
     0.03%  python3.10  python3.10                                [.] PyArg_ParseTupleAndKeywords
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.03%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.03%  python3.10  python3.10                                [.] 0x0000000000188eee
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.03%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.03%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.03%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
