# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3644469081
#
# Overhead  Command     Shared Object      Symbol                                      
# ........  ..........  .................  ............................................
#
    74.50%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.61%  python3.10  python3.10         [.] 0x000000000012161a
     1.67%  python3.10  python3.10         [.] 0x00000000001215c4
     1.53%  python3.10  python3.10         [.] 0x0000000000121605
     1.32%  python3.10  python3.10         [.] 0x0000000000121590
     0.90%  python3.10  python3.10         [.] 0x0000000000121613
     0.84%  python3.10  python3.10         [.] 0x0000000000121730
     0.70%  python3.10  python3.10         [.] 0x0000000000121676
     0.59%  python3.10  python3.10         [.] 0x000000000012160b
     0.59%  python3.10  python3.10         [.] 0x000000000012159b
     0.56%  python3.10  python3.10         [.] 0x000000000012167d
     0.55%  python3.10  python3.10         [.] 0x00000000001215dc
     0.55%  python3.10  python3.10         [.] 0x0000000000121737
     0.47%  python3.10  python3.10         [.] 0x00000000001215ab
     0.46%  python3.10  python3.10         [.] 0x00000000001215a3
     0.37%  python3.10  python3.10         [.] 0x00000000001215f2
     0.37%  python3.10  python3.10         [.] 0x0000000000121679
     0.36%  python3.10  python3.10         [.] 0x00000000001215cb
     0.32%  python3.10  python3.10         [.] 0x00000000001215e9
     0.28%  python3.10  python3.10         [.] 0x00000000001215f7
     0.24%  python3.10  python3.10         [.] 0x0000000000121600
     0.23%  python3.10  python3.10         [.] 0x0000000000121677
     0.19%  python3.10  python3.10         [.] 0x0000000000121596
     0.17%  python3.10  python3.10         [.] 0x000000000012167f
     0.17%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.16%  python3.10  python3.10         [.] 0x000000000012167b
     0.15%  python3.10  python3.10         [.] 0x00000000001215e2
     0.15%  python3.10  python3.10         [.] 0x00000000001215e5
     0.15%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.14%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.14%  python3.10  python3.10         [.] 0x00000000001215a7
     0.11%  python3.10  python3.10         [.] 0x00000000001215a0
     0.11%  python3.10  python3.10         [.] 0x0000000000121734
     0.11%  python3.10  python3.10         [.] 0x00000000001215bc
     0.11%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.10%  python3.10  python3.10         [.] 0x000000000012160f
     0.10%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.09%  python3.10  python3.10         [.] 0x0000000000121616
     0.09%  python3.10  python3.10         [.] 0x00000000001215d8
     0.09%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.08%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.08%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.08%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.08%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.07%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.07%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.07%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.06%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.06%  python3.10  python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.06%  python3.10  python3.10         [.] 0x00000000001d4961
     0.06%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.05%  python3.10  python3.10         [.] 0x000000000012166e
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.05%  python3.10  python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.05%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.05%  python3.10  python3.10         [.] 0x00000000001215a2
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.05%  python3.10  python3.10         [.] PyUnicode_FromFormatV
     0.05%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.05%  python3.10  python3.10         [.] 0x000000000018d59d
     0.05%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.05%  python3.10  [kernel.kallsyms]  [k] native_read_msr
