# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 1821678379
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    19.37%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.61%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.24%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.19%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     1.06%  python3.10  python3.10                                [.] PyList_Append
     0.98%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.93%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.92%  python3.10  python3.10                                [.] PyLong_FromString
     0.85%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.82%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.81%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.76%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.72%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.72%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.67%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.67%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.63%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.61%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.58%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.53%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.51%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.50%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.48%  python3.10  python3.10                                [.] 0x000000000015b546
     0.46%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.45%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.41%  python3.10  python3.10                                [.] 0x0000000000174090
     0.40%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.38%  python3.10  python3.10                                [.] 0x000000000015effa
     0.38%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.35%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.33%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.32%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.31%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.31%  python3.10  python3.10                                [.] 0x000000000012161a
     0.31%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.30%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.29%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.28%  python3.10  python3.10                                [.] 0x0000000000122820
     0.28%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.27%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.26%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.26%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.26%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.25%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.25%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.25%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.25%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.24%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.24%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.24%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.23%  python3.10  libc.so.6                                 [.] re_search_internal
     0.23%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.23%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.23%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.23%  python3.10  libc.so.6                                 [.] re_compile_internal
