CS ID,CS PID
2-39-131-30,2676111
2-39-82-384,2676166
2-39-95-27,2676169
2-39-123-557,2676101
2-39-130-31,2676104
2-39-79-378,2676160
2-39-128-18,2676204
2-39-125-21,2676178
2-39-79-380,2676174
2-39-127-561,2676181
2-39-95-444,2676180
2-39-78-367,2676183
2-39-131-565,2676182
2-39-78-361,2676187
2-39-139-567,2676184
2-39-91-437,2676185
2-39-129-563,2676190
2-39-78-363,2676186
2-39-88-24,2676189
2-39-78-365,2676188
2-39-139-28,2676191
2-39-126-20,2676229
2-39-124-22,2676203
2-39-79-381,2676206
2-39-83-387,2676207
2-39-79-379,2676208
2-39-83-386,2676209
2-39-124-558,2676205
2-39-129-17,2676210
2-39-138-29,2676211
2-39-78-364,2676212
2-39-79-376,2676179
2-39-123-23,2676214
2-39-90-440,2676213
2-39-79-383,2676217
2-39-127-19,2676216
2-39-92-436,2676219
2-39-126-560,2676222
2-39-79-377,2676221
2-39-128-562,2676218
2-39-89-439,2676220
2-39-78-360,2676223
2-39-91-441,2676224
2-39-90-26,2676226
2-39-78-362,2676227
2-39-89-25,2676197
2-39-125-559,2676237
2-39-78-366,2676238
2-39-79-382,2676248
2-39-138-566,2676215
2-39-88-438,2676254
2-39-130-564,2676257
2-39-92-442,2676225
