# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cycles'
# Event count (approx.): 6160009428
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    65.27%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     5.82%  python3.10  python3.10                                [.] 0x000000000012161a
     1.31%  python3.10  python3.10                                [.] 0x0000000000121623
     1.18%  python3.10  python3.10                                [.] 0x0000000000121590
     1.11%  python3.10  python3.10                                [.] 0x0000000000121613
     1.08%  python3.10  python3.10                                [.] 0x0000000000121596
     0.99%  python3.10  python3.10                                [.] 0x0000000000121605
     0.85%  python3.10  python3.10                                [.] 0x000000000012160b
     0.80%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.75%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.70%  python3.10  python3.10                                [.] 0x0000000000121676
     0.64%  python3.10  python3.10                                [.] 0x000000000012159b
     0.60%  python3.10  python3.10                                [.] 0x0000000000121730
     0.58%  python3.10  python3.10                                [.] 0x0000000000121616
     0.56%  python3.10  python3.10                                [.] 0x000000000012160f
     0.56%  :2678935    python3.10                                [.] _PyEval_EvalFrameDefault
     0.52%  python3.10  python3.10                                [.] 0x0000000000121679
     0.50%  :2678780    python3.10                                [.] _PyEval_EvalFrameDefault
     0.47%  :2679089    python3.10                                [.] _PyEval_EvalFrameDefault
     0.46%  python3.10  python3.10                                [.] 0x0000000000121628
     0.45%  :2679176    python3.10                                [.] _PyEval_EvalFrameDefault
     0.42%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.41%  :2678568    python3.10                                [.] _PyEval_EvalFrameDefault
     0.40%  :2678684    python3.10                                [.] _PyEval_EvalFrameDefault
     0.39%  python3.10  python3.10                                [.] 0x000000000012159d
     0.38%  :2679205    python3.10                                [.] _PyEval_EvalFrameDefault
     0.37%  python3.10  python3.10                                [.] 0x0000000000121635
     0.35%  :2678220    python3.10                                [.] _PyEval_EvalFrameDefault
     0.34%  :2679030    python3.10                                [.] _PyEval_EvalFrameDefault
     0.34%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.34%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.33%  :2678840    python3.10                                [.] _PyEval_EvalFrameDefault
     0.32%  :2678872    python3.10                                [.] _PyEval_EvalFrameDefault
     0.32%  :2678765    python3.10                                [.] _PyEval_EvalFrameDefault
     0.31%  python3.10  python3.10                                [.] 0x0000000000121638
     0.29%  python3.10  python3.10                                [.] 0x000000000012167d
     0.29%  :2679009    python3.10                                [.] _PyEval_EvalFrameDefault
     0.28%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.28%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.27%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.25%  :2678650    python3.10                                [.] _PyEval_EvalFrameDefault
     0.24%  python3.10  python3.10                                [.] 0x0000000000121737
     0.24%  python3.10  python3.10                                [.] 0x00000000001215dc
     0.22%  :2678966    python3.10                                [.] _PyEval_EvalFrameDefault
     0.21%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.20%  python3.10  python3.10                                [.] 0x0000000000121594
     0.20%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.19%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.18%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.18%  python3.10  python3.10                                [.] 0x0000000000121599
     0.14%  python3.10  python3.10                                [.] 0x000000000012167f
     0.12%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.11%  python3.10  python3.10                                [.] 0x0000000000121677
     0.10%  python3.10  python3.10                                [.] 0x000000000012166e
     0.10%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.10%  python3.10  python3.10                                [.] 0x000000000012167b
     0.09%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.09%  python3.10  python3.10                                [.] 0x0000000000121600
     0.09%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.07%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.07%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.06%  :2678515    python3.10                                [.] _PyEval_EvalFrameDefault
     0.06%  :2679089    python3.10                                [.] 0x000000000012161a
     0.06%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.06%  :2678650    python3.10                                [.] 0x000000000012161a
     0.06%  python3.10  python3.10                                [.] 0x00000000001215df
     0.05%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.05%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.05%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.05%  :2678840    python3.10                                [.] 0x000000000012161a
     0.05%  :2678935    python3.10                                [.] 0x000000000012161a
     0.05%  :2679030    python3.10                                [.] 0x000000000012161a
     0.05%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_run_queues
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  :2678220    python3.10                                [.] 0x000000000012161a
     0.04%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.04%  :2678684    python3.10                                [.] 0x000000000012161a
     0.04%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.04%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.04%  python3.10  [kernel.kallsyms]                         [k] mutex_lock
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.04%  python3.10  python3.10                                [.] _PyDict_DelItem_KnownHash
     0.03%  :2678568    python3.10                                [.] 0x000000000012161a
     0.03%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.03%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.03%  python3.10  python3.10                                [.] 0x0000000000121734
     0.03%  :2679205    python3.10                                [.] 0x000000000012161a
     0.03%  :2678780    python3.10                                [.] 0x000000000012161a
     0.03%  :2678568    python3.10                                [.] 0x0000000000121613
     0.03%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.03%  :2678765    python3.10                                [.] 0x000000000012167d
     0.03%  :2678966    python3.10                                [.] 0x000000000012161a
     0.03%  :2678872    python3.10                                [.] 0x000000000012161a
     0.03%  :2678966    python3.10                                [.] 0x00000000001215a3
     0.03%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.03%  python3.10  [kernel.kallsyms]                         [k] select_idle_sibling
     0.03%  :2678935    python3.10                                [.] 0x0000000000121596
     0.03%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.03%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.03%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.03%  :2678220    python3.10                                [.] 0x0000000000121613
     0.02%  python3.10  python3.10                                [.] 0x000000000012162c
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.02%  python3.10  ld-linux-x86-64.so.2                      [.] _dl_load_cache_lookup
     0.02%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_iterate_ctx
     0.02%  python3.10  ld-linux-x86-64.so.2                      [.] _dl_check_all_versions
     0.02%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_init_context
     0.02%  :2678780    python3.10                                [.] 0x00000000001215f7
     0.02%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.02%  :2678568    python3.10                                [.] 0x0000000000121679
     0.02%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.02%  :2679009    python3.10                                [.] 0x000000000012160b
     0.02%  :2678568    python3.10                                [.] 0x0000000000121590
     0.02%  :2679176    python3.10                                [.] 0x0000000000121596
     0.02%  :2678780    python3.10                                [.] 0x000000000012160b
     0.02%  :2678872    python3.10                                [.] 0x0000000000121623
     0.02%  :2678765    python3.10                                [.] 0x000000000012160b
     0.02%  :2678840    python3.10                                [.] 0x0000000000121616
     0.02%  :2679176    python3.10                                [.] 0x0000000000121676
     0.02%  :2679009    python3.10                                [.] 0x00000000001215f7
     0.02%  :2678650    python3.10                                [.] 0x0000000000121613
     0.02%  :2678684    python3.10                                [.] 0x00000000001215f7
     0.02%  :2679205    python3.10                                [.] 0x00000000001215f7
     0.02%  :2679089    python3.10                                [.] 0x00000000001215f2
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_exclude_event
     0.02%  :2679030    python3.10                                [.] 0x0000000000121613
     0.02%  :2678765    python3.10                                [.] 0x000000000012161a
     0.02%  :2679205    python3.10                                [.] 0x00000000001215a7
     0.02%  python3.10  python3.10                                [.] 0x000000000015efc3
     0.02%  :2679009    python3.10                                [.] 0x000000000012161a
     0.02%  :2678220    python3.10                                [.] 0x000000000012160b
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_apic_msr_eoi_write
     0.02%  :2679089    python3.10                                [.] 0x0000000000121676
     0.02%  :2678220    python3.10                                [.] 0x0000000000121737
     0.02%  :2678765    python3.10                                [.] 0x0000000000121679
     0.02%  :2678840    python3.10                                [.] 0x000000000012159b
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.02%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.02%  :2678568    python3.10                                [.] 0x000000000012160b
     0.02%  python3.10  libc.so.6                                 [.] 0x0000000000199ce8
     0.02%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.02%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.02%  python3.10  [kernel.kallsyms]                         [k] do_futex
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_sg_wakeup_stats
     0.02%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.02%  python3.10  [kernel.kallsyms]                         [k] cpuacct_charge
     0.02%  :2679030    python3.10                                [.] 0x0000000000121616
     0.02%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.02%  python3.10  [kernel.kallsyms]                         [k] mutex_unlock
     0.02%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.01%  python3.10  python3.10                                [.] 0x0000000000143407
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_insert
     0.01%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.01%  python3.10  python3.10                                [.] 0x000000000017c386
     0.01%  :2679089    python3.10                                [.] 0x0000000000121605
     0.01%  python3.10  [kernel.kallsyms]                         [k] task_clock_event_add
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_output_copy
     0.01%  python3.10  libc.so.6                                 [.] 0x00000000001a0995
     0.01%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.01%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.01%  python3.10  [kernel.kallsyms]                         [k] enqueue_task_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] finish_task_switch.isra.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_trace
     0.01%  python3.10  libc.so.6                                 [.] rcmd_af
     0.01%  python3.10  [kernel.kallsyms]                         [k] account_kernel_stack.isra.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait_setup
     0.01%  python3.10  libcrypto.so.3                            [.] 0x0000000000307043
     0.01%  python3.10  [kernel.kallsyms]                         [k] find_vma
     0.01%  python3.10  [kernel.kallsyms]                         [k] ktime_get
     0.01%  python3.10  python3.10                                [.] 0x0000000000129e83
     0.01%  python3.10  python3.10                                [.] 0x0000000000172be2
     0.01%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] __mod_memcg_lruvec_state
     0.01%  python3.10  [kernel.kallsyms]                         [k] flush_tlb_mm_range
     0.01%  python3.10  [kernel.kallsyms]                         [k] smp_call_function_many_cond
     0.01%  python3.10  [kernel.kallsyms]                         [k] __do_sys_clone3
     0.01%  python3.10  [kernel.kallsyms]                         [k] apparmor_task_alloc
     0.01%  python3.10  [kernel.kallsyms]                         [k] copy_thread
     0.01%  python3.10  [kernel.kallsyms]                         [k] handle_pte_fault
     0.01%  python3.10  [kernel.kallsyms]                         [k] radix_tree_tag_get
