# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 5113925643
#
# Overhead  Command     Shared Object         Symbol                                     
# ........  ..........  ....................  ...........................................
#
    64.40%  python3.10  python3.10            [.] _PyEval_EvalFrameDefault
     7.29%  python3.10  python3.10            [.] 0x000000000012161a
     1.12%  python3.10  python3.10            [.] 0x000000000012160b
     1.12%  python3.10  python3.10            [.] 0x0000000000121613
     1.11%  python3.10  python3.10            [.] 0x0000000000121623
     1.06%  python3.10  python3.10            [.] 0x0000000000121605
     1.01%  python3.10  python3.10            [.] 0x0000000000121676
     1.01%  python3.10  python3.10            [.] 0x0000000000121590
     0.99%  python3.10  python3.10            [.] 0x0000000000121596
     0.81%  python3.10  python3.10            [.] 0x00000000001215f2
     0.67%  python3.10  python3.10            [.] 0x0000000000121635
     0.64%  python3.10  python3.10            [.] 0x00000000001215f7
     0.64%  :2678905    python3.10            [.] _PyEval_EvalFrameDefault
     0.63%  python3.10  python3.10            [.] 0x000000000012159b
     0.62%  :2678891    python3.10            [.] _PyEval_EvalFrameDefault
     0.58%  python3.10  python3.10            [.] 0x0000000000121737
     0.57%  python3.10  python3.10            [.] 0x0000000000121616
     0.57%  :2679012    python3.10            [.] _PyEval_EvalFrameDefault
     0.56%  python3.10  python3.10            [.] 0x0000000000121679
     0.55%  python3.10  python3.10            [.] 0x000000000012160f
     0.53%  :2679123    python3.10            [.] _PyEval_EvalFrameDefault
     0.44%  python3.10  python3.10            [.] 0x0000000000121638
     0.43%  python3.10  python3.10            [.] 0x0000000000121730
     0.42%  python3.10  python3.10            [.] 0x000000000012159d
     0.41%  python3.10  python3.10            [.] 0x00000000001215c4
     0.41%  :2679160    python3.10            [.] _PyEval_EvalFrameDefault
     0.40%  python3.10  python3.10            [.] 0x00000000001215a3
     0.40%  :2679234    python3.10            [.] _PyEval_EvalFrameDefault
     0.37%  :2678946    python3.10            [.] _PyEval_EvalFrameDefault
     0.37%  python3.10  python3.10            [.] 0x00000000001215a2
     0.36%  python3.10  python3.10            [.] 0x00000000001215a7
     0.35%  python3.10  python3.10            [.] 0x0000000000121628
     0.34%  :2679204    python3.10            [.] _PyEval_EvalFrameDefault
